"Source_File","period_id","name","time_range","dynastic_info","source_book","source.chapter","originalsource_sentence","source_chapter","original_source_sentence","originalsource"
"历代名画记_M1.1_时序本体.csv","period_youyu","有虞","{""start"": -2255, ""end"": -2205}","有虞","《历代名画记》","卷一·叙画之源流","洎乎有虞作绘，绘画明焉。","","",""
"历代名画记_M1.1_时序本体.csv","period_han_wudi","汉武","{""start"": -141, ""end"": -87}","汉","《历代名画记》","卷一·叙画之兴废","汉武创置秘阁，以聚图书。","","",""
"历代名画记_M1.1_时序本体.csv","period_macro_upper_ancient","上古","{""start"": 25, ""end"": 280}","汉魏、三国","《历代名画记》","卷二·论名价品第","以汉魏、三国为上古，则赵岐、刘褒、蔡邕、张衡、已上四人后汉。曹髦、杨脩、桓范、徐邈、已上四人魏。曹不兴、吴。诸葛亮蜀。之流是也。","","",""
"历代名画记_M1.1_时序本体.csv","period_han_mingdi","汉明","{""start"": 57, ""end"": 75}","汉","《历代名画记》","卷一·叙画之兴废","汉明雅好丹青，别开画室。","","",""
"历代名画记_M1.1_时序本体.csv","period_weijin","魏晋","{""start"": 220, ""end"": 420}","魏晋","《历代名画记》","卷一·叙画之兴废","魏晋之代，固多藏蓄，胡寇入洛，一时焚烧。","","",""
"历代名画记_M1.1_时序本体.csv","period_macro_middle_ancient","中古","{""start"": 265, ""end"": 479}","晋、宋","《历代名画记》","卷二·论名价品第","以晋、宋为中古，则明帝、荀勖、卫协、王廙、顾恺之、谢稚、嵇康、戴逵、已上八人晋。陆探微、顾宝光、袁倩、顾景秀已上四人宋。之流是也。","","",""
"历代名画记_M1.1_时序本体.csv","period_jin_liuyao","晋（刘曜之乱）","{""start"": 311, ""end"": 318}","晋","《历代名画记》","卷一·叙画之兴废","晋遭刘曜，多所毁散。","","",""
"历代名画记_M1.1_时序本体.csv","period_jin_huanxuan","晋（桓玄）","{""start"": 403, ""end"": 404}","晋, 桓玄篡逆","《历代名画记》","卷一·叙画之兴废","及玄篡逆，晋府真迹，玄尽得之。","","",""
"历代名画记_M1.1_时序本体.csv","period_song_qi_liang_chen","宋、齐、梁、陈","{""start"": 420, ""end"": 589}","南朝","《历代名画记》","卷一·叙画之兴废","宋、齐、梁、陈之君，雅有好尚。","","",""
"历代名画记_M1.1_时序本体.csv","period_macro_lower_ancient","下古","{""start"": 479, ""end"": 589}","齐、梁、北齐、后魏、陈、后周","《历代名画记》","卷二·论名价品第","以齐、梁、北齐、后魏、陈、后周为下古，则姚昙度、谢赫、刘瑱、毛惠远、已上四人齐。元帝、袁昂、张僧繇、江僧宝、已上四人梁。杨子华、田僧亮、刘杀鬼、曹仲达、已上四人北齐。蒋少游、杨乞德、已上二人后魏。顾野王、陈。冯提迦后周。之流是也。","","",""
"历代名画记_M1.1_时序本体.csv","period_qi_gaodi","南齐高帝","{""start"": 479, ""end"": 482}","南齐","《历代名画记》","卷一·叙画之兴废","南齐高帝科其尤精者，录古来名手。","","",""
"历代名画记_M1.1_时序本体.csv","period_liang_wudi","梁武帝","{""start"": 502, ""end"": 549}","梁","《历代名画记》","卷一·叙画之兴废","梁武帝尤加宝异，仍更搜葺。","","",""
