"Source_File","cv_id","person_ref","entry_mode","official_title","rank","tenure","location_ref","time_ref","event_type","source_book","source_chapter","original_source_sentence","name","originalsource_sentence","source.chapter","originalsource","person_name_cn","person_name","entry_mode_cn","event_type_cn","description"
"历代名画记_M2.2_履历与时空轨迹.csv","cv_c03b16c1","meso_史皇","","","","","","","Recorded","《历代名画记》","卷四 轩辕时","史皇，黄帝之臣也。始善图画。创制垂法，体象天地，功侔造化。首冠群工，不亦宜哉！见《世本》，与苍颉同时。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_c5b5efdb","meso_封膜","","","","","","","Recorded","《历代名画记》","卷四 周","封膜，周时人，善画。见《穆天子传》。郭璞云：“姓封，名膜。”","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_41dbce7b","meso_敬君","","","","","","","Recorded","《历代名画记》","卷四 齐","敬君者，善画。齐王起九重台，召敬君画之。敬君久不得归，思其妻，乃画妻对之。齐王知其妻美，与钱百万，纳其妻。刘向《说苑》具载。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_b08ab9ce","meso_烈裔","","","","","","","Recorded","《历代名画记》","卷四 秦","烈裔，謇涓国人。秦皇二年，本国献之。口含丹墨，喷壁成龙兽。以指历地，如绳界之。转手方圆，皆如规矩。度方寸内，五岳、四渎、列土备焉。善画鸾凤，轩轩然惟恐飞去。见王子年《拾遗录》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_193bd1ec","meso_毛延寿","","","","","","","Recorded","《历代名画记》","卷四 汉","毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_2b317e8f","meso_陈敞","","","","","","","Recorded","《历代名画记》","卷四 汉","毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_fa328113","meso_刘白","","","","","","","Recorded","《历代名画记》","卷四 汉","毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_4a56a9a5","meso_龚宽","","","","","","","Recorded","《历代名画记》","卷四 汉","毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_1420f57e","meso_樊育","","","","","","","Recorded","《历代名画记》","卷四 汉","毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_0fc16697","meso_赵岐","","字邠卿","","","字邠","建安","Official_Post","《历代名画记》","卷四 后汉","赵岐，字邠卿，京兆长陵人。多才艺，善画。自为寿藏于郢城，画季札、子产、晏婴、叔向四人居宾位，自居主位，各为赞颂。献帝建安六年，官至太常卿。见范晔《东汉书》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_72830cea","meso_赵岐","","太常卿","","","","建安","Official_Post","《历代名画记》","卷四 后汉","赵岐，字邠卿，京兆长陵人。多才艺，善画。自为寿藏于郢城，画季札、子产、晏婴、叔向四人居宾位，自居主位，各为赞颂。献帝建安六年，官至太常卿。见范晔《东汉书》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_9abfccc0","meso_赵岐","","","","","京兆长陵","建安","Origin","《历代名画记》","卷四 后汉","赵岐，字邠卿，京兆长陵人。多才艺，善画。自为寿藏于郢城，画季札、子产、晏婴、叔向四人居宾位，自居主位，各为赞颂。献帝建安六年，官至太常卿。见范晔《东汉书》。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_ce86988c","meso_刘褒","","蜀郡太守","","","蜀郡","","Official_Post","《历代名画记》","卷四 后汉","刘褒，汉桓帝时人。曾画《云汉图》，人见之觉热；又画《北风图》，人见之觉凉。官至蜀郡太守。见孙畅之《述画记》，及张华《博物志》云。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_4c585265","meso_刘褒","","","","","汉桓帝时","","Origin","《历代名画记》","卷四 后汉","刘褒，汉桓帝时人。曾画《云汉图》，人见之觉热；又画《北风图》，人见之觉凉。官至蜀郡太守。见孙畅之《述画记》，及张华《博物志》云。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_910e30d9","meso_蔡邕","","","下品","","","","Rank","《历代名画记》","卷四 后汉","蔡邕，字伯喈，裴孝源所定品第云，伯喈在下品。陈留圉人。工书画，善鼓琴。建宁中为郎中，校书东观，刊正“六经”文字，书于太学石壁，天下模学。又创八分书体。为左中郎将，封高阳乡侯。年六十一。灵帝诏邕画赤泉侯五代将相于省，喜、震、叔节、赐、彪，兼命为赞及书。邕书画与赞皆擅名于代，时称“三美”。见《东观汉记》，并孙畅之《述画》。有《讲学图》《小列女图》传于代。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_4265e471","meso_蔡邕","","郎中","","","","建宁中","Official_Post","《历代名画记》","卷四 后汉","蔡邕，字伯喈，裴孝源所定品第云，伯喈在下品。陈留圉人。工书画，善鼓琴。建宁中为郎中，校书东观，刊正“六经”文字，书于太学石壁，天下模学。又创八分书体。为左中郎将，封高阳乡侯。年六十一。灵帝诏邕画赤泉侯五代将相于省，喜、震、叔节、赐、彪，兼命为赞及书。邕书画与赞皆擅名于代，时称“三美”。见《东观汉记》，并孙畅之《述画》。有《讲学图》《小列女图》传于代。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_69346861","meso_蔡邕","","左中郎将","","","","建宁中","Official_Post","《历代名画记》","卷四 后汉","蔡邕，字伯喈，裴孝源所定品第云，伯喈在下品。陈留圉人。工书画，善鼓琴。建宁中为郎中，校书东观，刊正“六经”文字，书于太学石壁，天下模学。又创八分书体。为左中郎将，封高阳乡侯。年六十一。灵帝诏邕画赤泉侯五代将相于省，喜、震、叔节、赐、彪，兼命为赞及书。邕书画与赞皆擅名于代，时称“三美”。见《东观汉记》，并孙畅之《述画》。有《讲学图》《小列女图》传于代。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_85f3b297","meso_蔡邕","","高阳乡侯","","","高阳乡","建宁中","Official_Post","《历代名画记》","卷四 后汉","蔡邕，字伯喈，裴孝源所定品第云，伯喈在下品。陈留圉人。工书画，善鼓琴。建宁中为郎中，校书东观，刊正“六经”文字，书于太学石壁，天下模学。又创八分书体。为左中郎将，封高阳乡侯。年六十一。灵帝诏邕画赤泉侯五代将相于省，喜、震、叔节、赐、彪，兼命为赞及书。邕书画与赞皆擅名于代，时称“三美”。见《东观汉记》，并孙畅之《述画》。有《讲学图》《小列女图》传于代。","","","","","","","","",""
"历代名画记_M2.2_履历与时空轨迹.csv","cv_3e4f659e","meso_蔡邕","","命为赞及书","","","","建宁中","Official_Post","《历代名画记》","卷四 后汉","蔡邕，字伯喈，裴孝源所定品第云，伯喈在下品。陈留圉人。工书画，善鼓琴。建宁中为郎中，校书东观，刊正“六经”文字，书于太学石壁，天下模学。又创八分书体。为左中郎将，封高阳乡侯。年六十一。灵帝诏邕画赤泉侯五代将相于省，喜、震、叔节、赐、彪，兼命为赞及书。邕书画与赞皆擅名于代，时称“三美”。见《东观汉记》，并孙畅之《述画》。有《讲学图》《小列女图》传于代。","","","","","","","","",""
