"Source_File","person_id","person_name","relation_type","related_person_id","related_person_name","role_person","role_related","source_book","source_chapter","original_source_sentence","rel_id","subject_ref","object_ref","original_text","关系标识","来源人物","目标人物","关系分类","关系名称","出处书籍","章节名称","原文依据","source_id","target_id","formal_name","source.chapter","originalsource_sentence","target_name","source_name_cn","target_name_cn","originalsource"
"历代名画记_M2.3_社会关系实例.csv","unknown_戴勃","戴勃","Kinship","meso_戴逵","戴逵","Son","Father","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","明帝　荀勖　张墨　卫协　王廙　王羲之子献之　康昕　顾恺之　史道硕　谢稚　夏侯瞻　嵇康　温峤　谢岩曹龙　丁远　杨惠　江思远　王濛　戴逵逵子勃，勃弟颙","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_戴颙","戴颙","Kinship","unknown_戴勃","戴勃","Younger Brother","Older Brother","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","明帝　荀勖　张墨　卫协　王廙　王羲之子献之　康昕　顾恺之　史道硕　谢稚　夏侯瞻　嵇康　温峤　谢岩曹龙　丁远　杨惠　江思远　王濛　戴逵逵子勃，勃弟颙","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_陆绥","陆绥","Kinship","meso_陆探微","陆探微","Son","Father","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","陆探微探微子绥，绥弟弘肃　顾宝光　宗炳　王微　谢庄　袁倩倩子质　史敬文　史艺　刘斌　尹长生　顾骏之　康允之　顾景秀　吴暕　张则　刘胤祖弟绍祖，子璞　蔡斌　濮万年弟道兴　史粲　宋僧辩　褚灵石　范惟贤","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_陆弘肃","陆弘肃","Kinship","unknown_陆绥","陆绥","Younger Brother","Older Brother","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","陆探微探微子绥，绥弟弘肃　顾宝光　宗炳　王微　谢庄　袁倩倩子质　史敬文　史艺　刘斌　尹长生　顾骏之　康允之　顾景秀　吴暕　张则　刘胤祖弟绍祖，子璞　蔡斌　濮万年弟道兴　史粲　宋僧辩　褚灵石　范惟贤","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_袁质","袁质","Kinship","meso_袁倩","袁倩","Son","Father","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","陆探微探微子绥，绥弟弘肃　顾宝光　宗炳　王微　谢庄　袁倩倩子质　史敬文　史艺　刘斌　尹长生　顾骏之　康允之　顾景秀　吴暕　张则　刘胤祖弟绍祖，子璞　蔡斌　濮万年弟道兴　史粲　宋僧辩　褚灵石　范惟贤","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_绍祖","绍祖","Kinship","meso_刘胤祖","刘胤祖","Younger Brother","Older Brother","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","陆探微探微子绥，绥弟弘肃　顾宝光　宗炳　王微　谢庄　袁倩倩子质　史敬文　史艺　刘斌　尹长生　顾骏之　康允之　顾景秀　吴暕　张则　刘胤祖弟绍祖，子璞　蔡斌　濮万年弟道兴　史粲　宋僧辩　褚灵石　范惟贤","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_濮道兴","濮道兴","Kinship","unknown_濮万年","濮万年","Younger Brother","Older Brother","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","陆探微探微子绥，绥弟弘肃　顾宝光　宗炳　王微　谢庄　袁倩倩子质　史敬文　史艺　刘斌　尹长生　顾骏之　康允之　顾景秀　吴暕　张则　刘胤祖弟绍祖，子璞　蔡斌　濮万年弟道兴　史粲　宋僧辩　褚灵石　范惟贤","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_释惠觉","释惠觉","Kinship","unknown_姚昙度","姚昙度","Son","Father","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","宗测　刘系宗　姚昙度子释惠觉　蘧道愍甥沙门僧珍　章继伯　范怀珍　锺宗之　王奴　王殿　戴蜀　陈公恩　陶景真　张季和　沈标　谢赫　沈粲　丁光　周昙研　谢惠连　谢约　虞坚　丁宽　刘瑱　毛惠远弟惠秀，子稜","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_毛惠秀","毛惠秀","Kinship","meso_毛惠远","毛惠远","Younger Brother","Older Brother","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","宗测　刘系宗　姚昙度子释惠觉　蘧道愍甥沙门僧珍　章继伯　范怀珍　锺宗之　王奴　王殿　戴蜀　陈公恩　陶景真　张季和　沈标　谢赫　沈粲　丁光　周昙研　谢惠连　谢约　虞坚　丁宽　刘瑱　毛惠远弟惠秀，子稜","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_方等","方等","Kinship","unknown_元帝","元帝","Son","Father","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","元帝子方等　萧大连　萧贲　陆杲　陶弘景　张僧繇子善果，善果弟儒童　袁昂　焦宝愿　嵇宝钧　聂松　解倩　陆整　江僧宝　僧威公　僧吉底俱　僧摩罗菩提　僧迦佛佗","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_张善果","张善果","Kinship","unknown_张僧繇","张僧繇","Son","Father","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","元帝子方等　萧大连　萧贲　陆杲　陶弘景　张僧繇子善果，善果弟儒童　袁昂　焦宝愿　嵇宝钧　聂松　解倩　陆整　江僧宝　僧威公　僧吉底俱　僧摩罗菩提　僧迦佛佗","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_张儒童","张儒童","Kinship","unknown_张善果","张善果","Younger Brother","Older Brother","《历代名画记》","第一卷 诸葛亮诸葛亮的儿子诸葛瞻","元帝子方等　萧大连　萧贲　陆杲　陶弘景　张僧繇子善果，善果弟儒童　袁昂　焦宝愿　嵇宝钧　聂松　解倩　陆整　江僧宝　僧威公　僧吉底俱　僧摩罗菩提　僧迦佛佗","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_刘衮","刘衮","Kinship","unknown_刘龙","刘龙","Younger Brother","Older Brother","《历代名画记》","第一卷 冯提伽","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M2.3_社会关系实例.csv","unknown_郑法轮","郑法轮","Kinship","meso_郑法士","郑法士","Younger Brother","Older Brother","《历代名画记》","第一卷 冯提伽","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","","",""
