"Source_File","work_id","title","creator_ref","period_ref","icon_ref","status","support","dimensions","repository","source_book","source.chapter","originalsource_sentence","originalsource","location_ref","source_chapter","original_source_sentence","creator_name","creator_name_cn","period_name_cn"
"历代名画记_M3.1_作品实体表.csv","work_36d1d945","神鬼","meso_吴道子","唐","神怪","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","荐福寺。天后飞白书额。净土院门外两边，吴画神鬼；南边神头上龙为妙。西廊菩提院，吴画维摩诘本行变。律院北廊，张璪、毕宏画。西南院佛殿内东壁及廊下行僧，并吴画，未了。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_31753d33","维摩诘本行变","meso_吴道子","唐","佛教","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","荐福寺。天后飞白书额。净土院门外两边，吴画神鬼；南边神头上龙为妙。西廊菩提院，吴画维摩诘本行变。律院北廊，张璪、毕宏画。西南院佛殿内东壁及廊下行僧，并吴画，未了。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_246e38cc","菩萨","meso_尹琳","唐","佛教","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_74a8deb0","经变","meso_杨庭光","唐","佛教","残损","Wall","","","《历代名画记》","卷三 西京寺观等画壁","慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_ff349c13","地狱变","meso_张孝师","唐","佛教","剥落","Wall","","","《历代名画记》","卷三 西京寺观等画壁","慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_c8ae9c78","松树","meso_韦銮","唐","山水","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_a4b8c770","明真经变","meso_吴道子","唐","佛教","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","龙兴观。大门内吴画神，已摧剥。殿内东壁，吴画明真经变。北面从西第二门，董谔白画。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_9f36f4f6","山水","meso_朱审","唐","山水","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","唐安寺。塔下尹琳、李真画。北堂内西壁，朱审画山水。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_a5103b9c","经变","meso_姚景仙","唐","佛教","","Scroll","","","《历代名画记》","卷三 西京寺观等画壁","资圣寺。殷仲容题额。檀章画中三门东窗间，南、北面，吴画高僧。大三门东南壁，姚景仙画经变。寺西门直西院外神及院内经变，杨庭光画。北圆塔下，李真、尹琳绢画菩萨。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_0cbc2d96","菩萨","meso_尹琳","唐","佛教","","Scroll","","","《历代名画记》","卷三 西京寺观等画壁","资圣寺。殷仲容题额。檀章画中三门东窗间，南、北面，吴画高僧。大三门东南壁，姚景仙画经变。寺西门直西院外神及院内经变，杨庭光画。北圆塔下，李真、尹琳绢画菩萨。","","","","","","",""
"历代名画记_M3.1_作品实体表.csv","work_77505dcc","地狱变","meso_杨庭光","唐","佛教","","Wall","","","《历代名画记》","卷三 西京寺观等画壁","宝刹寺。佛殿南杨契丹画涅槃等变相，与裴《录》同，据裴《画录》亦有郑画，今不见也。西廊陈静眼画地狱变，又有杨庭光画。","","","","","","",""
