"Source_File","lit_id","target_ref","source_book","source.chapter","author_ref","quality_rank","originalsource_sentence","id","target","source","original_text","grade","entity_type","description","quote","source_chapter","original_source_sentence","person_id","target_name","type","evidence_file","evidence.chapter","target_name_cn","author_name_cn","target_type","literature_ref","evaluation_type"
"历代名画记_M3.2_文献著录与品评.csv","lit_7a8d13f9","蒋少游","《历代名画记》","卷一 顾野王","张彦远","","蒋少游　郭善明　侯文和　柳俭　闵文和　郭道兴杨乞德　王由　祖班","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_9ac02c9b","王由","《历代名画记》","卷一 顾野王","张彦远","","蒋少游　郭善明　侯文和　柳俭　闵文和　郭道兴杨乞德　王由　祖班","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_62bceac2","杨乞德","《历代名画记》","卷一 顾野王","张彦远","","蒋少游　郭善明　侯文和　柳俭　闵文和　郭道兴杨乞德　王由　祖班","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_02b8d40f","江志","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_73acac49","展子虔","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_2f1120b3","李雅","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_de27fb95","程瓒","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_62ef64aa","董伯仁","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_6fdd5b3f","郑法士","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_e42436b3","王仲舒","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_611a4dce","阎思光","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_c631690a","杨契丹","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_4215c3cc","刘乌","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_c04d21b3","孙尚子","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_87d5404e","解悰","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_844df62e","阎毗","《历代名画记》","卷一 冯提伽","张彦远","","阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_e0f31f84","卫协","《历代名画记》","卷二 叙师资传授南北时代","张彦远","","自古论画者，以顾生之迹，天然绝伦，评者不敢一二。余见顾生评论魏晋画人，深自推挹卫协，卫协、顾恺之并见第五卷，即知卫不下于顾矣。只如《狸骨》之方，右军叹重；《龙头》之画，谢赫推高。名贤许可，岂肯容易？后之浅俗，安能察之？","","","","","","","","","","","","","","","","","","","",""
"历代名画记_M3.2_文献著录与品评.csv","lit_1f5b254d","史皇","《历代名画记》","卷四 轩辕时","张彦远","","史皇，黄帝之臣也。始善图画。创制垂法，体象天地，功侔造化。首冠群工，不亦宜哉！见《世本》，与苍颉同时。","","","","","","","","","","","","","","","","","","","",""
