period_id,name,time_range,dynastic_info,source_book,source.chapter,originalsource_sentence
period_youyu,有虞,"{""start"": -2255, ""end"": -2205}",有虞,《历代名画记》,卷一·叙画之源流,洎乎有虞作绘，绘画明焉。
period_han_wudi,汉武,"{""start"": -141, ""end"": -87}",汉,《历代名画记》,卷一·叙画之兴废,汉武创置秘阁，以聚图书。
period_macro_upper_ancient,上古,"{""start"": 25, ""end"": 280}",汉魏、三国,《历代名画记》,卷二·论名价品第,以汉魏、三国为上古，则赵岐、刘褒、蔡邕、张衡、已上四人后汉。曹髦、杨脩、桓范、徐邈、已上四人魏。曹不兴、吴。诸葛亮蜀。之流是也。
period_han_mingdi,汉明,"{""start"": 57, ""end"": 75}",汉,《历代名画记》,卷一·叙画之兴废,汉明雅好丹青，别开画室。
period_weijin,魏晋,"{""start"": 220, ""end"": 420}",魏晋,《历代名画记》,卷一·叙画之兴废,魏晋之代，固多藏蓄，胡寇入洛，一时焚烧。
period_macro_middle_ancient,中古,"{""start"": 265, ""end"": 479}",晋、宋,《历代名画记》,卷二·论名价品第,以晋、宋为中古，则明帝、荀勖、卫协、王廙、顾恺之、谢稚、嵇康、戴逵、已上八人晋。陆探微、顾宝光、袁倩、顾景秀已上四人宋。之流是也。
period_jin_liuyao,晋（刘曜之乱）,"{""start"": 311, ""end"": 318}",晋,《历代名画记》,卷一·叙画之兴废,晋遭刘曜，多所毁散。
period_jin_huanxuan,晋（桓玄）,"{""start"": 403, ""end"": 404}","晋, 桓玄篡逆",《历代名画记》,卷一·叙画之兴废,及玄篡逆，晋府真迹，玄尽得之。
period_song_qi_liang_chen,宋、齐、梁、陈,"{""start"": 420, ""end"": 589}",南朝,《历代名画记》,卷一·叙画之兴废,宋、齐、梁、陈之君，雅有好尚。
period_macro_lower_ancient,下古,"{""start"": 479, ""end"": 589}",齐、梁、北齐、后魏、陈、后周,《历代名画记》,卷二·论名价品第,以齐、梁、北齐、后魏、陈、后周为下古，则姚昙度、谢赫、刘瑱、毛惠远、已上四人齐。元帝、袁昂、张僧繇、江僧宝、已上四人梁。杨子华、田僧亮、刘杀鬼、曹仲达、已上四人北齐。蒋少游、杨乞德、已上二人后魏。顾野王、陈。冯提迦后周。之流是也。
period_qi_gaodi,南齐高帝,"{""start"": 479, ""end"": 482}",南齐,《历代名画记》,卷一·叙画之兴废,南齐高帝科其尤精者，录古来名手。
period_liang_wudi,梁武帝,"{""start"": 502, ""end"": 549}",梁,《历代名画记》,卷一·叙画之兴废,梁武帝尤加宝异，仍更搜葺。
period_liang_houjing,梁（侯景之乱）,"{""start"": 548, ""end"": 552}",梁,《历代名画记》,卷一·叙画之兴废,侯景之乱，太子纲数梦秦皇更欲焚天下书，既而内府图画数百函，果为景所焚也。
period_liang_yuandi,梁元帝,"{""start"": 552, ""end"": 554}",梁,《历代名画记》,卷一·叙画之兴废,元帝雅有才艺，自善丹青，古之珍奇，充牣内府。
period_chen_tianjia,陈天嘉,"{""start"": 560, ""end"": 566}",陈,《历代名画记》,卷一·叙画之兴废,陈天嘉中，陈主肆意搜求，所得不少。
period_zhou_jiande,武帝建德,"{""start"": 572, ""end"": 578}",北周,《历代名画记》,卷二·叙师资传授南北时代,自武帝建德中裁为四脚也。
period_macro_modern,近代,"{""start"": 581, ""end"": 713}",隋及国初,《历代名画记》,卷二·论名价品第,隋及国初为近代之价，则董伯仁、展子虔、孙尚子、郑法士、杨契丹、陈善见、已上六人隋。张孝师、范长寿、尉迟乙僧、王知慎、阎立德、阎立本、已上六人唐朝。之流是也。
period_sui_kaihuang_1,开皇,"{""start"": 581, ""end"": 600}",隋,《历代名画记》,卷三·叙自古跋尾押署,开皇年月日。内史薛道衡署名跋尾。
period_sui_pingchen,隋平陈,"{""start"": 588, ""end"": 589}",隋,《历代名画记》,卷一·叙画之兴废,及隋平陈，命元帅记室参军裴矩、高颎收之，得八百余卷。
period_sui_yangdi,隋炀帝,"{""start"": 604, ""end"": 618}",隋,《历代名画记》,卷一·叙画之兴废,炀帝东幸扬州，尽将随驾，中道船覆，大半沦弃。
period_sui_daye,大业,"{""start"": 605, ""end"": 618}",隋,《历代名画记》,卷三·叙自古跋尾押署,大业年月日。奉敕装。
period_tang_wude,圣唐武德,"{""start"": 618, ""end"": 626}",唐,《历代名画记》,卷一·叙画之兴废,圣唐武德五年，克平僭逆，擒二伪主，两都秘藏之迹，维扬扈从之珍，归我国家焉。
period_tang_taizong,太宗皇帝,"{""start"": 626, ""end"": 649}",唐,《历代名画记》,卷一·叙画之兴废,太宗皇帝特所耽玩，更于人间购求。
period_tang_zhenguan,贞观,"{""start"": 627, ""end"": 649}",唐,《历代名画记》,卷二·论鉴识、收藏、购求、阅玩,贞观、开元之代，自古盛时。
period_tang_tianhou,天后朝,"{""start"": 690, ""end"": 705}",唐,《历代名画记》,卷一·叙画之兴废,天后朝，张易之奏召天下画工，修内库图画。
period_tang_kaiyuan,开元,"{""start"": 713, ""end"": 741}",唐,《历代名画记》,卷二·论鉴识、收藏、购求、阅玩,开元十年十二月，太子中允张悱充知搜访书画使。
period_tang_tianbao,天宝,"{""start"": 742, ""end"": 756}",唐,《历代名画记》,卷二·论鉴识、收藏、购求、阅玩,天宝中，徐浩充采访图画使，前后不可具载名代也。
period_tang_anlushan,禄山之乱,"{""start"": 755, ""end"": 763}",唐,《历代名画记》,卷一·叙画之兴废,禄山之乱，耗散颇多。
period_tang_suzong,肃宗,"{""start"": 756, ""end"": 762}",唐,《历代名画记》,卷一·叙画之兴废,肃宗不甚保持，颁之贵戚，贵戚不好，鬻于不肖之手。
period_tang_zhide,至德,"{""start"": 756, ""end"": 758}",唐,《历代名画记》,卷二·论鉴识、收藏、购求、阅玩,至德中白身受金吾长史，改名“详”。
period_tang_dezhong,德宗,"{""start"": 779, ""end"": 805}",唐,《历代名画记》,卷一·叙画之兴废,及德宗艰难之后，又经散失，甚可痛也！
period_tang_jianzhong,建中,"{""start"": 780, ""end"": 783}",唐,《历代名画记》,卷二·论鉴识、收藏、购求、阅玩,建中四年，徐浩侍郎自云昏耄，奏男璹...
period_tang_zhenyuan,贞元,"{""start"": 785, ""end"": 805}",唐,《历代名画记》,卷二·论鉴识、收藏、购求、阅玩,贞元初，有卖书画人孙方颙与余家买得真迹不少...
period_tang_taihe,太和,"{""start"": 827, ""end"": 835}",唐,《历代名画记》,卷一·叙画之兴废,太和末，为乱兵所坏，其“萧”字本末，具余所撰《法书要录》中。
