person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
meso_史皇,Painter,史皇,,,,,{},轩辕时,{},《历代名画记》,卷四 轩辕时,史皇，黄帝之臣也。始善图画。创制垂法，体象天地，功侔造化。首冠群工，不亦宜哉！见《世本》，与苍颉同时。
meso_封膜,Painter,封膜,,,,周时,{},周,{},《历代名画记》,卷四 周,封膜，周时人，善画。见《穆天子传》。郭璞云：“姓封，名膜。”
meso_敬君,Painter,敬君,,,,,{},齐,{},《历代名画记》,卷四 齐,敬君者，善画。齐王起九重台，召敬君画之。敬君久不得归，思其妻，乃画妻对之。齐王知其妻美，与钱百万，纳其妻。刘向《说苑》具载。
meso_烈裔,Painter,烈裔,,,,謇涓国,{},秦,{},《历代名画记》,卷四 秦,烈裔，謇涓国人。秦皇二年，本国献之。口含丹墨，喷壁成龙兽。以指历地，如绳界之。转手方圆，皆如规矩。度方寸内，五岳、四渎、列土备焉。善画鸾凤，轩轩然惟恐飞去。见王子年《拾遗录》。
meso_毛延寿,Painter,毛延寿,,,,杜陵,{},汉,{},《历代名画记》,卷四 汉,毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。
meso_陈敞,Painter,陈敞,,,,安陵,{},汉,{},《历代名画记》,卷四 汉,毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。
meso_刘白,Painter,刘白,,,,新丰,{},汉,{},《历代名画记》,卷四 汉,毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。
meso_龚宽,Painter,龚宽,,,,洛阳,{},汉,{},《历代名画记》,卷四 汉,毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。
meso_樊育,Painter,樊育,,,,长安,{},汉,{},《历代名画记》,卷四 汉,毛延寿、杜陵人。陈敞、安陵人。刘白、新丰人。龚宽、洛阳人。阳望、下杜人。樊育，长安人。已上六人，并永光、建昭中画手。时元帝后宫既多，使图其状，每披图召见。诸宫人竞赂画工钱帛，独王嫱貌丽，意不苟求，工人遂为丑状。及匈奴求汉美女，上按图召昭君行，帝见昭君貌第一，甚悔之。而籍已定，乃穷其事，画工皆弃市，籍其家资，皆巨万。毛延寿画人，老少美恶，皆得其真。陈敞、刘白、龚宽并工牛马，但人物不及延寿。阳望、樊育亦善画，尤善布色。见葛洪《西京杂记》。
meso_赵岐,Painter,赵岐,邠卿,,,京兆长陵,{},后汉,{},《历代名画记》,卷四 后汉,赵岐，字邠卿，京兆长陵人。多才艺，善画。自为寿藏于郢城，画季札、子产、晏婴、叔向四人居宾位，自居主位，各为赞颂。献帝建安六年，官至太常卿。见范晔《东汉书》。
meso_刘褒,Painter,刘褒,,,,汉桓帝时,{},后汉,{},《历代名画记》,卷四 后汉,刘褒，汉桓帝时人。曾画《云汉图》，人见之觉热；又画《北风图》，人见之觉凉。官至蜀郡太守。见孙畅之《述画记》，及张华《博物志》云。
meso_蔡邕,Painter,蔡邕,伯喈,,,陈留圉,年六十一,后汉,{},《历代名画记》,卷四 后汉,蔡邕，字伯喈，裴孝源所定品第云，伯喈在下品。陈留圉人。工书画，善鼓琴。建宁中为郎中，校书东观，刊正“六经”文字，书于太学石壁，天下模学。又创八分书体。为左中郎将，封高阳乡侯。年六十一。灵帝诏邕画赤泉侯五代将相于省，喜、震、叔节、赐、彪，兼命为赞及书。邕书画与赞皆擅名于代，时称“三美”。见《东观汉记》，并孙畅之《述画》。有《讲学图》《小列女图》传于代。
meso_张衡,Painter,张衡,平子,,,南阳西鄂,年六十二,后汉,{},《历代名画记》,卷四 后汉,张衡，字平子，南阳西鄂人。高才过人，性巧，明天象，善画。累拜侍中，出为河间王相。年六十二。昔建州浦城县山有兽，名“骇神”，豕身人首，状貌丑恶，百鬼恶之，好出水边石上。平子往写之，兽入潭中不出。或云：“此兽畏人画，故不出也，可去纸笔。”兽果出，平子拱手不动，潜以足指画兽。今号为“巴兽潭”。见郭氏《异物志》。彦远按：《三齐记》云：“昔秦始皇见海神，使左右巧者以足画之。”又按：应劭《风俗通》云：“公输班见水上蟸形，以足画之。”巧者非止于手，运思脚亦应乎心也。
meso_刘旦,Painter,刘旦,,,,,{},后汉,{},《历代名画记》,卷四 后汉,刘旦、杨鲁，并光和中画手。待诏尚方，画于洪都学。二人并见谢承《后汉书》。
meso_杨鲁,Painter,杨鲁,,,,,{},后汉,{},《历代名画记》,卷四 后汉,刘旦、杨鲁，并光和中画手。待诏尚方，画于洪都学。二人并见谢承《后汉书》。
meso_杨脩,Painter,杨脩,德祖,,,华阴,{},魏,{},《历代名画记》,卷四 魏,杨脩，字德祖，中品下。华阴人也。有俊才，为丞相主簿，与陈思王友善。武帝以知有余，又袁氏之甥也，且密于植，遂恶之。《魏志》有传。《西京图》《严君平像》《吴季札像》，并晋明帝题字，传于代。
meso_桓范,Painter,桓范,元则,智囊,,沛国龙亢,{},魏,{},《历代名画记》,卷四 魏,桓范，字元则，沛国龙亢人。少以才学称，时号“智囊”，善丹青。在汉为羽林左监，入魏拜大司农。《魏志》有传。
meso_徐邈,Painter,徐邈,景山,,,燕国蓟,年七十六,魏,{},《历代名画记》,卷四 魏,徐邈，字景山，燕国蓟人。性嗜酒，善画。为侍中、司空、都乡侯。年七十六，谥曰穆。《魏志》有传。颜光禄云：“魏阳元之射，徐侍中之画是也。”魏明帝游洛水，见白獭，爱之，不可得。邈曰：“獭嗜鰿鱼，乃不避死。”遂画板作鱼，悬岸，群獭竞来，一时执得。帝嘉叹曰：“卿画何其神也！”答曰：“臣未尝执笔。人所作者，自可庶几。”见《续齐谐记》。
meso_曹不兴,Painter,曹不兴,,,,吴兴,{},吴,{},《历代名画记》,卷四 吴,曹不兴，中品上。吴兴人也。孙权使画屏风，误落笔点素，因就成蝇状。权疑其真，以手弹之。时称吴有“八绝”。张㪍《吴录》云：“八绝者，菰城郑妪善相，刘敦善星象，吴范善候风气，赵达善算，严武善棋，宋寿善占梦，皇象善书，曹不兴善画，是八绝也。”吴赤乌中，不兴之青谿，见赤龙出水上，写献孙皓，皓送秘府。至宋朝，陆探微见画叹其妙，因取不兴龙置水上，应时蓄水成雾，累日雱霈。
meso_诸葛亮,Painter,诸葛亮,孔明,,,,{},蜀,{},《历代名画记》,卷四 蜀,诸葛亮，字孔明。彦远按：常璩《华阳国志》云，亮以南夷之俗难化，乃画《夷图》以赐夷，夷甚重之。
meso_荀勖,Painter,荀勖,公曾,,,颍川,{},晋,{},《历代名画记》,卷五 晋,荀勖，字公曾，中品下。颍川人。多才艺，善书画。在魏为大将军掾，入晋为侍中、中书监、济北侯、光禄大夫、尚书令。太康十年，赠司徒，谥曰成。锺会尝诈作勖书，就勖母取宝剑。会于时方造宅，勖潜画会祖父形于壁，会兄弟入门见之感恸，乃废宅。勖书亦会之比也。见《魏志》，及刘义庆《世说》。有《大列女图》《小列女图》。谢云：“荀与张墨同品。”在第一品卫协下，顾骏之上。
meso_张墨,Painter,张墨,,,,第二品第一,{},晋,{},《历代名画记》,卷五 晋,骏之列为第二品第一人。张墨、荀勖并列为第一品之末，故说在顾骏之之上。
meso_卫协,Painter,卫协,,,,,{},晋,{},《历代名画记》,卷五 晋,卫协。上品下。《抱朴子》云：“卫协、张墨并为画圣。”孙畅之《述画》云：“《上林苑图》，协之迹最妙。又《七佛图》人物不敢点眼睛。”顾恺之《论画》云：“《七佛》与《大列女》皆协之迹，伟而有情势。《毛诗北风图》亦协手，巧密于情思。”此画短卷，八分题。元和初，宗人张惟素将来，余大父答以名马并绢二百匹，惟素后却索，将货与韩侍郎愈之子昶，借与故相国邹平段公家，以模本归于昶。彦远会昌元年见“段家本”，后又于襄州从事见“韩家本”。
meso_王廙,Painter,王廙,世将,,,琅琊临沂,年四十七,晋,{},《历代名画记》,卷五 晋,王廙，字世将，上品上。琅琊临沂人。善属词，工书画，过江后为晋代书画第一，音律众妙毕综。元帝时为左卫将军，封武康侯。时镇军谢尚于武昌昌乐寺造东塔，戴若思造西塔，并请廙画。王敦用廙为平南将军、荆州刺史、护南蛮校尉。赠侍中，年四十七。见《晋书》及何法盛《晋中兴书》。廙画为晋明帝师，书为右军法。时右军亦学画于廙，廙画《孔子十弟子》，赞云：“余兄子羲之，幼而岐嶷，必将隆余堂构。今始年十六，学艺之外，书画过目便能，就余请书画法，余画《孔子十弟子图》以励之。嗟尔羲之，可不勖哉！画乃吾自画，书乃吾自书，吾余事虽不足法，而书画固可法。欲汝学书，则知积学可以致远；学画，可以知师弟子行己之道。又各为汝赞之。”见廙本集。有《异兽图》《列女仁智图》《狮子击象图》《吴楚放牧图》《鱼龙戏水绢图》《村社齐》（屏风）、《犀兕图》，并传于代。
meso_王羲之,Painter,王羲之,逸少,,,扇上画小,年五十九,晋,{},《历代名画记》,卷五 晋,王羲之，字逸少，中品下。廙从子也。风格爽举，不顾常流。书既为古今之冠冕，丹青亦妙。官至右军将军、会稽内史。升平五年卒，年五十九。赠金紫光禄大夫。见《晋书》。《杂兽图》《临镜自写真图》、扇上画小人物传于前代。
meso_康昕,Painter,康昕,君明,,,义兴;外国胡,{},晋,{},《历代名画记》,卷五 晋,康昕，字君明，下品。外国胡人，或云义兴人。书类子敬，亦比羊欣，曾潜易子敬题方山亭壁，子敬初不疑之。画又为妙绝。官至临沂令。孙畅之云“胜杨惠”。《五兽图》传于代。
meso_史道硕,Painter,史道硕,,,,道硕兄弟四,{},晋,{},《历代名画记》,卷五 晋,史道硕。上品下。孙畅之云：“道硕兄弟四人并善画，道硕工人、马及鹅。”谢云：“硕与王微，并师荀、卫，王得其意，史传其似。”《古贤图》《金谷图》《鹅图》《牛图》《七贤图》《七命图》《蜀都赋图》《三马图》《八骏图》《服乘箴图》《酒德颂图》《琴赋图》《嵇中散诗图》《田家十月图》《马图》《王骏戈船图》《梵僧图》《燕人送荆轲图》，并传于代。
meso_谢稚,Painter,谢稚,,,,陈郡阳夏,{},晋,{},《历代名画记》,卷五 晋,谢稚，下品。陈郡阳夏人。初为晋司徒主簿，入宋为宁朔将军、西阳太守。宋《邓琬传》。有《稚子》《列女》《康侯像》《列女母仪图》《列女贞节图》《列女贤明图》《列女仁智图》《列女传》一、《游仙翡翠篇》《列女辩通图》《三马伯乐图》《㶉鶒图》《孝子图》《十弟子图》《三牛图》《濠梁图》《轻车迅迈图》《列女画》《秋兴图》《孝经图》《列女图》《大列女图》《康侯图》《晋宣王及魏名臣图》、杂画一、《楚令尹泣岐蛇图》《孟母图》《游仙图》《秦王游海图》《洛阳门翻车并水图》《汾阴醮鼎图》《狩河阳图》，并传于代。
meso_夏侯瞻,Painter,夏侯瞻,,,,,{},晋,{},《历代名画记》,卷五 晋,夏侯瞻，下品。谢云：“气韵不足，精密有余。擅名当代，事非虚美。”在第三品毛惠远下、戴逵上。《郢匠图》《高士图》《倕山图》《楚人祠鬼神图》传于代。
meso_嵇康,Painter,嵇康,叔夜,,,谯国铚,年四十,晋,{},《历代名画记》,卷五 晋,嵇康，字叔夜，谯国铚人。能属词，善鼓琴，工书画，美风仪。在魏拜中散大夫，入晋不仕。自以高洁难期，所与神交者，唯王戎、山涛等，为“竹林七贤”而已。性巧绝，与向秀共锻于柳树下。锺会，贵公子也，往访之，康不礼焉。会构祸康于文帝，时年四十。见《晋书》。《狮子击象图》《巢由图》传于代。
