work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,source_chapter,source_text
work_36d1d945,神鬼,meso_吴道子,唐,神怪,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,荐福寺。天后飞白书额。净土院门外两边，吴画神鬼；南边神头上龙为妙。西廊菩提院，吴画维摩诘本行变。律院北廊，张璪、毕宏画。西南院佛殿内东壁及廊下行僧，并吴画，未了。
work_31753d33,维摩诘本行变,meso_吴道子,唐,佛教,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,荐福寺。天后飞白书额。净土院门外两边，吴画神鬼；南边神头上龙为妙。西廊菩提院，吴画维摩诘本行变。律院北廊，张璪、毕宏画。西南院佛殿内东壁及廊下行僧，并吴画，未了。
work_246e38cc,菩萨,meso_尹琳,唐,佛教,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。
work_74a8deb0,经变,meso_杨庭光,唐,佛教,残损,Wall,,,《历代名画记》,卷三 西京寺观等画壁,慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。
work_ff349c13,地狱变,meso_张孝师,唐,佛教,剥落,Wall,,,《历代名画记》,卷三 西京寺观等画壁,慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。
work_c8ae9c78,松树,meso_韦銮,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,慈恩寺。塔内面东西间，尹琳画，西面菩萨骑狮子，东面骑象。塔下南门，尉迟画；西壁千钵文殊，尉迟画；南北两间及两门，吴画并自题。塔北殿前窗间，吴画菩萨。殿内杨庭光画经变，色损。大殿东轩廊北壁，吴画未了。旧传是吴，细看不是。大殿东廊从北第一院，郑虔、毕宏、王维等白画。入院北壁，二神甚妙，失人名。两廊壁间，阎令画。中间及西廊，李果奴画行僧。塔之东南中门外偏，张孝师画地狱变，已剥落。院内东廊从北第一房间南壁，韦銮画松树。大佛殿内东壁好画，失人名。中三门里两面，尹琳画神。
work_a4b8c770,明真经变,meso_吴道子,唐,佛教,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,龙兴观。大门内吴画神，已摧剥。殿内东壁，吴画明真经变。北面从西第二门，董谔白画。
work_9f36f4f6,山水,meso_朱审,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,唐安寺。塔下尹琳、李真画。北堂内西壁，朱审画山水。
work_a5103b9c,经变,meso_姚景仙,唐,佛教,,Scroll,,,《历代名画记》,卷三 西京寺观等画壁,资圣寺。殷仲容题额。檀章画中三门东窗间，南、北面，吴画高僧。大三门东南壁，姚景仙画经变。寺西门直西院外神及院内经变，杨庭光画。北圆塔下，李真、尹琳绢画菩萨。
work_0cbc2d96,菩萨,meso_尹琳,唐,佛教,,Scroll,,,《历代名画记》,卷三 西京寺观等画壁,资圣寺。殷仲容题额。檀章画中三门东窗间，南、北面，吴画高僧。大三门东南壁，姚景仙画经变。寺西门直西院外神及院内经变，杨庭光画。北圆塔下，李真、尹琳绢画菩萨。
work_77505dcc,地狱变,meso_杨庭光,唐,佛教,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,宝刹寺。佛殿南杨契丹画涅槃等变相，与裴《录》同，据裴《画录》亦有郑画，今不见也。西廊陈静眼画地狱变，又有杨庭光画。
work_d62157f9,一行大师真,meso_韩幹,唐,人物,,Scroll,,,《历代名画记》,卷三 西京寺观等画壁,兴唐寺。三门楼下，吴画神。东般若院，杨庭光画山水等。西院，韩幹画一行大师真，徐浩书赞；又有吴生、周昉绢画。中三门内东西偏两壁，尉迟画。殿轩廊东、西、南壁，吴画。净土院，董谔、尹琳、杨坦、杨乔画。院内次北廊向东塔院内西壁，吴画金刚变，工人成色，损。次南廊，吴画金刚经变及郗后等，并自题。小殿内，吴画神、菩萨、帝释，西壁西方变，亦吴画。东南角，吴弟子李生画金光明经变。讲堂内，杨庭光画。
work_5efc9461,金刚变,meso_吴道子,唐,佛教,残损,Scroll,,,《历代名画记》,卷三 西京寺观等画壁,兴唐寺。三门楼下，吴画神。东般若院，杨庭光画山水等。西院，韩幹画一行大师真，徐浩书赞；又有吴生、周昉绢画。中三门内东西偏两壁，尉迟画。殿轩廊东、西、南壁，吴画。净土院，董谔、尹琳、杨坦、杨乔画。院内次北廊向东塔院内西壁，吴画金刚变，工人成色，损。次南廊，吴画金刚经变及郗后等，并自题。小殿内，吴画神、菩萨、帝释，西壁西方变，亦吴画。东南角，吴弟子李生画金光明经变。讲堂内，杨庭光画。
work_48d3f1a7,金光明经变,meso_李生,唐,佛教,,Scroll,,,《历代名画记》,卷三 西京寺观等画壁,兴唐寺。三门楼下，吴画神。东般若院，杨庭光画山水等。西院，韩幹画一行大师真，徐浩书赞；又有吴生、周昉绢画。中三门内东西偏两壁，尉迟画。殿轩廊东、西、南壁，吴画。净土院，董谔、尹琳、杨坦、杨乔画。院内次北廊向东塔院内西壁，吴画金刚变，工人成色，损。次南廊，吴画金刚经变及郗后等，并自题。小殿内，吴画神、菩萨、帝释，西壁西方变，亦吴画。东南角，吴弟子李生画金光明经变。讲堂内，杨庭光画。
work_ca9f1d40,水族,meso_耿昌言,唐,花鸟走兽,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,菩提寺。佛殿内东西壁，吴画神鬼。西壁工人布色，损。佛殿壁带间亦有杨庭光白画。殿内东、西、北壁，并吴画，其东壁有菩萨转目视人，法师文溆亡何令工人布色，损矣！东壁，董谔画本行经变。佛殿上构栏，耿昌言画水族。佛殿内东壁，杨庭光画。据《西京记》，合有郑画，今亡。
work_6800a581,山水,meso_李昭道,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,万安观。公主影堂东北小院，南行，屋门外北壁，李昭道画山水。
work_6dcd7386,净土变,meso_赵武端,唐,佛教,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,云花寺。小佛殿有赵武端画净土变。西廊北院门上北面，王知慎画。
work_11027069,山水,meso_张璪,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,宝应寺。多韩幹白画，亦有轻成色者。佛殿东西二菩萨，亦幹画，工人成色，损。西南院小堂北壁，张璪画山水。院南门外，韩幹画侧坐毗沙门天王。北下方西塔院下，边鸾画牡丹。
work_fbf37198,牡丹,meso_韩幹,唐,花鸟走兽,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,宝应寺。多韩幹白画，亦有轻成色者。佛殿东西二菩萨，亦幹画，工人成色，损。西南院小堂北壁，张璪画山水。院南门外，韩幹画侧坐毗沙门天王。北下方西塔院下，边鸾画牡丹。
work_b3d58e65,普贤菩萨,meso_李纶,唐,佛教,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,院门北边碑，颜鲁公书，岑勋撰。南边碑，张芬书。向里面壁上碑，吴通微书，僧道秀撰。造塔人，木匠李伏横，石作张爱儿。石井栏，篆书，李阳冰，石作张爱儿。东阁，肃宗置，面东碑，韩择木八分书，王据撰。天台智者大师碑，张芬书。佛殿东院西行南院。殿内有李纶画普贤菩萨，田琳画文殊师利菩萨。
work_55e54ca5,山水,meso_王陁子,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,崇福寺。武后题额。西库，牛昭、王陁子画山水。东山亭，刘整画山水。西库门外西壁神，吴画，自题。
work_704cc6a2,山水,meso_刘整,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,崇福寺。武后题额。西库，牛昭、王陁子画山水。东山亭，刘整画山水。西库门外西壁神，吴画，自题。
work_7ec076cc,维摩诘,meso_孙尚子,隋,佛教,,Screen,,,《历代名画记》,卷三 西京寺观等画壁,定水寺。王羲之题额，从荆州将来。殿内东壁北二神，西壁三帝释，并张僧繇画，从上元县移来。余七神及下小神，并解倩画。殿内东壁，孙尚子画维摩诘，其后屏风，临古迹帖，亦妙。中间亦孙尚子画。东间不是孙，亦妙，失人名。内东西壁及前面门上并似展画，甚妙。前面有三圆光，皆突生壁窗间，菩萨亦妙。
work_7d852ecd,山水,meso_杨庭光,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,西明寺。玄宗朝南薰殿学士刘子皋书额。入西门南壁，杨庭光画神两铺，成色损。东廊东面第一间，传法者图赞，褚遂良书。第三间利防等，四间昙柯迦罗，并欧阳通书。寺东崇福寺壁碾，陈积善画山水。三阶院，蔡金刚、范长寿画。
work_0493e6f0,山水,meso_吴道子,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,御史台。殿中厅吴画山水，据其画迹，不是吴。又萧桂州祐画山水。
work_dc25bf60,山水,meso_梁洽,唐,山水,,Wall,,,《历代名画记》,卷三 西京寺观等画壁,太常寺。太卿后厅，梁洽画山水。
work_a6940049,地狱变,meso_吴道子,唐,佛教,,Wall,,,《历代名画记》,卷三 东都寺观画壁,福先寺。三阶院，吴画地狱变，有病龙最妙。寺三门两头亦似吴画。系本寺三阶院。
work_27b1d978,除灾患变,meso_吴道子,唐,佛教,,Board,,,《历代名画记》,卷三 东都寺观画壁,天宫寺。三门，吴画除灾患变。板上二菩萨，张僧繇画。从江南将来。
work_45442e39,八国王分舍利,meso_展子虔,隋,佛教,,Wall,,,《历代名画记》,卷三 东都寺观画壁,龙兴寺。西禅院殿东头，展画八国王分舍利。
work_979c339e,西域记图,meso_杨庭光,唐,地图/杂画,,Screen,,,《历代名画记》,卷三 东都寺观画壁,昭成寺。西廊障日《西域记图》，杨庭光画。三门下护法二神，张遵礼画。香炉两头净土变、药师变，程逊画。
work_a28b7bef,东封图,meso_吴道子,唐,山水,,Wall,,,《历代名画记》,卷三 东都寺观画壁,弘道观。《东封图》是吴画，《两京记》乃云“非名手画”，误也。
work_d33a4a82,汉麟阁图,,汉,花鸟走兽,,Scroll,,,《历代名画记》,卷三 《甘泉宫图》汉武,《汉麟阁图》二：武帝一，宣帝一
work_56d4276b,河图,,,山水,,Scroll,,,《历代名画记》,卷三 《望气图》一,《河图》十三，又八卷
work_d22b6956,山海经图,,,神怪,,Scroll,,,《历代名画记》,卷三 《黄帝升龙图》一卷,《山海经图》六，又钞图一
work_e02fd979,二十八人,meso_司马迁,汉,人物,,Scroll,,,《历代名画记》,卷三 《黄帝升龙图》一卷,《太史公汉书图》八，又《汉记图》三，太史公画二十八人
work_e562840e,太史公汉书图,meso_司马迁,汉,人物,,Scroll,,,《历代名画记》,卷三 《黄帝升龙图》一卷,《太史公汉书图》八，又《汉记图》三，太史公画二十八人
work_6b37212d,汉记图,meso_司马迁,汉,人物,,Scroll,,,《历代名画记》,卷三 《黄帝升龙图》一卷,《太史公汉书图》八，又《汉记图》三，太史公画二十八人
work_aece002f,诸卤簿图,,,地图/杂画,,Scroll,,,《历代名画记》,卷三 《天地郊社图》,《诸卤簿图》不备录，篇目至多
work_4ae5ad7c,古圣贤帝王图,,,人物,,Scroll,,,《历代名画记》,卷三 《天地郊社图》,《古圣贤帝王图》二，又六
work_d800196b,搜神记图,,,神怪,,Scroll,,,《历代名画记》,卷三 《列仙传图》一,《搜神记图》四，荀
work_49187f14,地形图,meso_张衡,后汉,地图/杂画,,Scroll,,,《历代名画记》,卷三 《百国人图》一卷,《地形图》一，张衡
work_78c81d80,地形方丈图,meso_裴秀,晋,地图/杂画,,Scroll,,,《历代名画记》,卷三 《百国人图》一卷,《地形方丈图》一，裴秀
work_b6ced753,日月交会图,,,地图/杂画,,Scroll,,,《历代名画记》,卷三 《浑天宣夜图》各一,《日月交会图》一，郑玄注
work_8dc6e107,江图,,周,山水,,Scroll,,,《历代名画记》,卷三 《周室王城明堂宗庙图》,《江图》三，刘氏，又一张氏
