lit_id,target_ref,source_book,source_chapter,author_ref,quality_rank,source_text
lit_7a8d13f9,蒋少游,《历代名画记》,卷一 顾野王,张彦远,,蒋少游　郭善明　侯文和　柳俭　闵文和　郭道兴杨乞德　王由　祖班
lit_9ac02c9b,王由,《历代名画记》,卷一 顾野王,张彦远,,蒋少游　郭善明　侯文和　柳俭　闵文和　郭道兴杨乞德　王由　祖班
lit_62bceac2,杨乞德,《历代名画记》,卷一 顾野王,张彦远,,蒋少游　郭善明　侯文和　柳俭　闵文和　郭道兴杨乞德　王由　祖班
lit_02b8d40f,江志,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
lit_73acac49,展子虔,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
lit_2f1120b3,李雅,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
lit_de27fb95,程瓒,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
lit_62ef64aa,董伯仁,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
lit_6fdd5b3f,郑法士,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
lit_e42436b3,王仲舒,《历代名画记》,卷一 冯提伽,张彦远,,阎毗　何稠　刘龙龙弟衮　展子虔　郑法士弟法轮，子德文　孙尚子　董伯仁　杨契丹　刘乌　陈善见　江志　李雅　王仲舒　阎思光　解悰　程瓒　尉迟跋质那　僧昙摩拙叉
