rel_id,source_id,target_id,relation_type,formal_name,source_book,source_chapter,source_text
"后画录_关系_0001","郑法士","张僧繇","师承","取法","《后画录·彦悰》.md","周中大夫郑法士","取法张公，备该万物。后来冠冕，获擅名家。"
"后画录_关系_0002_1","孙尚孜","顾恺之","师承","师模","《后画录·彦悰》.md","隋孙尚孜","师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。"
"后画录_关系_0002_2","孙尚孜","陆探微","师承","师模","《后画录·彦悰》.md","隋孙尚孜","师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。"
"后画录_关系_0003","曹仲达","周研","师承","师依","《后画录·彦悰》.md","北齐朝散大夫曹仲达","师依周研，竹树山水。外国佛像，无竞于时。"
"后画录_关系_0004_3","阎立本","张僧繇","师承","学宗","《后画录·彦悰》.md","唐司平太常伯阎立本","学宗张、郑，奇态不穷。变古象今，天下取则。"
"后画录_关系_0004_4","阎立本","郑法士","师承","学宗","《后画录·彦悰》.md","唐司平太常伯阎立本","学宗张、郑，奇态不穷。变古象今，天下取则。"
"后画录_关系_0005","周昙妍","塞北勒","师承","师","《后画录·彦悰》.md","齐周昙妍","师塞北勒，法曹仲达。方韩则有余，比曹则不足。亦若文、武创拨乱之功，成王安太平之业。《名画记》云：塞北勒未详。"
"后画录_关系_0006","周昙妍","曹仲达","师承","法","《后画录·彦悰》.md","齐周昙妍","师塞北勒，法曹仲达。方韩则有余，比曹则不足。亦若文、武创拨乱之功，成王安太平之业。《名画记》云：塞北勒未详。"
"后画录_关系_0007","王仲舒","孙尚孜","师承","北面","《后画录·彦悰》.md","隋王仲舒","北面孙公，风骨不逮。精熟婉润，名辈所推。"
"后画录_关系_0008","袁子昂","郑法士","师承","禀训","《后画录·彦悰》.md","周袁子昂","禀训郑公，殆无失坠。妇人一绝，超彼常伦。"
"后画录_关系_0009","靳智翼","曹不兴","师承","效","《后画录·彦悰》.md","唐靳智翼","效曹不兴。"
"后画录_关系_0010","靳智翼","曹仲达","师承","祖述","《后画录·彦悰》.md","唐靳智翼","祖述曹公，改张琴瑟。变夷为夏，初是斯人。"
"后画录_关系_0011_5","王知慎","阎立德","师承","受业","《后画录·彦悰》.md","唐殷王府法曹王知慎","受业阎家，写生殆庶。用笔爽利，风彩不凡。"
"后画录_关系_0011_6","王知慎","阎立本","师承","受业","《后画录·彦悰》.md","唐殷王府法曹王知慎","受业阎家，写生殆庶。用笔爽利，风彩不凡。"
"后画录_关系_0012","吴智敏","梁宽","师承","宗匠","《后画录·彦悰》.md","唐吴智敏","宗匠梁宽，神襟更逸。终于是门，损益可知。"
"后画录_关系_0013","尉迟乙僧","尉迟甲僧","亲属","兄弟","《后画录·彦悰》.md","吐火罗国胡尉迟乙僧","善攻鬼神，当时之美也。有兄甲僧，在其本国矣。"
"rel_houhualu_added_001","陈善见","郑法士","师承","准的","《后画录·彦悰》.md","隋陈善见","准的郑公，触途成擅。笔媚温润，斯人所长。"
