period_id,name,time_range,dynastic_info,source_book,source.chapter,originalsource_sentence
period_0001,隋、梁以前,"{""start"":0,""end"":618}",隋、梁以前；自国朝以来；前朝,《唐朝名画录》,序 物理页面 第 1 页,"古今画品,论之者多矣。隋、梁以前,不可得而言。自国朝以来,惟李嗣真《画品录》<sup>〔1〕</sup>,空录人名,而不论其善恶,无品格高下,俾后之观者,何所考焉?景玄窃好斯艺,寻其踪迹,不见者不录;见者必书。推之至心,不愧拙目。以张怀瓘《画品断》<sup>〔2〕</sup>神、妙、能三品,定其等格,上、中、下又分为三;其格外有不拘常法,又有逸品,以表其优劣也。夫画者以人物居先,禽兽次之,山水次之,楼殿屋木次之。何者?前朝陆探微<sup>〔3〕</sup>屋木居第一,皆以人物禽兽,移生动质,变态不穷,凝神定照,固为难也。故陆探微画人物极其妙绝,至于山水草木,粗成而已。"
period_0002,近代,"{""start"":713,""end"":805}",近代；当世,《唐朝名画录》,序 物理页面 第 2 页,"且《萧史》、《木雁》、《风俗》、《洛神》<sup>〔4〕</sup>等图画,尚在人间,可见之矣。近代画者,但工一物,以擅其名,斯即幸矣。惟吴道子<sup>〔5〕</sup>天纵其能,独步当世,可齐踪于陆、顾<sup>〔6〕</sup>;又周昉<sup>〔7〕</sup>次焉。其余作者一百二十四人,直以能画定其品格,不计其冠冕贤愚;然于品格之中,略序其事,后之至鉴者,可以诋诃,其理为不谬矣。伏闻古人云:“画者圣也。”盖以穷天地之不至,显日月之不照。挥纤毫之笔,则万类由心;展方寸之能,而千里在掌。至于移神定质,轻墨落素,有象因之以立,无形因之以生。其丽也,西子<sup>〔8〕</sup>不能掩其妍;其正也,嫫母<sup>〔9〕</sup>不能易其丑。故台阁标功臣之烈<sup>〔10〕</sup>,宫殿彰贞节之名<sup>〔11〕</sup>,妙将入神,灵则通圣,岂止开厨而或失<sup>〔12〕</sup>,挂壁则飞去<sup>〔13〕</sup>而已哉!此《画录》<sup>〔14〕</sup>之所以作也。吴郡朱景玄<sup>〔15〕</sup>撰。"
period_0003,少孤贫,"{""start"":713,""end"":741}",少孤贫；年未弱冠；开元中,《唐朝名画录》,神品上一人 物理页面 第 2 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。"
period_0004,俄顷,"{""start"":742,""end"":756}",俄顷；一日之中；天宝中；一日而毕；累月方毕；数月之功；近代,《唐朝名画录》,神品上一人 物理页面 第 3 页,"舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”<sup>〔7〕</sup>明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”<sup>〔8〕</sup>又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》<sup>〔9〕</sup>自识本身。天宝中有杨庭光<sup>〔10〕</sup>与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑,何用图之?"因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》<sup>〔11〕</sup>云:“寺观之中,图画墙壁。凡三百余间。变相<sup>〔12〕</sup>人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊<sup>〔13〕</sup>、普贤<sup>〔14〕</sup>,西面庑下降魔<sup>〔15〕</sup>、盘龙等壁,及景公寺地狱壁、帝释<sup>〔16〕</sup>、梵王<sup>〔17〕</sup>、龙神,永寿寺<sup>〔18〕</sup>中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。"
period_0005,元和初,"{""start"":806,""end"":810}",元和初；年八十余；后代,《唐朝名画录》,神品上一人 物理页面 第 4 页,"景玄元和初应举,住龙兴寺<sup>〔19〕</sup>,犹有尹老者年八十余,尝云:“吴生画兴善寺<sup>〔20〕</sup>中门内神圆光时,长安市肆老幼士庶竞至,观者如堵。其圆光立笔挥扫,势若风旋,人皆谓之神助。”又尝闻景云寺老僧传云:“吴生画此寺地狱变相时,京都屠沽渔☐之辈,见之而惧罪改业者,往往有之,率皆修善。”所画并为后代人规式也。"
period_0006,经数月,"{""start"":779,""end"":805}",经数月；经月有余；当代,《唐朝名画录》,神品中一人 物理页面 第 6 页,骑射，随哥舒翰征吐番<sup>〔3〕</sup>，取名堡城，以功为执金吾<sup>〔4〕</sup>。时属德宗修章敬寺<sup>〔5〕</sup>，召皓云：“卿弟昉善画，朕欲宣画章敬寺神，卿特言之。”经数月，果召之，昉乃下手。落笔之际，都入竞观，寺抵园门，贤愚毕至。或有言其妙者，或有指其瑕者，随意改定。经月有余，是非语绝，无不叹其精妙，为当时第一。又郭令公<sup>〔6〕</sup>婿赵纵侍郎尝令韩幹<sup>〔7〕</sup>写真，众称其善；后又请周昉长史写之。二人皆有能名，令公尝列二真置于坐侧，未能定其优劣。因赵夫人归省，令公问云：“此画何人？”对曰：“赵郎也。”又云：“何者最似？”对曰：“两画皆似，后画尤佳。”又云：“何以言之？”云：“前画者空得赵郎状貌；后画者兼移其神气，得赵郎情性笑言之姿。”令公问曰：“后画者何人？”乃云：“长史周昉。”<sup>〔8〕</sup>是日遂定二画之优劣，令送锦彩数百段与之。今上都有画《水月观自在菩萨》，时人又云：大云寺<sup>〔9〕</sup>佛殿前《行道僧》、广福寺<sup>〔10〕</sup>佛殿前面两神，皆殊绝当代。昉任宣州别驾，于禅定寺<sup>〔11〕</sup>画《北方天王》，尝于梦中见其形像。
period_0007,贞元末,"{""start"":803,""end"":805}",贞元末,《唐朝名画录》,神品中一人 物理页面 第 7 页,又画士女，为古今冠绝。又画《浑侍中宴会图》、《刘宣按武图》、《独孤妃按曲图》粉本；又画《仲尼问礼图》、《降真图》、《五星图》、《扑蝶图》，兼写诸真，及《文宣王十弟子》卷轴等至多。贞元末新罗<sup>〔12〕</sup>国有人于江淮以善价收市数十卷，持住彼国。其画佛像、真仙、人物、士女、皆神品也；☐鞍马、鸟兽、草木、林石，不穷其状。
period_0008,当世,"{""start"":626,""end"":649}",当世,《唐朝名画录》,神品下七人 物理页面 第 8 页,太宗朝官至刑部侍郎，位居宰相。与兄立德<sup>〔2〕</sup>齐名于当世，尝奉诏写太宗御容。后有佳手传写于玄都观<sup>〔3〕</sup>东壁前间，以镇九岗<sup>〔4〕</sup>之气，犹可仰神武之英威也。
period_0009,贞观初,"{""start"":627,""end"":630}",贞观初,《唐朝名画录》,神品下七人 物理页面 第 9 页,吐火罗国人。贞观初其国王以丹青奇妙，荐之阙下；又云：其国尚有兄甲僧，未见其画踪也。乙僧今慈恩寺塔前功德，又凹凸花面中间千手眼太悲精妙之状，不可名焉；又光泽寺<sup>〔14〕</sup>七宝台后面画《降魔像》千怪万状，实奇踪也。凡画功德、人物、花鸟、皆是外国之物像，非中华之威仪。前辈云：“尉迟僧，阎立本之比也。”景玄尝以阎画外国之人，未尽其妙；尉迟画中华之像，抑亦未闻。由是评之，所攻各异，其故居神品也。
period_0010,开元中,"{""start"":713,""end"":756}",开元中；天宝中,《唐朝名画录》,神品下七人 物理页面 第 10 页,开元中除卫将军，与其子李昭道中舍俱得山水之妙，时人号大李、小李<sup>〔15〕</sup>。思训格品高奇，山水绝妙；鸟兽、草木，皆穷其态。昭道虽图山水、鸟兽，甚多繁巧；智惠笔力不及思训。天宝中明皇召思训画大同殿壁，兼掩障<sup>〔16〕</sup>。异日因对，语思训云：“卿所画掩障，夜闻水声。”通神之佳手也，国朝山水第一。故思训神品，昭道妙上品也。
