location_id,name,type,historical_names,modern_address,coordinates,source_book,source_chapter,source_text
loc_0001,潞府,Admin_Region,上党郡; 潞州,山西省长治市,"36.1954, 113.1163",《唐朝名画录》,国朝亲王三人 物理页面 第 1 页,善画雀蝉，驴子；应制明皇潞府<sup>〔3〕</sup> 《九瑞应图》，实造神极妙。
loc_0002,东京,City,东都; 洛阳,河南省洛阳市,"34.6181, 112.4540",《唐朝名画录》,神品上一人 物理页面 第 2 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。"
loc_0003,阳翟,Admin_Region,禹州,今河南禹县,"34.1480, 113.4880",《唐朝名画录》,神品上一人 物理页面 第 2 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。"
loc_0004,东洛,City,洛阳,河南省洛阳市,"34.6181, 112.4540",《唐朝名画录》,神品上一人 物理页面 第 2 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。"
loc_0005,东都,City,洛阳,河南省洛阳市,"34.6181, 112.4540",《唐朝名画录》,神品上一人 物理页面 第 2 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。"
loc_0006,天宫寺,Temple,天官寺; 洛阳天宫寺,河南省洛阳市,"34.6181, 112.4540",《唐朝名画录》,神品上一人 物理页面 第 2 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。"
loc_0007,玄元庙,Temple,太微宫; 玄元皇帝庙,河南省洛阳市,"34.6181, 112.4540",《唐朝名画录》,神品上一人 物理页面 第 3 页,"舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”<sup>〔7〕</sup>明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”<sup>〔8〕</sup>又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》<sup>〔9〕</sup>自识本身。天宝中有杨庭光<sup>〔10〕</sup>与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑, 何用图之?”因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》<sup>〔11〕</sup>云:“寺观之中,图画墙壁。凡三百余间。变相<sup>〔12〕</sup>人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊<sup>〔13〕</sup>、普贤<sup>〔14〕</sup>,西面庑下降魔<sup>〔15〕</sup>、盘龙等壁,及景公寺地狱壁、帝释<sup>〔16〕</sup>、梵王<sup>〔17〕</sup>、龙神,永寿寺<sup>〔18〕</sup>中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。"
loc_0008,蜀道,Admin_Region,,四川省、陕西省交界区域,"32.5000, 106.0000",《唐朝名画录》,神品上一人 物理页面 第 3 页,"舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”<sup>〔7〕</sup>明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”<sup>〔8〕</sup>又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》<sup>〔9〕</sup>自识本身。天宝中有杨庭光<sup>〔10〕</sup>与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑, 何用图之?”因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》<sup>〔11〕</sup>云:“寺观之中,图画墙壁。凡三百余间。变相<sup>〔12〕</sup>人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊<sup>〔13〕</sup>、普贤<sup>〔14〕</sup>,西面庑下降魔<sup>〔15〕</sup>、盘龙等壁,及景公寺地狱壁、帝释<sup>〔16〕</sup>、梵王<sup>〔17〕</sup>、龙神,永寿寺<sup>〔18〕</sup>中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。"
loc_0009,嘉陵江水,Natural_Feature,嘉陵江,发源于陕西，流经甘肃、四川、重庆,"32.0000, 106.0000",《唐朝名画录》,神品上一人 物理页面 第 3 页,"舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”<sup>〔7〕</sup>明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”<sup>〔8〕</sup>又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》<sup>〔9〕</sup>自识本身。天宝中有杨庭光<sup>〔10〕</sup>与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑, 何用图之?”因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》<sup>〔11〕</sup>云:“寺观之中,图画墙壁。凡三百余间。变相<sup>〔12〕</sup>人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊<sup>〔13〕</sup>、普贤<sup>〔14〕</sup>,西面庑下降魔<sup>〔15〕</sup>、盘龙等壁,及景公寺地狱壁、帝释<sup>〔16〕</sup>、梵王<sup>〔17〕</sup>、龙神,永寿寺<sup>〔18〕</sup>中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。"
loc_0010,大同殿,Building,,陕西省西安市（唐大明宫内）,"34.2900, 108.9600",《唐朝名画录》,神品上一人 物理页面 第 3 页,"舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”<sup>〔7〕</sup>明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”<sup>〔8〕</sup>又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》<sup>〔9〕</sup>自识本身。天宝中有杨庭光<sup>〔10〕</sup>与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑, 何用图之?”因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》<sup>〔11〕</sup>云:“寺观之中,图画墙壁。凡三百余间。变相<sup>〔12〕</sup>人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊<sup>〔13〕</sup>、普贤<sup>〔14〕</sup>,西面庑下降魔<sup>〔15〕</sup>、盘龙等壁,及景公寺地狱壁、帝释<sup>〔16〕</sup>、梵王<sup>〔17〕</sup>、龙神,永寿寺<sup>〔18〕</sup>中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。"
