person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
meso_汉王元昌,Painter,汉王元昌,,,,,,高祖，太宗,,《唐朝名画录》,国朝亲王三人 物理页面 第 1 页,"<sup>〔1〕</sup>
善画马，笔踪妙绝，后人无见。画鹰鹘，雉兔，现在人间，佳手降叹矣。"
meso_江都王,Painter,江都王,,,,,,国初，太宗,,《唐朝名画录》,国朝亲王三人 物理页面 第 1 页,"<sup>〔2〕</sup>
善画雀蝉，驴子；应制明皇潞府<sup>〔3〕</sup> 《九瑞应图》，实造神极妙。"
meso_嗣滕王,Painter,嗣滕王,,,,,,玄宗，天宝,,《唐朝名画录》,国朝亲王三人 物理页面 第 2 页,"<sup>〔4〕</sup>
善画蜂蝉，燕雀，驴子，水牛，曾见一本，能巧之外，曲尽情理，未敢定其品格。
〔1〕 高祖李渊第七子元昌，元德十年(六三六)封汉王。他除善画动物外，也能画人物，传有《汉贤王图》。
新、旧《唐书》均列传。李嗣真《画品录》所评，见《历代名画记》引。
〔2〕 太宗李世民侄绪，封江王都。杜甫曾以“国初以来画鞍马,神妙独数江都王”。称赞他的画马艺术。
〔3〕 玄宗李隆基以前住宅。
〔4〕 玄宗天宝十一年(七五二)高祖第二十二子滕王李元婴后嗣李湛然袭封滕王，人称他为嗣滕王。
吴道玄"
meso_吴道玄,Painter,吴道玄,道子,,太微宫,阳翟,,中宗，睿宗，天授，玄宗，明皇，开元，天宝,,《唐朝名画录》,神品上一人 物理页面 第 5 页,"吴道玄字道子,东京阳翟<sup>〔1〕</sup>人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉<sup>〔2〕</sup>。开元中驾幸东洛,吴生与裴旻<sup>〔3〕</sup>将军、张旭<sup>〔4〕</sup>长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺<sup>〔5〕</sup>,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗<sup>〔6〕</sup>为道子舞剑。
舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”<sup>〔7〕</sup>明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”<sup>〔8〕</sup>又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》<sup>〔9〕</sup>自识本身。天宝中有杨庭光<sup>〔10〕</sup>与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑,何用图之?”因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》<sup>〔11〕</sup>云:“寺观之中,图画墙壁。凡三百余间。变相<sup>〔12〕</sup>人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊<sup>〔13〕</sup>、普贤<sup>〔14〕</sup>,西面庑下降魔<sup>〔15〕</sup>、盘龙等壁,及景公寺地狱壁、帝释<sup>〔16〕</sup>、梵王<sup>〔17〕</sup>、龙神,永寿寺<sup>〔18〕</sup>中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。
景玄元和初应举,住龙兴寺<sup>〔19〕</sup>,犹有尹老者年八十余,尝云:“吴生画兴善寺<sup>〔20〕</sup>中门内神圆光时,长安市肆老幼士庶竞至,观者如堵。其圆光立笔挥扫,势若风旋,人皆谓之神助。”又尝闻景云寺老僧传云:“吴生画此寺地狱变相时,京都屠沽渔☐之辈,见之而惧罪改业者,往往有之,率皆修善。”所画并为后代人规式也。
〔1〕 唐代的洛阳,称为东京。阳翟,今河南禹县。
〔2〕 开元年间(约七一六年)被玄宗李隆基召入宫中,为供奉。
〔3〕 裴旻,善舞剑,与李白歌诗,张旭草书并称三绝,并善射。
〔4〕 张旭,字伯高,吴人。善草书,嗜酒,也称张颠,又称草圣。
〔5〕 东都,即洛阳,天官寺三门,有《除灾患变》、《神鬼像》壁画。
〔6〕 黑色麻布衣服。
〔7〕 洛阳城北玄元皇帝庙,原名太微宫,天宝八年(七四九),杜甫三十八岁时,曾到这里观赏吴道玄所画唐高祖李渊,太宗李世民、高宗李治、中宗李显、睿宗李旦五个皇帝的《五圣图》后,写成《冬日洛城北谒玄元皇帝庙》五古一首。此处所引,为诗中直接描写吴画原句。接着有“五圣联龙衮,千官列雁行”。朱景玄所称“五圣千官”,即本于此。
〔8〕 李思训生于永徽四年(六五三年),卒于开元六年(七一八年),到天宝(七四二——七五六)中,已辞世二、三十年。而玄宗李隆基是天宝十五年(七二七)因安禄山反而去四川的。因之这条记载是完全失实的。
〔9〕 《金刚经》,姚秦时鸠摩罗什译,详称《金刚般若波罗密多经》,是佛经之一种。
〔10〕 杨庭光,唐开元时宗教故事、山水、肖像画家。开封千福寺塔北面的《普贤菩萨壁画》,是他的手笔。
〔11〕 《两京耆旧传》,未见《丛书综录》,此书或已佚去。
〔12〕 佛经故事画,称为“变相”。
〔13〕 唐兴寺、慈恩寺均在长安。梵语称文殊师利菩萨,义为妙吉祥。佛家尊之为菩萨首座。
〔14〕 普贤菩萨与文殊菩萨为佛门二圣。普贤有行弥法界,位临极圣的意义。
〔15〕 佛得道,魔王波旬率魔鬼来攻击佛,终被佛所降伏。
〔16〕 景公寺在长安(今陕西西安)。佛经称欲界忉利天之主日帝释。
〔17〕 大梵天王略称梵王,印度尊神。
〔18〕、〔19〕、〔20〕 永寿寺、龙兴寺、兴善寺均在长安。
周昉"
meso_周昉,Painter,周昉,仲朗,,,京兆,,玄宗，德宗，贞元,,《唐朝名画录》,神品中一人 物理页面 第 8 页,"周昉字仲朗,京兆<sup>〔1〕</sup>人也,节制<sup>〔2〕</sup>之后,好属文,穷丹青之妙,游卿相间,贵公子也。兄皓,善骑射,随哥舒翰征吐番<sup>〔3〕</sup>,取名堡城,以功为执金吾<sup>〔4〕</sup>。
骑射，随哥舒翰征吐番<sup>〔3〕</sup>，取名堡城，以功为执金吾<sup>〔4〕</sup>。时属德宗修章敬寺<sup>〔5〕</sup>，召皓云：“卿弟昉善画，朕欲宣画章敬寺神，卿特言之。”经数月，果召之，昉乃下手。落笔之际，都入竞观，寺抵园门，贤愚毕至。或有言其妙者，或有指其瑕者，随意改定。经月有余，是非语绝，无不叹其精妙，为当时第一。又郭令公<sup>〔6〕</sup>婿赵纵侍郎尝令韩幹<sup>〔7〕</sup>写真，众称其善；后又请周昉长史写之。二人皆有能名，令公尝列二真置于坐侧，未能定其优劣。因赵夫人归省，令公问云：“此画何人？”对曰：“赵郎也。”又云：“何者最似？”对曰：“两画皆似，后画尤佳。”又云：“何以言之？”云：“前画者空得赵郎状貌；后画者兼移其神气，得赵郎情性笑言之姿。”令公问曰：“后画者何人？”乃云：“长史周昉。”<sup>〔8〕</sup>是日遂定二画之优劣，令送锦彩数百段与之。今上都有画《水月观自在菩萨》，时人又云：大云寺<sup>〔9〕</sup>佛殿前《行道僧》、广福寺<sup>〔10〕</sup>佛殿前面两神，皆殊绝当代。昉任宣州别驾，于禅定寺<sup>〔11〕</sup>画《北方天王》，尝于梦中见其形像。
又画士女，为古今冠绝。又画《浑侍中宴会图》、《刘宣按武图》、《独孤妃按曲图》粉本；又画《仲尼问礼图》、《降真图》、《五星图》、《扑蝶图》，兼写诸真，及《文宣王十弟子》卷轴等至多。贞元末新罗<sup>〔12〕</sup>国有人于江淮以善价收市数十卷，持住彼国。其画佛像、真仙、人物、士女、皆神品也；☐鞍马、鸟兽、草木、林石，不穷其状。
〔1〕 京兆即长安。
〔2〕 节制，意即离职。
〔3〕 周皓，善骑射，曾随哥舒翰征服吐蕃，立过功绩，德宗李适颇器重于他。哥舒翰，少读《春秋》，知大义。唐中叶，西北边陲的少数民族吐番，对帝国腹心地区，时加威胁，哥舒翰在攻吐番战役中立功，封西平郡王，为左仆射平章事。
〔4〕 章敬寺在长安。
〔5〕 汉武帝刘彻改中尉为执金吾，负责京城卫戍之责。
〔6〕 郭子仪，唐华州人，玄宗李隆基时，任朔方节度使，平安史，取回纥，征吐蕃，历任太尉中书令，封汾阳郡王，因称郭汾阳，或称郭令公。
〔7〕 唐段成式《酉阳杂俎・寺塔记(上)》云：韩幹蓝田人。少时常为酒家送酒，王右丞兄弟未遇，每一酒漫游，幹常征债于王家。戏画地为人马，右丞精思丹青，奇其意趣，乃岁与钱二万，令学画十余年。”大诗人杜甫《丹青引—————赠曹将军霸》中说他的画马艺术成就是：“弟子韩幹早入室，亦能画马殊穷相。”
〔8〕 唐州郡长史有两种，一为大都督府之长史，为从三品官，可充任州郡节度使，名义为幕僚长，实即统帅。一为州刺史下之长史，从五品官，名为刺史之位，亦称别驾，却无实职。周昉曾先后出任越州(今浙江绍兴)、宣州(今安徽宣城)长史。周昉，据张彦远(八一五————八七五?)《历代名画记·周防传》云：“菩萨端严，妙创水月之体”看，周昉所作《水月观自在菩萨》，即坐在水边观水中月的“水月观音”像，在形象塑造上，有其独特的体式，故有“周家样”之称。
〔9〕〔10〕〔11〕 大云寺、广福寺，均在长安。禅定寺在宣州。
〔12〕 贞元，唐德宗李适年号(七八五—————八〇五)。唐时新罗国，在今朝鲜半岛。
阎立本  阎立德  尉迟乙僧  李思训  韩幹  张藻  薛稷"
meso_阎立本,Painter,阎立本,,,,万年,?-673,太宗，贞观，高宗,,《唐朝名画录》,神品下七人 物理页面 第 8 页,太宗朝官至刑部侍郎，位居宰相。与兄立德<sup>〔2〕</sup>齐名于当世，尝奉诏写太宗御容。后有佳手传写于玄都观<sup>〔3〕</sup>东壁前间，以镇九岗<sup>〔4〕</sup>之气，犹可仰神武之英威也。
meso_阎立德,Painter,阎立德,,,阎让,,,太宗,,《唐朝名画录》,神品下七人 物理页面 第 9 页,"《职贡图》异方人物诡怪之质，自梁、魏以来名手，不可过也。时南山有猛兽害人，太宗使饶勇者往捕之，不获；又虢王元凤<sup>〔5〕</sup>忠义奋发，往射之，一箭而毙。
太宗壮之，使其弟立本图其状，鞍马、仆从皆若真，观者莫不惊叹其神妙。又太宗幸玄武池，见☐☐<sup>〔6〕</sup>戏，召立本图之。左右误呼云：“宣画师。”立本大耻之，遂绝笔，诫诸子弟不令学画。先图秦府十八学士<sup>〔7〕</sup>凌烟阁二十四功臣<sup>〔8〕</sup>等，实亦辉映今古。惟《职贡》、《卤簿》<sup>〔9〕</sup>等图，与立德皆同制之。又云慈恩寺画功德<sup>〔10〕</sup>亲手设色，不见其踪迹，凡画人物冠冕车服，皆神妙也。李嗣真云：“立本虽师于郑法士<sup>〔11〕</sup>，实亦过之。”后有王知慎<sup>〔12〕</sup>者，亦师范于立本，甚得其笔力。立德乃神品，知慎乃妙品。"
meso_尉迟乙僧,Painter,尉迟乙僧,,,,于阗国,,贞观,,《唐朝名画录》,神品下七人 物理页面 第 10 页,吐火罗国人。贞观初其国王以丹青奇妙，荐之阙下；又云：其国尚有兄甲僧，未见其画踪也。乙僧今慈恩寺塔前功德，又凹凸花面中间千手眼太悲精妙之状，不可名焉；又光泽寺<sup>〔14〕</sup>七宝台后面画《降魔像》千怪万状，实奇踪也。凡画功德、人物、花鸟、皆是外国之物像，非中华之威仪。前辈云：“尉迟僧，阎立本之比也。”景玄尝以阎画外国之人，未尽其妙；尉迟画中华之像，抑亦未闻。由是评之，所攻各异，其故居神品也。
meso_李思训,Painter,李思训,建见,大李将军,,,653-718,高宗，中宗，睿宗，武后，玄宗，明皇，开元,,《唐朝名画录》,神品下七人 物理页面 第 10 页,开元中除卫将军，与其子李昭道中舍俱得山水之妙，时人号大李、小李<sup>〔15〕</sup>。思训格品高奇，山水绝妙；鸟兽、草木，皆穷其态。昭道虽图山水、鸟兽，甚多繁巧；智惠笔力不及思训。天宝中明皇召思训画大同殿壁，兼掩障<sup>〔16〕</sup>。异日因对，语思训云：“卿所画掩障，夜闻水声。”通神之佳手也，国朝山水第一。故思训神品，昭道妙上品也。
meso_韩幹,Painter,韩幹,,,,京兆,,明皇，开元，天宝,,《唐朝名画录》,神品下七人 物理页面 第 11 页,"京兆人也，明皇天宝中召入供奉。上令师陈闳<sup>〔18〕</sup>画马，帝怪其不同，因诘之。奏云：“臣自有师，陛下内厩之马，皆臣之师也。”上甚异之。其后果能状飞黄之质，图喷玉<sup>〔19〕</sup>之奇；九方之职既精，伯乐之相乃备<sup>〔20〕</sup>。且古之画马，有《穆王八骏图》，后立本亦模写之，多见筋骨，皆擅一时，足为希代之珍。开元后四海清平，外国名马，重驿累至。然而沙碛之遥，蹄甲皆薄，明皇遂择其良者，与中国之骏同颁，尽写之。自后内厩有飞黄、照夜、浮云、五花之乘，奇毛异状，筋骨既圆，蹄甲皆厚。驾驭历险，若舆辇之安也；驰骤旋转；皆应《韶濩》<sup>〔21〕</sup>之节。是以陈闳貌之前，韩幹继之于后，写渥窪之状，若在水中，移腰☐<sup>〔22〕</sup>之形，出于图上，故韩幹居神品宜矣。
又宝应寺<sup>〔23〕</sup>三门神、西院北方天王<sup>〔24〕</sup>、佛殿前面菩萨及净土<sup>〔25〕</sup>壁、资圣寺<sup>〔26〕</sup>北门二十四圣，皆奇踪也。画高僧、鞍马、菩萨、鬼神等，并传于世。"
