cv_id,person_ref,official_title,entry_mode,event_type,location_ref,time_ref,source_book,source_chapter,source_text
cv_hanwang_01,汉王元昌,汉王,,Official_Post,长安(推测),,《唐朝名画录》,序 物理页面第1页,"汉王元昌 善画马"
cv_jiangduwang_01,江都王,江都王,,Official_Post,长安(推测),,《唐朝名画录》,序 物理页面第1页,"江都王 善画雀蝉"
cv_jiangduwang_02,江都王,,,Travel,潞府,明皇时(712-756),《唐朝名画录》,序 物理页面第1页,"应制明皇潞府 《九瑞应图》"
cv_sitengwang_01,嗣滕王,滕王,,Official_Post,长安(推测),,《唐朝名画录》,序 物理页面第1页,"嗣滕王 善画"
cv_wudaoxuan_01,吴道玄,,,Travel,东洛,,《唐朝名画录》,神品上 物理页面第2页,"浪迹东洛"
cv_wudaoxuan_02,吴道玄,内供奉,,Official_Post,东洛,开元中(713-741),《唐朝名画录》,神品上 物理页面第2页,"时明皇知其名,召入內供奉"
cv_wudaoxuan_03,吴道玄,,,Work,东都天宫寺,开元中(713-741),《唐朝名画录》,神品上 物理页面第2页,"开元中驾幸东洛...召致道子,于东都天宫寺,为其所亲,将施绘事"
cv_wudaoxuan_04,吴道玄,,,Travel,嘉陵江,天宝中(742-756),《唐朝名画录》,神品上 物理页面第3页,"明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌"
cv_wudaoxuan_05,吴道玄,,,Work,大同殿,天宝中(742-756),《唐朝名画录》,神品上 物理页面第3页,"后宣令于大同殿壁图之"
cv_wudaoxuan_06,吴道玄,,,Work,兴善寺,,《唐朝名画录》,神品上 物理页面第4页,"吴生画兴善寺中门内神圆光时"
cv_zhoufang_01,周昉,宣州别驾,,Official_Post,宣州,,《唐朝名画录》,神品中 物理页面第6页,"昉任宣州别驾"
cv_zhoufang_02,周昉,,,Work,章敬寺,德宗时(779-805),《唐朝名画录》,神品中 物理页面第6页,"德宗修章敬寺,召...昉乃下手"
cv_zhoufang_03,周昉,,,Work,禅定寺,,《唐朝名画录》,神品中 物理页面第6页,"于禅定寺画《北方天王》"
cv_yanliben_01,阎立本,刑部侍郎,,Official_Post,长安(推测),太宗朝(626-649),《唐朝名画录》,神品下 物理页面第8页,"太宗朝官至刑部侍郎"
cv_yanliben_02,阎立本,宰相,,Official_Post,长安(推测),太宗朝(626-649),《唐朝名画录》,神品下 物理页面第8页,"位居宰相"
cv_yanliben_03,阎立本,,,Work,慈恩寺,,《唐朝名画录》,神品下 物理页面第9页,"又云慈恩寺画功德亲手设色"
cv_yuchiyiseng_01,尉迟乙僧,,Recommendation,Official_Post,阙下,贞观初(627-649),《唐朝名画录》,神品下 物理页面第9页,"贞观初其国王以丹青奇妙,荐之阙下"
cv_yuchiyiseng_02,尉迟乙僧,,,Work,慈恩寺,,《唐朝名画录》,神品下 物理页面第9页,"乙僧今慈恩寺塔前功德"
