lit_id,target_ref,source_book,author_ref,quality_rank,source_chapter,source_text
lit_026,汉王元昌,《唐朝名画录》,朱景玄,不入品第 (亲王),国朝亲王三人 物理页面第1页,善画马，笔踪妙绝，后人无见。画鹰鹘，雉兔，现在人间，佳手降叹矣。
lit_027,江都王,《唐朝名画录》,朱景玄,不入品第 (亲王),国朝亲王三人 物理页面第1页,善画雀蝉，驴子；应制明皇潞府 《九瑞应图》，实造神极妙。
lit_028,嗣滕王,《唐朝名画录》,朱景玄,不入品第 (亲王),国朝亲王三人 物理页面第2页,善画蜂蝉，燕雀，驴子，水牛，曾见一本，能巧之外，曲尽情理，未敢定其品格。
lit_029,吴道玄,《唐朝名画录》,朱景玄,神品上,神品上一人 物理页面第5页,"吴道玄字道子,东京阳翟人也,少孤贫。天授之性,年未弱冠,穷丹青之妙。浪迹东洛,时明皇知其名,召入內供奉。开元中驾幸东洛,吴生与裴旻将军、张旭长史相遇,各陈其能。时将军裴旻厚以金帛,召致道子,于东都天宫寺,为其所亲,将施绘事。道子封还金帛,一无所授。谓旻曰:“闻裴将军旧矣,为舞剑一曲,足以当惠。观其壮气,可助挥毫。”旻因墨縗为道子舞剑。  舞毕,奋笔俄顷而成,有若神助,尤为冠绝,道子亦亲为设色,其画在寺之西庑。又张旭长史亦书一壁,都邑士庶皆云:“一日之中,获睹三绝。”又画玄元庙五圣千官,宫殿冠冕,势倾云龙,心归造化,故杜员外诗云:“森罗回地轴,妙绝动宫墙。”明皇天宝中忽思蜀道嘉陵江水,遂假吴生驛驷,令往写貌。及回日,帝问其状,奏曰:“臣无粉本,并记在心。”后宣令于大同殿壁图之,嘉陵江三百余里山水,一日而毕。时有李思训将军,山水擅名,帝亦宣于大同殿图,累月方毕。明皇云:“李思训数月之功,吴道子一日之迹,皆极其妙也。”又画内殿五龙,其鳞甲飞动,每天欲雨,即生烟雾。吴生常持《金刚经》自识本身。天宝中有杨庭光与之齐名,遂潜写吴生真于讲席众人之中,引吴生观之,一见便惊,谓庭光曰:“老夫衰丑,何用图之?”因斯叹服。凡画人物、佛像、神鬼、禽兽、山水、台殿、草木皆冠绝于世,国朝第一。张怀瓘尝谓道子乃张僧繇之后,斯言当矣。又按《两京耆旧传》云:“寺观之中,图画墙壁。凡三百余间。变相人物,奇踪异状,无有同者。上都唐兴寺御注《金刚经》院,妙迹为多,兼自题经文。慈恩寺前文殊、普贤,西面庑下降魔、盘龙等壁,及景公寺地狱壁、帝释、梵王、龙神,永寿寺中三门两神,及诸道观寺院,不可胜纪,皆妙绝一时。”景玄每观吴生画,不以装背为妙,但试笔绝踪,皆磊落逸势;又数处图壁,只以墨踪为之,近代莫能加以彩绘。凡图圆光,皆不用尺度规画,一笔而成。  景玄元和初应举,住龙兴寺,犹有尹老者年八十余,尝云:“吴生画兴善寺中门内神圆光时,长安市肆老幼士庶竞至,观者如堵。其圆光立笔挥扫,势若风旋,人皆谓之神助。”又尝闻景云寺老僧传云:“吴生画此寺地狱变相时,京都屠沽渔☐之辈,见之而惧罪改业者,往往有之,率皆修善。”所画并为后代人规式也。"
lit_030,周昉,《唐朝名画录》,朱景玄,神品中,神品中一人 物理页面第8页,"周昉字仲朗,京兆人也,节制之后,好属文,穷丹青之妙,游卿相间,贵公子也。兄皓,善骑射,随哥舒翰征吐番,取名堡城,以功为执金吾。  骑射，随哥舒翰征吐番，取名堡城，以功为执金吾。时属德宗修章敬寺，召皓云：“卿弟昉善画，朕欲宣画章敬寺神，卿特言之。”经数月，果召之，昉乃下手。落笔之际，都入竞观，寺抵园门，贤愚毕至。或有言其妙者，或有指其瑕者，随意改定。经月有余，是非语绝，无不叹其精妙，为当时第一。又郭令公婿赵纵侍郎尝令韩幹写真，众称其善；后又请周昉长史写之。二人皆有能名，令公尝列二真置于坐侧，未能定其优劣。因赵夫人归省，令公问云：“此画何人？”对曰：“赵郎也。”又云：“何者最似？”对曰：“两画皆似，后画尤佳。”又云：“何以言之？”云：“前画者空得赵郎状貌；后画者兼移其神气，得赵郎情性笑言之姿。”令公问曰：“后画者何人？”乃云：“长史周昉。”是日遂定二画之优劣，令送锦彩数百段与之。今上都有画《水月观自在菩萨》，时人又云：大云寺佛殿前《行道僧》、广福寺佛殿前面两神，皆殊绝当代。昉任宣州别驾，于禅定寺画《北方天王》，尝于梦中见其形像。  又画士女，为古今冠绝。又画《浑侍中宴会图》、《刘宣按武图》、《独孤妃按曲图》粉本；又画《仲尼问礼图》、《降真图》、《五星图》、《扑蝶图》，兼写诸真，及《文宣王十弟子》卷轴等至多。贞元末新罗国有人于江淮以善价收市数十卷，持住彼国。其画佛像、真仙、人物、士女、皆神品也；☐鞍马、鸟兽、草木、林石，不穷其状。"
lit_031,阎立本,《唐朝名画录》,朱景玄,神品下,神品下七人 物理页面第8页,太宗朝官至刑部侍郎，位居宰相。与兄立德齐名于当世，尝奉诏写太宗御容。后有佳手传写于玄都观东壁前间，以镇九岗之气，犹可仰神武之英威也。
lit_032,阎立德,《唐朝名画录》,朱景玄,神品下,神品下七人 物理页面第9页,《职贡图》异方人物诡怪之质，自梁、魏以来名手，不可过也。时南山有猛兽害人，太宗使饶勇者往捕之，不获；又虢王元凤忠义奋发，往射之，一箭而毙。  太宗壮之，使其弟立本图其状，鞍马、仆从皆若真，观者莫不惊叹其神妙。又太宗幸玄武池，见☐☐戏，召立本图之。左右误呼云：“宣画师。”立本大耻之，遂绝笔，诫诸子弟不令学画。先图秦府十八学士凌烟阁二十四功臣等，实亦辉映今古。惟《职贡》、《卤簿》等图，与立德皆同制之。又云慈恩寺画功德亲手设色，不见其踪迹，凡画人物冠冕车服，皆神妙也。李嗣真云：“立本虽师于郑法士，实亦过之。”后有王知慎者，亦师范于立本，甚得其笔力。立德乃神品，知慎乃妙品。
lit_033,尉迟乙僧,《唐朝名画录》,朱景玄,神品下,神品下七人 物理页面第10页,吐火罗国人。贞观初其国王以丹青奇妙，荐之阙下；又云：其国尚有兄甲僧，未见其画踪也。乙僧今慈恩寺塔前功德，又凹凸花面中间千手眼太悲精妙之状，不可名焉；又光泽寺七宝台后面画《降魔像》千怪万状，实奇踪也。凡画功德、人物、花鸟、皆是外国之物像，非中华之威仪。前辈云：“尉迟僧，阎立本之比也。”景玄尝以阎画外国之人，未尽其妙；尉迟画中华之像，抑亦未闻。由是评之，所攻各异，其故居神品也。
lit_034,李思训,《唐朝名画录》,朱景玄,神品下,神品下七人 物理页面第10页,开元中除卫将军，与其子李昭道中舍俱得山水之妙，时人号大李、小李。思训格品高奇，山水绝妙；鸟兽、草木，皆穷其态。昭道虽图山水、鸟兽，甚多繁巧；智惠笔力不及思训。天宝中明皇召思训画大同殿壁，兼掩障。异日因对，语思训云：“卿所画掩障，夜闻水声。”通神之佳手也，国朝山水第一。故思训神品，昭道妙上品也。
lit_035,韩幹,《唐朝名画录》,朱景玄,神品下,神品下七人 物理页面第11页,京兆人也，明皇天宝中召入供奉。上令师陈闳画马，帝怪其不同，因诘之。奏云：“臣自有师，陛下内厩之马，皆臣之师也。”上甚异之。其后果能状飞黄之质，图喷玉之奇；九方之职既精，伯乐之相乃备。且古之画马，有《穆王八骏图》，后立本亦模写之，多见筋骨，皆擅一时，足为希代之珍。开元后四海清平，外国名马，重驿累至。然而沙碛之遥，蹄甲皆薄，明皇遂择其良者，与中国之骏同颁，尽写之。自后内厩有飞黄、照夜、浮云、五花之乘，奇毛异状，筋骨既圆，蹄甲皆厚。驾驭历险，若舆辇之安也；驰骤旋转；皆应《韶濩》之节。是以陈闳貌之前，韩幹继之于后，写渥窪之状，若在水中，移腰☐之形，出于图上，故韩幹居神品宜矣。  又宝应寺三门神、西院北方天王、佛殿前面菩萨及净土壁、资圣寺北门二十四圣，皆奇踪也。画高僧、鞍马、菩萨、鬼神等，并传于世。
