location_id,historical_names,modern_address,coordinates,source_book,source_chapter,source_text
loc_024f5f53,"[{""name"": ""洞庭山水月禪院"", ""period"": ""period_song""}]",江苏省苏州市太湖洞庭山,"31.11, 120.35",《圣朝名画评》,卷三 屋木門第六,”又可說人，如蘇舜欽《蘇州洞庭山水月禪院記》：“數僧宴坐，寂嘿於泉石之間，引而與語，殊無纖介世俗間氣韻。
loc_b07d3ac6,"[{""name"": ""含元殿"", ""period"": ""period_song""}]",陕西省西安市(唐大明宫),"34.3416, 108.9398",《圣朝名画评》,卷三 屋木門第六,唐李華《含元殿賦》：“天華爽霽，朗日朝徹。
loc_a87b6642,"[{""name"": ""西京石家寺"", ""period"": ""period_song""}]",河南省洛阳市,"34.6187, 112.4540",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,末年，石中令以禮召瓘畫昭報寺廊壁，厚酬金幣(今西京石家寺壁見在)。
loc_3d391e64,"[{""name"": ""雒中昭報寺"", ""period"": ""period_song""}]",河南省洛阳市,"34.6187, 112.4540",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,石中令當令畫雒中昭報寺壁，及有佛道功德、故事、人物等圖傳於世。
loc_d34031f9,"[{""name"": ""西京"", ""period"": ""period_song""}]",河南省洛阳市,"34.6187, 112.4540",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,二年，拜中書令，行河南尹，充西京留守。
loc_ae712f9c,"[{""name"": ""崇德寺"", ""period"": ""period_song""}]",河南省洛阳市,"34.6187, 112.4540",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,”石守信崇奉佛教，在西京建造崇德寺，招募民夫運輸建築材料，“驅迫甚急，而傭直不給，人多苦之”。
loc_b5b192d6,"[{""name"": ""京師"", ""period"": ""period_song""}]",河南省开封市(北宋),"34.7973, 114.3072",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,王靄，京師人。
loc_0b04923d,"[{""name"": ""定力院"", ""period"": ""period_song""}]",河南省开封市,"34.7973, 114.3072",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,奉詔於定力院寫宣祖及太后御容，梁祖真像亦在焉(本院堂西壁畫見存，但經後人裝飾失真)。
loc_465cbc62,"[{""name"": ""景德寺"", ""period"": ""period_song""}]",河南省开封市(已毁)或武汉景德寺,"34.7973, 114.3072",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,又於大殿西壁畫水月觀音，及於景德寺九曜院殿西壁畫彌勒下生像。
loc_fb46a325,"[{""name"": ""九曜院殿"", ""period"": ""period_song""}]",河南省开封市(景德寺内),"34.7973, 114.3072",《圣朝名画评》,卷三 人物門第一<sup>〔1〕</sup>,又於大殿西壁畫水月觀音，及於景德寺九曜院殿西壁畫彌勒下生像。
