lit_id,target_ref,source_book,source_chapter,author_ref,quality_rank,quote,source_text,person_id
lit_scmhp_001,王瓘,《圣朝名画评》,卷一 人物門第一,刘道醇,神品上,評曰：本朝以丹青名者，不可勝計，惟瓘為第一，何哉？觀其意思縱橫，往來不滯，廢古人之短，成後世之長，不拘一守，奮筆皆妙，誠所謂前無吳生矣。故列神品上。,王瓘，字國器，河南洛陽人。美風表，有才辯，少志於畫。家甚窮匱，無以資遊學。北邙山老子廟壁，吳生所畫，世稱絕筆焉。瓘多往觀之，雖窮冬積雪，亦無倦意。有為塵滓塗漬處，必拂拭磨刮，以尋其跡，由是得其遺法。又能變通不滯，取長舍短，聲譽藉甚，動於四遠。王公大人有得瓘畫者，以為珍玩。末年，石中令以禮召瓘畫昭報寺廊壁，厚酬金幣(今西京石家寺壁見在)。故於乾德、開寶之間，無與敵者。身死之日，畫流相帥哭之。虞部武員外(宗元)，亦河南人，每歎曰：“吾觀國器之筆，則不知有吳生矣。吳生畫天女，頸領粗促，行步跛側。又樹石淺近，不能相稱。國器則舍而不取，故於事物盡工。復能設色清潤，古今無倫。恨不同時，親受其法。”翰林待詔高克明亦謂人曰：“今若得國器畫，何必吳生？所謂買王得吳矣。”識者以為知言。子端，亦有名於時。,meso_王瓘
lit_scmhp_002,王靄,《圣朝名画评》,卷一 人物門第一,刘道醇,神品中,評曰：靄之為畫也，可謂至矣。意思婉約，筆法豪邁，皆不下王瓘，但氣焰稍劣耳。夫寫人形狀者，在全其氣宇。靄能停分取像，側背分衣，周旋變通，不失其妙，可列神品中。,"王靄，京師人。幼有志節，頗尚靜默。留心圖畫，尤長於寫真。追學吳生之筆，於佛像人物能盡其妙。朱梁時以為翰林待詔。至石晉末，耶律德光犯闕，時靄與焦著、王仁壽為德光掠歸。至宋有天下，放靄還國，復為待詔。藝祖以區區江左未歸疆土，有意於吊伐，命靄微服往鍾陵，寫其謀臣宋齊丘、韓熙載、林仁肇等形狀。如上意，受賞加等。奉詔於定力院寫宣祖及太后御容，梁祖真像亦在焉(本院堂西壁畫見存，但經後人裝飾失真)。又於大殿西壁畫水月觀音，及於景德寺九曜院殿西壁畫彌勒下生像。末年，與東平孫夢卿畫開寶寺大殿後文殊閣下東西兩壁。夢卿以東壁讓之，尊靄聲跡，
識者以為當然。所畫南方毗樓勒義天王，高丈餘，及金槍道菩薩相，皆筆力精邁，思慮殫竭。來世之譽，在此而已。",meso_王靄
lit_scmhp_003,孫夢卿,《圣朝名画评》,卷一 人物門第一,刘道醇,神品中,評曰：唐張懷瓘以吳生為僧繇後身，予謂夢卿亦吳生之後身。而列於瓘、靄之下，何哉？吳生畫天女及樹石有未到處（語在王瓘事迹），瓘、靄能變法取工，夢卿則拘於模範，雖得其法，往往襲其所短，不能自發新意，謂之脫壁者，豈誣哉！可列神品中。,"孫夢卿，鄆州須昌人。少有精鑒而性拘執。家世豪右，不事産業，志於圖繪。常語人曰:""吾所好者，吳生耳，餘無所取。""故盡得其法，里中人目爲""孫脫壁""，又曰孫吳生（言能全""脫吳生之壁，無小處）。凡欲命意揮寫，必爲豪貴所知，日湊於門，爭先請售。識者以爲吳生後身，數百年能至其藝者，止夢卿焉。與王靄對畫開寶寺文殊閣下西壁，爲西方毗樓勒叉天王像及金槍道菩薩相，今並存焉。夢卿之畫，世少藏者，王公大人第往往有之。",meso_孫夢卿
lit_scmhp_004,趙光輔,《圣朝名画评》,卷一 人物門第一,刘道醇,神品下,評曰：光輔之畫也，放而逸，約而正，形氣清楚，骨格厚重，可列神品下。,趙光輔，耀州華原人。太宗朝為圖畫院學生。性喜幽曠，無仕進意，潛自遁去，鄉人猶呼“趙評事”。長於佛畫及人物、蕃馬等。愚客於許日開元寺見輔畫攝摩騰、竺法蘭以傳教。皆丈餘，其慈覺悲憫之相盡備。又畫五百高僧，姿質風度，互有意思，坐立瞻聽，皆得其妙，貌若悲覺，以動觀者。,meso_趙光輔
lit_scmhp_005,高益,《圣朝名画评》,卷一 人物門第一,刘道醇,神品下,評曰：觀益之畫，色輕而墨重，變通應手，不拘一態，其丹青之功者歟！可列神品下。,高益，本契丹涿郡人，太祖時遁來中國。初於都市貨藥，有來贖者，輒畫鬼神犬馬藉藥與之，得者驚異。有孫四皓者，廣延藝術之士，益往客之，為禮甚厚，益亦畫鬼神搜山圖一本以酬其意。歲初，復畫鍾馗一軸為獻。孫遽張於賓館，或曰：鬼神用力，此傷和重。益聞之，乃睨目奮筆書一異狀者舉石狻猊以擊鬼，復張於舊所。觀者驚其勁捷，握手滴汗。嘗於四皓樓上畫卷雲芭蕉，京師之人摩肩爭玩。至今天下樓閣亭廡為之者，自益始也(今四皓樓芭蕉見存)。孫乃神宗近戚，進益前所畫搜山圖。上歎賞移刻，遂待詔於圖畫院，敕畫相國寺廊壁。會上臨幸，見益寫阿育王戰像，詔問：“卿曉兵否？”對曰：“臣非知兵者，命意至此。”上善之。後畫崇夏寺大殿東西二壁善神。雖長於大像，但不稱其筆；凡畫坐神，則用意最善。,meso_高益
lit_scmhp_006,武宗元,《圣朝名画评》,卷一 人物門第一,刘道醇,神品下,評曰：武員外學吳生筆，得其閑麗之態，可謂靚其奧矣。而品第不至於高益，得無意乎？夫若千乘萬騎，出彼入此，氣貌風韻不有相類，則益得之矣。武雖可以齊肩接跡，無甚愧之色，必求定論，故有優劣。然氣格不群，優人畫域，亦列神品下。,"武宗元，字總之，河南白波人。世業儒，為鄉裏所重。父道，與丞相文惠公(隨)為布衣交，將宗元詣之。時方成童，大被稱賞。文惠妻以外孫，用其蔭得太廟齋郎。年十七，文惠請畫北邙山老子廟壁，頗為精絕。景德末，章聖營玉清昭應宮，募天下畫流逾三千數，中程者不減一百人，分為二部，宗元為左部之長。丁朱崖為宮使，語僚佐曰：“適見靡旗亂轍者，悉為宗元所逐矣。”上亦優勞之。中嶽天封觀置百金以求
名手，宗元乘興揮寫，無毫髮須。及洛中南宮三聖東壁畫十太一，皆丈餘。又於河陽廣福院寫回廊壁，今并存焉。宗元亦不常奮筆，雖貴人名臣，日走於門，求之甚勤，未嘗肯諾。京師富商高生(今安遠門中茶鋪者是)有畫癖，常刺拜於庭下，迨十餘年，欲得水月觀音一軸。宗元許之，又三年方成，携詣高生，生已殂矣，焚畫垂泣而去。丞相文懿張公(士遜)生辰，宗元獻消災菩薩二軸。公張於千歲堂，甚秘重焉。歷官至虞部員外郎。",meso_武宗元
lit_scmhp_007,王齊翰,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品上,評曰：齊翰不曹不吳，自成一家，其形勢超逸，近世無有。士元通於微妙，物物稱絕，見抑於高文進，勢使然也。侯翌墨路謹細，筆力剛健，富於氣焰，與齊翰、士元並列妙品上。,王齊翰，建康人。世為右姓。齊翰自為童時，已能畫地成人，有挺立之勢。日見加益，仕唐李煜為待詔。及王師指伐，所得府藏，悉充軍中之賞。有步卒李貴者徑入佛廟，得齊翰所畫十六羅漢。俄鬻於市，有富商劉元嗣以白金四百兩請售。元嗣入都，復質於相國寺普滿塔主清教處。及元嗣往贖，遂為所匿。訟於京府，時神宗方為尹，按證其事，清教詞屈，乃出元畫，大為神宗嘉歎，各賜白金千兩釋之。後十六日即位，名曰應運國寶羅漢，藏於秘府。,meso_王齊翰
lit_scmhp_008,王士元,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品上,評曰：齊翰不曹不吳，自成一家，其形勢超逸，近世無有。士元通於微妙，物物稱絕，見抑於高文進，勢使然也。侯翌墨路謹細，筆力剛健，富於氣焰，與齊翰、士元並列妙品上。,王士元，汝南宛丘人。父仁壽，亦能丹青，事見《五朝名畫録》。至士元尤精其藝。好讀書，為儒者，言有局量，鄉里器之。與國子博士郭忠恕為畫友。士元嘗為孫四皓之客，甚見推待。唐有《名畫斷》，第其一百三人之姓名。太宗天縱多能，留神庶藝，訪其後來，復得一百三人，編次有倫，亦曰《名畫斷》。孫氏謂士元曰：“上為畫斷，以續唐本，子其謂何？”士元乃沉默思慮，采唐來諸家之長，為《武王誓師獨夫崇飲圖》。京師之人詣孫館者，日不可計，中有歎者曰：“王君之意，與六經合，觀其事蹟，不覺千古之遠，非精慮入神，何以至此！”孫氏不敢私有，進於天子，下圖畫院品第之。時院中高文進與士元有隙，定為下品，識者忿之。止以三十縑為賜，不顧而去。文懿張公惜其精筆，奏攝南陽從事。,meso_王士元
lit_scmhp_009,侯翌,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品上,評曰：齊翰不曹不吳，自成一家，其形勢超逸，近世無有。士元通於微妙，物物稱絕，見抑於高文進，勢使然也。侯翌墨路謹細，筆力剛健，富於氣焰，與齊翰、士元並列妙品上。,侯翌，字子衝，安定人。性簡潔，重信義。學吳生釋道畫。予至和中於閭巷見挈一舊圖，貯於大器，將濯去顏色，尋呼止之，乃翌所畫七夕乞巧圖也。其人曰：“我於京城中丐舊功德，亟賣以給朝夕。此圖雖得於大族，及其市也，人以敝裂，無肯售之色，我將洗滌，以補穿結之服。”因倍價以售，歸則熟視，宛有王公第宅妓女瞻祝之態。,meso_侯翌
lit_scmhp_010,蒲師訓,《圣朝名画评》,卷一 人物門第一,刘道醇,妙品中,"評曰: 蒲師訓筆法雖細, 其勢極壯。黃筌凡欲揮灑, 必澄思慮, 故其彩繪精緻, 形物偉廓。居寀數壁有父之風, 可謂善繼矣。孟顯能作猛風之勢, 瘦形圓面, 識者猶以為疵。周文矩用意深遠, 於繁富則尤工。並列妙品中。","蒲師訓, 蜀中人。曉音律, 善談論。幼師房從真, 學畫纔十年, 從真自以為不及。仕孟蜀為待詔。長於車服、冠冕、旌旗、器械、神鬼等圖(子延昌亦能畫, 名亞師訓)。",meso_蒲師訓
