icon_id,subject_term,category,creator_name,source_book,source_chapter,source_text
icon_8b24d0c2,秋山圖,Landscape,黃居寀,《益州名画录》,·妙格下品,附:僞學士徐光溥《秋山圖》歌 ...... 112
icon_a3df3984,應夢羅漢,Religious Figure,禪月大師,《益州名画录》,·能格下品,附:僞翰林學士歐陽炯禪月大師《應夢羅漢》歌 ...... 160
icon_eb22ea81,天王,Religious Figure,陳皓,《益州名画录》,卷上·妙格上品,"陳皓、彭堅者, 不知何許人也。開成中, 與范瓊寓止蜀城。大中年, 府主杜相公（悰）起净眾等寺門屋。相國知三人中, 范瓊年齒雖低, 手筆稱冠矣。因請陳、彭二公各畫《天王》一堵, 各令一客將伴之, 以幔幕遮蔽, 不令相見, 欲驗誰之強弱。至畫告畢之日, 相國與諸府寮徹其幃幕, 南畔仗劍振威者彭公筆, 北畔持弓奮赫者陳公筆, 二公筆力相似, 觀者莫能昇降。大約宗師吳道玄之筆, 而傅採拂淡過之。畫之六法, 一曰氣韻生動是也, 二曰骨法用筆是也, 三曰應物象形是也, 四曰隨類賦採是也, 五曰經營位置是也, 六曰傳移模寫是也。斯之六法, 名輩少該, 唯此三人俱盡其美矣。"
icon_694fcfbe,文殊,Religious Figure,張騰,《益州名画录》,卷上·妙格上品,"張騰者, 不知何許人也。太和末年, 偶止蜀川。於諸寺壁圖畫亦多, 會昌年除毀皆盡。大中初佛寺再興, 於聖壽寺大殿畫《文殊》一堵、《普賢》一堵、《彌勒下生》一堵, 浴室院北對範瓊畫《持弓北方天王》一堵, 大聖慈寺文殊閣下畫《報身如來》一堵, 并騰之筆, 見存。"
icon_83e7ac5e,普賢,Religious Figure,張騰,《益州名画录》,卷上·妙格上品,"張騰者, 不知何許人也。太和末年, 偶止蜀川。於諸寺壁圖畫亦多, 會昌年除毀皆盡。大中初佛寺再興, 於聖壽寺大殿畫《文殊》一堵、《普賢》一堵、《彌勒下生》一堵, 浴室院北對範瓊畫《持弓北方天王》一堵, 大聖慈寺文殊閣下畫《報身如來》一堵, 并騰之筆, 見存。"
icon_911fe953,彌勒下生,Religious Figure,張騰,《益州名画录》,卷上·妙格上品,"張騰者, 不知何許人也。太和末年, 偶止蜀川。於諸寺壁圖畫亦多, 會昌年除毀皆盡。大中初佛寺再興, 於聖壽寺大殿畫《文殊》一堵、《普賢》一堵、《彌勒下生》一堵, 浴室院北對範瓊畫《持弓北方天王》一堵, 大聖慈寺文殊閣下畫《報身如來》一堵, 并騰之筆, 見存。"
icon_399b75f6,持弓北方天王,Religious Figure,張騰,《益州名画录》,卷上·妙格上品,"張騰者, 不知何許人也。太和末年, 偶止蜀川。於諸寺壁圖畫亦多, 會昌年除毀皆盡。大中初佛寺再興, 於聖壽寺大殿畫《文殊》一堵、《普賢》一堵、《彌勒下生》一堵, 浴室院北對範瓊畫《持弓北方天王》一堵, 大聖慈寺文殊閣下畫《報身如來》一堵, 并騰之筆, 見存。"
icon_a88adf4b,報身如來,Religious Figure,張騰,《益州名画录》,卷上·妙格上品,"張騰者, 不知何許人也。太和末年, 偶止蜀川。於諸寺壁圖畫亦多, 會昌年除毀皆盡。大中初佛寺再興, 於聖壽寺大殿畫《文殊》一堵、《普賢》一堵、《彌勒下生》一堵, 浴室院北對範瓊畫《持弓北方天王》一堵, 大聖慈寺文殊閣下畫《報身如來》一堵, 并騰之筆, 見存。"
icon_0d5b60e7,北方天王,Religious Figure,趙溫奇,《益州名画录》,卷上·妙格上品,"趙溫奇者, 公祐子也。幼而穎秀, 長有父風。父歿之後, 於大聖慈寺文殊閣內繼父之蹤, 畫《北方天王》及《梵王》《帝釋》《大輪部屬》, 大將堂《大將部屬》並《梵王》《帝"
icon_68903d7b,梵王,Religious Figure,趙溫奇,《益州名画录》,卷上·妙格上品,"趙溫奇者, 公祐子也。幼而穎秀, 長有父風。父歿之後, 於大聖慈寺文殊閣內繼父之蹤, 畫《北方天王》及《梵王》《帝釋》《大輪部屬》, 大將堂《大將部屬》並《梵王》《帝"
icon_2e746df6,帝釋,Religious Figure,趙溫奇,《益州名画录》,卷上·妙格上品,"趙溫奇者, 公祐子也。幼而穎秀, 長有父風。父歿之後, 於大聖慈寺文殊閣內繼父之蹤, 畫《北方天王》及《梵王》《帝釋》《大輪部屬》, 大將堂《大將部屬》並《梵王》《帝"
