work_id,title,creator_ref,creator_name,period_ref,icon_ref,status,repository,support,dimensions,source_book,source_chapter,originalsource_sentence
work_cf0e363e,秋山圖,P_97191,黃居寀,五代/宋初,,未知,,Unknown,,《益州名画录》,卷上,附:僞學士徐光溥《秋山圖》歌 ...... 112
work_a48b7e08,應夢羅漢,P_28331,禪月大師,五代/宋初,,未知,,Unknown,,《益州名画录》,卷上,附:僞翰林學士歐陽炯禪月大師《應夢羅漢》歌 ...... 160
work_56be0a90,山石,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_dd295ce7,龍水,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_4078a756,東方天王及部從,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_26a5a27c,浮漚先生,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_1e58b87e,松石墨竹,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_bfd48288,戰勝,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_00457257,行道天王,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
work_8b28c57c,西方天王及部從,P_67096,孫位,五代/宋初,,见存,應天寺,Wall,,《益州名画录》,卷上,"孫位者, 東越<sup>〔2〕</sup>人也。僖宗皇帝<sup>〔3〕</sup>車駕在蜀, 自京入蜀, 號會稽山人。性情<sup>〔4〕</sup>疎野, 襟抱超然。雖好飲酒, 未嘗沉酩<sup>〔5〕</sup>。禪僧道士, 常與往還。豪貴相請, 禮有少慢<sup>〔6〕</sup>, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年<sup>〔7〕</sup>, 應天寺<sup>〔8〕</sup>無智禪師<sup>〔9〕</sup>請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》<sup>〔10〕</sup>兩堵; 昭覺寺<sup>〔11〕</sup>休夢長老<sup>〔12〕</sup>請畫《浮漚先生<sup>〔13〕</sup>》《松石墨竹》一堵, 仿潤州<sup>〔14〕</sup>高座寺張僧繇<sup>〔15〕</sup>《戰勝》<sup>〔16〕</sup>一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹<sup>〔17〕</sup>, 縱橫馳突<sup>〔18〕</sup>, 交加戞擊<sup>〔19〕</sup>, 欲有聲響。<sup>〔20〕</sup>鷹犬之類, 皆三五筆而成; 弓弦<sup>〔21〕</sup>斧柄之屬, 並掇筆<sup>〔22〕</sup>而描, 如從繩而正矣。其有龍拏<sup>〔23〕</sup>水洶, 千狀萬態, 勢欲<sup>〔24〕</sup>飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述<sup>〔25〕</sup>。非天縱其能, 情高格逸<sup>〔26〕</sup>, 其孰能與於此邪<sup>〔27〕</sup>? 悟達國師<sup>〔28〕</sup>請於眉州<sup>〔29〕</sup>福海院畫《行道天王》<sup>〔30〕</sup>《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸<sup>〔31〕</sup>者, 蜀人也, 蜀廣政年<sup>〔32〕</sup>輙於應天寺門西畔畫《西方天王及部從》<sup>〔33〕</sup>兩堵<sup>〔34〕</sup>, 以對孫遇筆, 識者比之蹄涔巨浸<sup>〔35〕</sup>, 未萬分之一焉<sup>〔36〕</sup>。慮誤後人, 因附而正之。"
