"location_id","historical_names","modern_address","coordinates","source_book","source_chapter","source_text"
"loc_jiulou","[{""name"": ""九楼"", ""period"": ""period_ancient""}]","神话/宫廷建筑(泛指高楼)","34.66, 112.43","《续画品》","正文序","故九楼之上, 备表仙灵; 四门之墉, 广图贤圣。云阁兴拜伏之感, 掖庭致聘远之别。"
"loc_simen_yong","[{""name"": ""四门之墉"", ""period"": ""period_ancient""}]","明堂门墙(都城建筑)","34.66, 112.43","《续画品》","正文序","故九楼之上, 备表仙灵; 四门之墉, 广图贤圣。云阁兴拜伏之感, 掖庭致聘远之别。"
"loc_yunge","[{""name"": ""云阁"", ""period"": ""period_eastern_han""}]","汉代洛阳南宫云台","34.66, 112.43","《续画品》","正文序","故九楼之上, 备表仙灵; 四门之墉, 广图贤圣。云阁兴拜伏之感, 掖庭致聘远之别。"
"loc_yeting","[{""name"": ""掖庭"", ""period"": ""period_western_han""}]","汉代长安后宫","34.26, 108.95","《续画品》","正文序","故九楼之上, 备表仙灵; 四门之墉, 广图贤圣。云阁兴拜伏之感, 掖庭致聘远之别。"
"loc_xianggou","[{""name"": ""象谷"", ""period"": ""period_ancient""}]","象谷(神话/自然地理)","","《续画品》","正文序","遇象谷之風翔, 莫測吕梁之水蹈。虽欲游刃, 理解終迷; 空慕落塵, 未全識曲。若永寻河書, 則圖在書前; 取譬連山, 則言由象著。今莫不貴斯鳥跡, 而賤彼龙文。消長相倾, 有自来矣。故 龄其指, 巧不可为。杖策坐忘, 既慚經国; 据梧丧偶, 宁足命家, 若悪居下流, 自可焚笔; 若冥心用舍, 幸从所好。戏陈鄙見, 非謂毁誉, 十室难誣, 佇聞多識。"
"loc_lvliang","[{""name"": ""吕梁"", ""period"": ""period_ancient""}]","吕梁(自然地理)","37.51, 110.84","《续画品》","正文序","遇象谷之風翔, 莫測吕梁之水蹈。虽欲游刃, 理解終迷; 空慕落塵, 未全識曲。若永寻河書, 則圖在書前; 取譬連山, 則言由象著。今莫不貴斯鳥跡, 而賤彼龙文。消長相倾, 有自来矣。故 龄其指, 巧不可为。杖策坐忘, 既慚經国; 据梧丧偶, 宁足命家, 若悪居下流, 自可焚笔; 若冥心用舍, 幸从所好。戏陈鄙見, 非謂毁誉, 十室难誣, 佇聞多識。"
"loc_he","[{""name"": ""河/连山"", ""period"": ""period_ancient""}]","黄河/洛水(泛指易学发源地)","34.75, 113.62","《续画品》","正文序","遇象谷之風翔, 莫測吕梁之水蹈。虽欲游刃, 理解終迷; 空慕落塵, 未全識曲。若永寻河書, 則圖在書前; 取譬連山, 則言由象著。今莫不貴斯鳥跡, 而賤彼龙文。消長相倾, 有自来矣。故 龄其指, 巧不可为。杖策坐忘, 既慚經国; 据梧丧偶, 宁足命家, 若悪居下流, 自可焚笔; 若冥心用舍, 幸从所好。戏陈鄙見, 非謂毁誉, 十室难誣, 佇聞多識。"
"loc_shishi","[{""name"": ""十室"", ""period"": ""period_ancient""}]","泛指十户之邑(泛指村落)","","《续画品》","正文序","遇象谷之風翔, 莫測吕梁之水蹈。虽欲游刃, 理解終迷; 空慕落塵, 未全識曲。若永寻河書, 則圖在書前; 取譬連山, 則言由象著。今莫不貴斯鳥跡, 而賤彼龙文。消長相倾, 有自来矣。故 龄其指, 巧不可为。杖策坐忘, 既慚經国; 据梧丧偶, 宁足命家, 若悪居下流, 自可焚笔; 若冥心用舍, 幸从所好。戏陈鄙見, 非謂毁誉, 十室难誣, 佇聞多識。"
"loc_chunfang","[{""name"": ""春坊"", ""period"": ""period_liang""}]","南朝梁太子宫府","32.06, 118.79","《续画品》","正文焦宝愿","虽未穷秋駕，而見賞春坊，輸奏薄伎，謬得其地。今衣冠緒裔，未闻好学，丹青道堙，良足为慨 。"
"loc_jingluo","[{""name"": ""京洛"", ""period"": ""period_liang""}]","洛阳","34.66, 112.43","《续画品》","正文释迦佛陀等","右此数手，并外国比丘，既华戎殊体，無以定其差品。光宅威公雅就好此法，下笔之妙，颇为京洛所知聞 。"
"loc_guangzhai_temple","[{""name"": ""光宅寺"", ""period"": ""period_liang""}]","南朝梁南京光宅寺","32.06, 118.79","《续画品》","正文释迦佛陀等","右此数手，并外国比丘，既华戎殊体，無以定其差品。光宅威公雅就好此法，下笔之妙，颇为京洛所知聞 。"
"loc_temple_wall","[{""name"": ""塔庙/寺壁"", ""period"": ""period_era_decades""}]","泛指佛寺建筑(如一乘寺等)","","《续画品》","正文张僧繇/解蒨","右善圖塔庙，超越羣工。（张僧繇）...右全法章、蘧，笔力不逮。通变巧捷，寺壁最長。（解蒨）"
"loc_jiangling","[{""name"": ""江陵"", ""period"": ""period_liang""}]","江陵(今湖北省荆州市)","30.35, 112.23","《续画品》","注释","湘东殿下即梁元帝,名蕭繹,字世誠,小字七符。 初封湘东郡王,公元五五二年即位于江陵。"
"loc_wuxing","[{""name"": ""吴兴/吴"", ""period"": ""period_liang""}]","吴兴(今浙江省湖州市)","30.89, 120.08","《续画品》","注释","从而可知姚最字士会, 今浙江吳兴人。至于他的生卒, 即从周 書内年十九隨僧垣入关一語中可以得知。（姚最） / 注释：张僧繇相传为吴人，据同治湖州府志所载，证实其为今之浙江吴兴人。"
"loc_wukang","[{""name"": ""武康"", ""period"": ""period_liang""}]","武康(今浙江省德清县)","30.54, 119.98","《续画品》","注释","从而可知姚最字士会, 今浙江吳兴人。至于他的生卒, 即从周 書内年十九隨僧垣入关一語中可以得知。（姚最） / 注释：张僧繇相传为吴人，据同治湖州府志所载，证实其为今之浙江吴兴人。"
"loc_changan","[{""name"": ""长安"", ""period"": ""period_northern_zhou""}]","长安(今陕西省西安市)","34.26, 108.95","《续画品》","注释","明年隨謹(于謹)至長安, 此即梁元帝承聖三年江陵为西魏所破之时。"
"loc_yizhou","[{""name"": ""益州"", ""period"": ""period_sui""}]","益州(今四川省成都市)","30.66, 104.06","《续画品》","注释","俄轉蜀王秀友, 秀鎮益州, 迁秀府司馬..."
"loc_nangong","[{""name"": ""南宫云台"", ""period"": ""period_eastern_han""}]","南宫(汉代洛阳宫城)","34.66, 112.43","《续画品》","注释","明帝(刘庄)命画工图功臣二十八将于南宫之云台。"
"loc_duling","[{""name"": ""杜陵"", ""period"": ""period_western_han""}]","杜陵(今陕西省西安市东南)","34.16, 109.08","《续画品》","注释","画工杜陵、毛延寿, 为人形醜好老少, 必得其真, 安陵陈敞, 杂画山川树木, 奔走牛馬众势, 人形醜好, 不在延寿下, 同日棄市。"
"loc_anling","[{""name"": ""安陵"", ""period"": ""period_western_han""}]","安陵(今陕西省咸阳市东)","34.38, 108.87","《续画品》","注释","画工杜陵、毛延寿, 为人形醜好老少, 必得其真, 安陵陈敞, 杂画山川树木, 奔走牛馬众势, 人形醜好, 不在延寿下, 同日棄市。"
"loc_chushan","[{""name"": ""楚山"", ""period"": ""period_ancient""}]","楚山","30.5, 114.0","《续画品》","注释","得玉璞（美玉）楚山中和乃抱其璞而哭于楚山下。"
"loc_furonghu","[{""name"": ""芙蓉湖"", ""period"": ""period_liang""}]","芙蓉湖","32.06, 118.79","《续画品》","注释","尝繪职貢圖,描写外国来献之事。并画有芙蓉湖醮鼎圖等,又傳其有山水松石格的著述"
"loc_yingyang_yangwu","[{""name"": ""荥阳阳武"", ""period"": ""period_qi_zhongxing""}]","荥阳阳武(今河南省原阳县)","35.05, 113.97","《续画品》","注释","南朝齐时榮陽陽武人。毛惠远之弟（毛惠秀）...南朝齐时榮陽陽武人（毛稜）。"
"loc_yan_zhong","[{""name"": ""剡中"", ""period"": ""period_qi_zhongxing""}]","剡中(今浙江省嵊州市)","29.59, 120.82","《续画品》","注释","并傳有釋迦十弟子圖、剡中豁谷村墟圖之作 。"
"loc_lanling","[{""name"": ""兰陵"", ""period"": ""period_liang""}]","兰陵(今山东省兰陵县)","34.86, 117.98","《续画品》","注释","南朝梁时蘭陵人。为梁武帝蕭衍的玄孙...（蕭賁）"
"loc_anren","[{""name"": ""安仁"", ""period"": ""period_eastern_jin""}]","安仁","26.70, 113.27","《续画品》","注释","伯仁，周顗字伯仁，东晋时安仁人，尝作龙馬頌，晋書列傳載其事略 。"
"loc_yicheng_temple","[{""name"": ""一乘寺"", ""period"": ""period_liang""}]","南朝梁一乘寺","32.06, 118.79","《续画品》","注释","曾于一乘寺画凹凸花，加强暈染法。"
"loc_baima_temple","[{""name"": ""白马寺"", ""period"": ""period_qi_zhongxing""}]","白马寺(洛阳)","34.72, 112.55","《续画品》","注释","有殷洪像、白马寺宝台样行于代。"
"loc_tianzhu","[{""name"": ""天竺"", ""period"": ""period_northern_wei""}]","天竺(印度古称)","20.59, 78.96","《续画品》","注释","释迦佛陀...天竺(印度古称)人，学行精慤，灵感極多..."
"loc_songshan_shaolin","[{""name"": ""嵩山少林寺"", ""period"": ""period_sui""}]","嵩山少林寺(今河南省登封市)","34.50, 112.93","《续画品》","注释","至隋，隋帝于嵩山起少林寺，至今房門上有画神，即是迦佛陀之跡。"
"loc_lin_guo","[{""name"": ""菻国"", ""period"": ""period_northern_wei""}]","菻国(东罗马帝国或大秦)","41.00, 28.97","《续画品》","注释","見續高僧傳，有 菻国人物圖、器物样、外国兽圖、鬼神画幷傳于代 。"
"loc_xianyi_guan","[{""name"": ""咸宜观"", ""period"": ""period_tang""}]","咸宜观(唐代长安观名)","34.26, 108.95","《续画品》","注释","记两京寺观画壁：咸宜观殿前东西二神，解蒨画 。"
"loc_dingshui_temple","[{""name"": ""定水寺"", ""period"": ""period_tang""}]","定水寺","34.26, 108.95","《续画品》","注释","定水寺殿内东壁北二神，西壁三帝释并张僧繇画，余七神及下小神并解蒨画 。"
