person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
meso_d2a6a3fd,Painter,萧绎,,,['湘东殿下'],,,period_liang,,《续画品录》,序,湘东殿下
meso_fb957750,Painter,劉褒,,,,,,period_eastern_han,,《续画品录》,上一品,劉褒、桓範、趙岐
meso_b09844eb,Painter,桓範,,,,,,period_three_kingdoms_wei,,《续画品录》,上一品,劉褒、桓範、趙岐
meso_40838bd4,Painter,趙岐,,,,,,period_eastern_han,,《续画品录》,上一品,劉褒、桓範、趙岐
meso_c2365ded,Painter,陸探微,,,,,,period_liu_song,,《续画品录》,上品中,陸探微、閻立德、閻立本
meso_5e537160,Painter,閻立德,,,,,,period_tang,,《续画品录》,上品中,陸探微、閻立德、閻立本
meso_f8a2d188,Painter,閻立本,,,,,,period_tang,,《续画品录》,上品中,陸探微、閻立德、閻立本
meso_58896bcb,Painter,王廙,,,,,,period_eastern_jin,,《续画品录》,上品下,王廙、張僧繇、楊契丹
meso_48a2dc2f,Painter,張僧繇,,,,,,period_liang,,《续画品录》,上品下,王廙、張僧繇、楊契丹
meso_bcc22dca,Painter,楊契丹,,,,,,period_sui,,《续画品录》,上品下,王廙、張僧繇、楊契丹
meso_b4a35bef,Painter,衛協,,,,,,period_western_jin,,《续画品录》,中品上,衛協、史道碩、曹髦
meso_a9653c92,Painter,史道碩,,,,,,period_eastern_jin,,《续画品录》,中品上,衛協、史道碩、曹髦
meso_b9c2a235,Painter,曹髦,,,,,,period_three_kingdoms_wei,,《续画品录》,中品上,衛協、史道碩、曹髦
meso_044fb061,Painter,曹不興,,,,,,period_wu,,《续画品录》,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
meso_dd33632f,Painter,顧凱之,,,,,,period_eastern_jin,,《续画品录》,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
meso_c7052d44,Painter,戴逵,,,,,,period_eastern_jin,,《续画品录》,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
meso_151e9e34,Painter,顧寶先,,,,,,period_southern_qi,,《续画品录》,中品上,顧寶先、顧景秀 (南齊)、袁蒨
meso_a17d0355,Painter,顧景秀,,,,,,period_southern_qi,,《续画品录》,中品上,顧寶先、顧景秀 (南齊)、袁蒨
meso_832060a5,Painter,袁蒨,,,,,,period_southern_qi,,《续画品录》,中品上,顧寶先、顧景秀 (南齊)、袁蒨
meso_b1fdce6c,Painter,史敬文,,,,,,period_liang,,《续画品录》,中品上,史敬文、蘧僧珎、陸杲
meso_811b55bc,Painter,蘧僧珎,,,,,,period_liang,,《续画品录》,中品上,史敬文、蘧僧珎、陸杲
meso_220191f0,Painter,陸杲,,,,,,period_liang,,《续画品录》,中品上,史敬文、蘧僧珎、陸杲
meso_50519dd8,Painter,戴颙,,,,,,period_liu_song,,《续画品录》,中品上,戴颙、姚曇度、張善果
meso_ac4f725f,Painter,姚曇度,,,,,,period_liu_song,,《续画品录》,中品上,戴颙、姚曇度、張善果
meso_018b506d,Painter,張善果,,,,,,period_liu_song,,《续画品录》,中品上,戴颙、姚曇度、張善果
meso_76dab6f6,Painter,張德童,,,,,,period_liang,,《续画品录》,中品上,張德童(諒男)、曹仲達、袁子昂
meso_aa7aa9ed,Painter,曹仲達,,,,,,period_northern_qi,,《续画品录》,中品上,張德童(諒男)、曹仲達、袁子昂
meso_aee74d6c,Painter,袁子昂,,,,,,period_liang,,《续画品录》,中品上,張德童(諒男)、曹仲達、袁子昂
meso_f30ffa4a,Painter,鄭法輪,,,,,,period_sui,,《续画品录》,中品上,鄭法輪、楊子華、董伯仁
meso_99ad9100,Painter,楊子華,,,,,,period_northern_qi,,《续画品录》,中品上,鄭法輪、楊子華、董伯仁
meso_57d37d61,Painter,董伯仁,,,,,,period_sui,,《续画品录》,中品上,鄭法輪、楊子華、董伯仁
meso_e8ec0b71,Painter,楊循,,,,,,period_sui,,《续画品录》,中品中,楊循、宗炳、陶景真、展子虔
meso_448e63be,Painter,宗炳,,,,,,period_liu_song,,《续画品录》,中品中,楊循、宗炳、陶景真、展子虔
meso_5b2e14f3,Painter,陶景真,,,,,,period_liang,,《续画品录》,中品中,楊循、宗炳、陶景真、展子虔
meso_8b21eafc,Painter,展子虔,,,,,,period_sui,,《续画品录》,中品中,楊循、宗炳、陶景真、展子虔
meso_6ff5b5f7,Painter,荀勗,,,,,,period_western_jin,,《续画品录》,中品下,荀勗、王獻之、毛稜
meso_d8bf293b,Painter,王獻之,,,,,,period_eastern_jin,,《续画品录》,中品下,荀勗、王獻之、毛稜
meso_6a8d4469,Painter,毛稜,,,,,,period_southern_qi,,《续画品录》,中品下,荀勗、王獻之、毛稜
meso_6c1f8a3c,Painter,顧駿之,,,,,,period_liu_song,,《续画品录》,中品下,顧駿之、謝赫、謝惠遠
meso_b700c1da,Painter,謝赫,,,,,,period_southern_qi,,《续画品录》,中品下,顧駿之、謝赫、謝惠遠
meso_c2e5dc13,Painter,謝惠遠,,,,,,period_liu_song,,《续画品录》,中品下,顧駿之、謝赫、謝惠遠
meso_13f77e37,Painter,戴蜀,,,,,,period_liu_song,,《续画品录》,中品下,戴蜀、陸整、江僧寶
meso_6fa4e52e,Painter,陸整,,,,,,period_liang,,《续画品录》,中品下,戴蜀、陸整、江僧寶
meso_5444f548,Painter,江僧寶,,,,,,period_liang,,《续画品录》,中品下,戴蜀、陸整、江僧寶
meso_6fae94dd,Painter,解蒨,,,,,,period_liang,,《续画品录》,中品下,解蒨、王知慎、劉董
