lit_id,target_ref,target_name_cn,source_book,source_chapter,author_ref,author_name_cn,quality_rank,source_text
lit_001,,,《续画品录》,序,meso_9231adec,李嗣真,,夫丹青之妙，未可盡言，皆法古而變今也。立萬象於胸懷，傳千祀於毫墨。故九樓之上，偏表仙靈；四門之墉，廣圖賢哲。今之所載，竝謝赫之所遺，有可採者，更稱一家之集。且古今評画，高下必詮；其中優劣，可以意求諸爾。
lit_002,meso_d2a6a3fd,萧绎,《续画品录》,序,meso_9231adec,李嗣真,,湘东殿下 開列至釋迦佛陀、吉底俱、摩羅菩提，並剽姚最語，脫落不全，今更不錄。
lit_003,meso_temp_释迦佛陀,释迦佛陀,《续画品录》,序,meso_9231adec,李嗣真,,湘东殿下 開列至釋迦佛陀、吉底俱、摩羅菩提，並剽姚最語，脫落不全，今更不錄。
lit_004,meso_be4a5160,吉底俱,《续画品录》,序,meso_9231adec,李嗣真,,湘东殿下 開列至釋迦佛陀、吉底俱、摩羅菩提，並剽姚最語，脫落不全，今更不錄。
lit_005,meso_temp_摩罗菩提,摩罗菩提,《续画品录》,序,meso_9231adec,李嗣真,,湘东殿下 開列至釋迦佛陀、吉底俱、摩羅菩提，並剽姚最語，脫落不全，今更不錄。
lit_006,meso_fb957750,劉褒,《续画品录》,上一品,meso_9231adec,李嗣真,上一品,劉褒、桓範、趙岐
lit_007,meso_b09844eb,桓範,《续画品录》,上一品,meso_9231adec,李嗣真,上一品,劉褒、桓範、趙岐
lit_008,meso_40838bd4,趙岐,《续画品录》,上一品,meso_9231adec,李嗣真,上一品,劉褒、桓範、趙岐
lit_009,meso_c2365ded,陸探微,《续画品录》,上品中,meso_9231adec,李嗣真,上品中,陸探微、閻立德、閻立本
lit_010,meso_5e537160,閻立德,《续画品录》,上品中,meso_9231adec,李嗣真,上品中,陸探微、閻立德、閻立本
lit_011,meso_f8a2d188,閻立本,《续画品录》,上品中,meso_9231adec,李嗣真,上品中,陸探微、閻立德、閻立本
lit_012,meso_58896bcb,王廙,《续画品录》,上品下,meso_9231adec,李嗣真,上品下,王廙、張僧繇、楊契丹
lit_013,meso_48a2dc2f,張僧繇,《续画品录》,上品下,meso_9231adec,李嗣真,上品下,王廙、張僧繇、楊契丹
lit_014,meso_bcc22dca,楊契丹,《续画品录》,上品下,meso_9231adec,李嗣真,上品下,王廙、張僧繇、楊契丹
lit_015,meso_b4a35bef,衛協,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,衛協、史道碩、曹髦
lit_016,meso_a9653c92,史道碩,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,衛協、史道碩、曹髦
lit_017,meso_b9c2a235,曹髦,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,衛協、史道碩、曹髦
lit_018,meso_044fb061,曹不興,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
lit_019,meso_dd33632f,顧凱之,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
lit_020,meso_c7052d44,戴逵,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
lit_021,meso_151e9e34,顧寶先,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,顧寶先、顧景秀 (南齊)、袁蒨
lit_022,meso_a17d0355,顧景秀,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,顧寶先、顧景秀 (南齊)、袁蒨
lit_023,meso_832060a5,袁蒨,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,顧寶先、顧景秀 (南齊)、袁蒨
lit_024,meso_b1fdce6c,史敬文,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,史敬文、蘧僧珎、陸杲
lit_025,meso_811b55bc,蘧僧珎,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,史敬文、蘧僧珎、陸杲
lit_026,meso_220191f0,陸杲,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,史敬文、蘧僧珎、陸杲
lit_027,meso_50519dd8,戴颙,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,戴颙、姚曇度、張善果
lit_028,meso_ac4f725f,姚曇度,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,戴颙、姚曇度、張善果
lit_029,meso_018b506d,張善果,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,戴颙、姚曇度、張善果
lit_030,meso_76dab6f6,張德童,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,張德童(諒男)、曹仲達、袁子昂
lit_031,meso_aa7aa9ed,曹仲達,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,張德童(諒男)、曹仲達、袁子昂
lit_032,meso_aee74d6c,袁子昂,《续画品录》,中品上,meso_9231adec,李嗣真,中品上,張德童(諒男)、曹仲達、袁子昂
