period_id,name,time_range,dynastic_info,source_book,source_chapter,source_text
period_yu,虞,"{""start"": -2100, ""end"": -2070}",上古,《贞观公私画史》,序,伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_xia,夏,"{""start"": -2070, ""end"": -1600}",夏,《贞观公私画史》,寺观画壁; 序; 画目,**右二卷，夏侯瞻畫 。（《梁太清目》作馬瞻，疑非是，二卷皆無）** ||| > 宋明帝像　宋景和像　豫章王像　建平王像　江夏王像　零陵王像　王太宰像　羊玄保像　江智淵像　顧慶像（《梁太清目》所無）　孫高麗像　孝武功臣像　勛臣像（張彥遠《名畫記》又有《王榮像》、《十一人圖》、《劉季之像》、《蕭史圖》、《服乘箴圖》、《鸂鶒圖》） ||| 伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_shang,殷,"{""start"": -1600, ""end"": -1046}",商,《贞观公私画史》,寺观画壁; 序; 画目,**右八卷，晉明帝畫，隋朝官本（張彥遠《名畫記》又有《禹會塗山圖》、《殷湯伐桀圖》、《洛中貴戚圖》，畫列女）** ||| > 殷洪像（《太清目》所有）　白馬寺寶台樣　右二卷姚曇度畫　南朝貴戚圖　車馬圖　駱簡像　牛車圖　山陰王像 ||| 伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_zhou_ancient,周,"{""start"": -1046, ""end"": -256}",周,《贞观公私画史》,序; 画目,伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_qin,秦,"{""start"": -221, ""end"": -206}",秦,《贞观公私画史》,序; 画目,> 九州名山圖（《梁大清目》所有）朝陽谷神風水圖　秦始皇東游圖　右三卷，戴勃畫，隋朝官本 。 立釋迦像（《太清目》無）　周盤龍像 ||| > 濠梁圖一卷（《梁太清目》作兩卷，並載下二卷） 十弟子圖　輕車迅邁圖 孝經圖（《梁太清目》此下並不載）　狩河陽圖　秦王游海圖　汾陽醮鼎圖　楚令尹泣兩岐蛇圖　游仙圖　孟母圖　洛陽平門翻車圖 ||| 伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_bei_wei,魏,"{""start"": 386, ""end"": 534}",北魏,《贞观公私画史》,序; 提要; 画目,* 魏北宣寺（楊子華畫，在鄴中） ||| * 魏白雀寺（董伯仁畫，在汝州） ||| **右四卷，魏高貴鄉公畫，隋朝官本 。（《梁太清目》不載）** ||| 《貞觀公私畫史》一卷，唐裴孝源撰，孝源裏貫未詳 。卷首有貞觀十三年八月自序，結銜題中書舍人 。案《唐書·藝文志》有裴孝源《畫品錄》一卷，注曰，中書舍人 。與此序合 。然注又曰，記貞觀、顯慶年事 。而此書序中則稱大唐漢王元昌每燕時暇日，多與其流商榷精奧，以予耿尚，嘗賜討論 。遂命魏、晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年秘府及佛寺並私家所蓄，共二百九十八卷 。屋壁四十七所 。為《貞觀公私畫錄》云云 。與注所言，絕不相符 。考張彥遠《古畫錄》，引孝源《畫錄》最多，皆此書所無 。蓋孝源別有一書，記貞觀、顯慶間畫家品第，如謝赫《古畫品錄》之例，非此書也 。又序稱高貴鄉公以下，而此本所列乃以宋陸探微為首，反居其前，疑傳寫之誤 。又序稱止於貞觀十三年，而此本所列皆隋代收藏官本，其畫壁亦終於楊契丹，均不可解 。考其序末，稱又集新錄《官庫畫總》二百九十八卷 。三百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷是楊素家得，三十卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡云云 。其文重沓不明，疑傳寫有誤 。推其大意，似尚有《新錄》，今佚之耳 。書中皆前列畫名，後列作者之名，而以梁太清目所有、梁太清目所無分注于下 。太清目既不可觀，則考隋以前古畫名目者，莫古於是 。是亦賞鑒家之祖本矣 。 ||| 伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_northern_dynasties,北地,"{""start"": 386, ""end"": 581}",北朝,《贞观公私画史》,寺观画壁,**右四卷，楊子華畫，隋朝官本 。（自子華下，皆北地畫手，或云梁後改。《太清目》中不載）**
period_song,宋,"{""start"": 420, ""end"": 479}",刘宋,《贞观公私画史》,序; 提要; 画目,* 宋法王寺（顧駿之畫，在永嘉） ||| **右一卷，蔡邕畫，隋朝官本，有晉宋梁陳年月印記 。（張彥遠《名畫記》又有《小列女圖》，邕畫，《太清目》所不載）** ||| > 宋明帝像　宋景和像　豫章王像　建平王像　江夏王像　零陵王像　王太宰像　羊玄保像　江智淵像　顧慶像（《梁太清目》所無）　孫高麗像　孝武功臣像　勛臣像（張彥遠《名畫記》又有《王榮像》、《十一人圖》、《劉季之像》、《蕭史圖》、《服乘箴圖》、《鸂鶒圖》） ||| > 豫章王像　宋竟陵王像 勛賢圖　褚淵袁粲像　張興像　天竺僧像二卷射雉圖（上八卷《梁太清目》所不載）洛中車馬圖二卷　越中風俗圖二卷　高麗鬥鴨圖一卷 ||| 《貞觀公私畫史》一卷，唐裴孝源撰，孝源裏貫未詳 。卷首有貞觀十三年八月自序，結銜題中書舍人 。案《唐書·藝文志》有裴孝源《畫品錄》一卷，注曰，中書舍人 。與此序合 。然注又曰，記貞觀、顯慶年事 。而此書序中則稱大唐漢王元昌每燕時暇日，多與其流商榷精奧，以予耿尚，嘗賜討論 。遂命魏、晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年秘府及佛寺並私家所蓄，共二百九十八卷 。屋壁四十七所 。為《貞觀公私畫錄》云云 。與注所言，絕不相符 。考張彥遠《古畫錄》，引孝源《畫錄》最多，皆此書所無 。蓋孝源別有一書，記貞觀、顯慶間畫家品第，如謝赫《古畫品錄》之例，非此書也 。又序稱高貴鄉公以下，而此本所列乃以宋陸探微為首，反居其前，疑傳寫之誤 。又序稱止於貞觀十三年，而此本所列皆隋代收藏官本，其畫壁亦終於楊契丹，均不可解 。考其序末，稱又集新錄《官庫畫總》二百九十八卷 。三百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷是楊素家得，三十卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡云云 。其文重沓不明，疑傳寫有誤 。推其大意，似尚有《新錄》，今佚之耳 。書中皆前列畫名，後列作者之名，而以梁太清目所有、梁太清目所無分注于下 。太清目既不可觀，則考隋以前古畫名目者，莫古於是 。是亦賞鑒家之祖本矣 。 ||| 伏犧氏受龍圖之後，史為掌圖之官，有體物之作，蓋以照遠顯幽，侔列群象 。自玄黃萌始，方圖辯正，有形可明之事，前賢成建之跡，遂追而寫之 。至虞夏殷周及秦漢之代，皆有史掌，雖遭罹播散，而終有所歸 。及吳魏晉宋，世多奇人，皆心目相授，斯道始興 。其於忠臣孝子，賢愚美惡，莫不圖之屋壁，以訓將來 。或想功烈於千年，聆英威於百代，乃心存懿跡，默匠儀形 。其餘風化幽微，感而遂至，飛游騰竄，驗之目前，皆可圖畫 。且夫藝有精深，學有疏密，前賢品錄，益多其流 。大唐漢王元昌，天植其材，心專物表，舍運覃思，六法俱全，隨物成形，萬類無失 。每燕時暇日，多與其流商確精奧，以餘耿尚，常賜討論，遂命魏晉以來前賢遺跡所存，及品格高下，列為先後 。起於高貴鄉公，終於大唐貞觀十三年 。秘府及佛寺並私家所蓄，其二百九十八卷，屋壁四十七所，目為《貞觀公私畫錄》 。又集新錄官庫畫，總二百九十八卷，二百三十卷是隋室官庫，十三卷是左僕射蕭瑀進，二十卷楊素家得，三卷許善心進，十卷高平縣行書佐張氏所獻，四卷褚安福進，近十八卷先在秘府，亦無所得人名，並有天和年月 。其間有二十三卷，恐非晉宋人真跡，多當時工人所作，後人強題名氏 。時貞觀十三年八月望日序 。中書舍人裴孝源
period_southern_dynasties,南朝,"{""start"": 420, ""end"": 589}",南朝,《贞观公私画史》,画目,> 殷洪像（《太清目》所有）　白馬寺寶台樣　右二卷姚曇度畫　南朝貴戚圖　車馬圖　駱簡像　牛車圖　山陰王像
period_song_jinghe,景和,"{""start"": 465, ""end"": 465}",刘宋,《贞观公私画史》,画目,> 宋明帝像　宋景和像　豫章王像　建平王像　江夏王像　零陵王像　王太宰像　羊玄保像　江智淵像　顧慶像（《梁太清目》所無）　孫高麗像　孝武功臣像　勛臣像（張彥遠《名畫記》又有《王榮像》、《十一人圖》、《劉季之像》、《蕭史圖》、《服乘箴圖》、《鸂鶒圖》）
