rel_id,source_id,target_id,relation_type,formal_name,source_book,source_chapter,source_text
rel_9bcdc40c,李元昌,裴孝源,Friendship,商榷精奥,《贞观公私画史》,卷一·序,大唐漢王元昌每燕時暇日，多與其流商榷精奧，以予耿尚，嘗賜討論 。
rel_f484555b,张善果,张僧繇,Kinship,父子,《贞观公私画史》,卷一·画目,（善果畫，《太清目》所不載。或云：「善果，僧繇之子。」...）
rel_265c64c7,张儒童,张僧繇,Kinship,父子,《贞观公私画史》,卷一·画目,右二卷，張儒童畫 。（僧繇之子，《太清目》不載）
rel_44c7ef6f,阎立本,张僧繇,Master_Student,师祖,《贞观公私画史》,卷一·结语,閻本師祖張公，可謂青出於藍矣 。
rel_594bb853,阎立德,阎立本,Kinship,兄弟,《贞观公私画史》,卷一·结语,博陵大安，誠曰難兄難弟 。
rel_761f8a4f,董伯仁,郑法士,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 周海覺寺（董伯仁、鄭法士畫，在固州）
rel_4f4e1816,张僧繇,解倩,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 梁天皇寺（張僧繇、解倩畫，在江陵）
rel_74166e1a,张儒童,展子虔,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 陳東安寺（張儒童、展子虔畫，在江都，改為常樂寺）
rel_8767235c,展子虔,郑法士,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 隋靈寶寺（展子虔、鄭法士畫，在長安）
rel_51c15961,田僧亮,展子虔,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 隋光明寺（田僧亮，展子虔、鄭法士、楊契丹畫，在長安）
rel_f9226355,展子虔,郑法士,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 隋光明寺（田僧亮，展子虔、鄭法士、楊契丹畫，在長安）
rel_cdafb057,郑法士,杨契丹,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 隋光明寺（田僧亮，展子虔、鄭法士、楊契丹畫，在長安）
rel_3ee667ff,范长寿,张孝师,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 隋隆法寺（範長壽、張孝師畫，在長安）
rel_e68337aa,郑法士,杨契丹,Collaboration,合作画壁,《贞观公私画史》,卷一·寺观画壁,* 隋寶剎寺（鄭法士、楊契丹畫，在長安）
rel_2732db42,陈善见,杨子华,School,汲汲于形似,《贞观公私画史》,卷一·结语,世之學者，陳善見、王知慎之流，萬得其一，固未及於風神，尚汲汲於形似 。...都非楊鄭之真筆...
rel_3af6b89b,王知慎,郑法士,School,汲汲于形似,《贞观公私画史》,卷一·结语,世之學者，陳善見、王知慎之流...都非楊鄭之真筆...
rel_149d95a1,袁子昂,袁蒨,Kinship,父子,《贞观公私画史》,卷一·结语,袁張兩家父子，亦得居其次 。
rel_1fd15c78,陈善见,王知慎,Friendship,并称,《贞观公私画史》,卷一·结语,世之學者，陳善見、王知慎之流...
rel_969baa58,杨子华,郑法士,Friendship,并称,《贞观公私画史》,卷一·结语,今人所蓄，多是陳王寫拓，都非楊鄭之真筆...
rel_9c403360,李源,张善果,Friendship,品评,《贞观公私画史》,卷一·画目,李源序云：「以品格高下，豈宜處此？」
rel_112960d1,李元昌,裴孝源,Master_Student,遂命编撰,《贞观公私画史》,卷一·序,遂命魏、晉以來前賢遺跡所存...目為《貞觀公私畫錄》。
