work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,source_chapter,source_text
work_b1090b2d,宋明帝像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,宋明帝像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_d5645a89,宋景和像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,宋景和像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_f26736ef,豫章王像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,豫章王像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_113be12f,建平王像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,建平王像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_7f3b2d1e,江夏王像,陸探微,Song,Landscape,Lost,Silk,,,《贞观公私画史》,卷一·画目,江夏王像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_6dfa2a39,零陵王像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,零陵王像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_a2fc9479,王太宰像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,王太宰像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_c337396e,羊玄保像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,羊玄保像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_034fed8a,江智淵像,陸探微,Song,Landscape,Lost,Silk,,,《贞观公私画史》,卷一·画目,江智淵像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_3729497a,顧慶像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,顧慶像（《梁太清目》所無） ... 右十三卷是陸探微真跡，隋朝官本 。
work_ffb92b7c,孫高麗像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,孫高麗像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_09550168,孝武功臣像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,孝武功臣像 ... 右十三卷是陸探微真跡，隋朝官本 。
work_b3534807,勛臣像,陸探微,Song,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,勛臣像（張彥遠《名畫記》又有《王榮像》、《十一人圖》、《劉季之像》、《蕭史圖》、《服乘箴圖》、《鸂鶒圖》） ... 右十三卷是陸探微真跡，隋朝官本 。
work_3f9fa2d5,建安山陽二王像,陸探微,Song,Landscape,Copy,Silk,,,《贞观公私画史》,卷一·画目,建安山陽二王像 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_1f98836b,沈曇慶醉像,陸探微,Song,Figure,Copy,Silk,,,《贞观公私画史》,卷一·画目,沈曇慶醉像 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_16dacf39,麻超之徐僧寶像,陸探微,Song,Religious,Copy,Silk,,,《贞观公私画史》,卷一·画目,麻超之徐僧寶像（《梁太清目》中無） ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_b3d11d0c,靈台寺瑾統像,陸探微,Song,Religious,Copy,Silk,,,《贞观公私画史》,卷一·画目,靈台寺瑾統像 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_2bdcbf8f,毛詩新台圖,陸探微,Song,Architecture,Copy,Silk,,,《贞观公私画史》,卷一·画目,毛詩新台圖 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_1cdb0d93,蔡姬蕩舟圖,陸探微,Song,Figure,Copy,Silk,,,《贞观公私画史》,卷一·画目,蔡姬蕩舟圖（《梁太清目》中無） ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_51a8dd79,劉亮騧馬圖,陸探微,Song,Unknown,Copy,Silk,,,《贞观公私画史》,卷一·画目,劉亮騧馬圖 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_ce6f57dd,高麗赭白马圖,陸探微,Song,Bird-and-Flower,Copy,Silk,,,《贞观公私画史》,卷一·画目,高麗赭白马圖 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_cd96dd8d,蟬雀圖,陸探微,Song,Bird-and-Flower,Copy,Silk,,,《贞观公私画史》,卷一·画目,蟬雀圖 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_257e5d80,鬥鴨圖,陸探微,Song,Unknown,Copy,Silk,,,《贞观公私画史》,卷一·画目,鬥鴨圖（《梁太清目》中無） ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_ca4194be,獼猴圖,陸探微,Song,Bird-and-Flower,Copy,Silk,,,《贞观公私画史》,卷一·画目,獼猴圖 ... 右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。
work_89069e8c,新豐放雞犬圖,魏高貴鄉公,Wei,Bird-and-Flower,Lost,Silk,,,《贞观公私画史》,卷一·画目,新豐放雞犬圖 ... 右四卷，魏高貴鄉公畫，隋朝官本 。（《梁太清目》不載）
work_3998ed9a,二疏圖,魏高貴鄉公,Wei,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,二疏圖 ... 右四卷，魏高貴鄉公畫，隋朝官本 。（《梁太清目》不載）
work_3f252410,黃河流勢圖,魏高貴鄉公,Wei,Landscape,Lost,Silk,,,《贞观公私画史》,卷一·画目,黃河流勢圖 ... 右四卷，魏高貴鄉公畫，隋朝官本 。（《梁太清目》不載）
work_c173cd78,盜跖圖,魏高貴鄉公,Wei,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,盜跖圖（張彥遠《名畫記》又有《於陵子黔婁夫妻像》） ... 右四卷，魏高貴鄉公畫，隋朝官本 。（《梁太清目》不載）
work_c560425e,毛詩北風圖,衛協,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,毛詩北風圖（《梁太清》作謝稚畫） ... 右五卷，衛協畫，隋朝官本 。
work_1b19d9f7,毛詩黍離圖,衛協,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,毛詩黍離圖（《梁太清》止有此圖） ... 右五卷，衛協畫，隋朝官本 。
work_9368b2f5,卞莊刺二虎圖,衛協,Jin,Bird-and-Flower,Lost,Silk,,,《贞观公私画史》,卷一·画目,卞莊刺二虎圖 ... 右五卷，衛協畫，隋朝官本 。
work_66ba518e,吳王舟師圖,衛協,Jin,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,吳王舟師圖 ... 右五卷，衛協畫，隋朝官本 。
work_433802c9,列女圖,衛協,Jin,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,列女圖（張彥遠《名畫記》又有《小列女圖》、《楞嚴七佛圖》） ... 右五卷，衛協畫，隋朝官本 。
work_6eab99bc,史記列士圖,晉明帝,Jin,Figure,Lost,Silk,,,《贞观公私画史》,卷一·画目,史記列士圖 ... 右八卷，晉明帝畫，隋朝官本（張彥遠《名畫記》又有《禹會塗山圖》、《殷湯伐桀圖》、《洛中貴戚圖》，畫列女）
work_e5b84098,息徒蘭圃圖,晉明帝,Jin,Unknown,Lost,Silk,,,《贞观公私画史》,卷一·画目,息徒蘭圃圖 ... 右八卷，晉明帝畫，隋朝官本（張彥遠《名畫記》又有《禹會塗山圖》、《殷湯伐桀圖》、《洛中貴戚圖》，畫列女）
