lit_id,target_ref,target_type,source_book,source_chapter,author_ref,quality_rank,quote,source_text,literature_ref,evaluation_type
lit_b88e9c10,顧慶像,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》所無,顧慶像（《梁太清目》所無）,《梁太清目》,Not Recorded
lit_d110eafd,勛臣像,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,張彥遠《名畫記》又有《王榮像》、《十一人圖》、《劉季之像》、《蕭史圖》、《服乘箴圖》、《鸂鶒圖》,勛臣像（張彥遠《名畫記》又有《王榮像》、《十一人圖》、《劉季之像》、《蕭史圖》、《服乘箴圖》、《鸂鶒圖》）,《历代名画记》,Comparison
lit_94cf4a30,宋明帝像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_82e58a99,宋景和像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_8f6ffe01,豫章王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_7162231d,建平王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_edce32c3,江夏王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_79e2b3fa,零陵王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_2c75211d,王太宰像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_545712bf,羊玄保像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_f2fa6386,江智淵像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_7e670df0,顧慶像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_d93ff7f8,孫高麗像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_31abf557,孝武功臣像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_e6eb3d35,勛臣像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷是陸探微真跡，隋朝官本 。,右十三卷是陸探微真跡，隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_e8d525c8,麻超之徐僧寶像,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》中無,麻超之徐僧寶像（《梁太清目》中無）,《梁太清目》,Comparison
lit_c8bc9027,蔡姬蕩舟圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》中無,蔡姬蕩舟圖（《梁太清目》中無）,《梁太清目》,Comparison
lit_2d07e2e4,鬥鴨圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,《梁太清目》中無,鬥鴨圖（《梁太清目》中無）,《梁太清目》,Comparison
lit_4fc5c6da,建安山陽二王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。,右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。,《贞观公私画史》,Catalog/Authentication
lit_fcfce44e,沈曇慶醉像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。,右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。,《贞观公私画史》,Catalog/Authentication
lit_69eb3af8,麻超之徐僧寶像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。,右十二卷並摹寫本，非陸真跡，與前十三卷共二十五卷，題作陸探微畫，隋朝官本，亦有梁陳題記 。,《贞观公私画史》,Catalog/Authentication
