location_id,historical_names,modern_address,coordinates,source_book,source_chapter,source_text
loc_wu_jun,吴,Admin_Region,吴,《江苏省苏州市一带》,"[120.619907, 31.299379]",第一品 陆探微
loc_wuxing,吴兴,Admin_Region,吴兴,《浙江省湖州市》,"[120.102398, 30.867198]",第一品 曹不兴
loc_mige,秘阁,Studio,秘阁,,,第一品 曹不兴
loc_yingchuan,颍川,Admin_Region,颍川,《河南省禹州市》,"[113.487739, 34.152599]",第一品 荀勗
loc_wu_jun_gu,吴,Admin_Region,吴,《江苏省苏州市一带》,"[120.619907, 31.299379]",第二品 顾骏之
loc_cenglou,层楼,Studio,层楼,,,第二品 顾骏之
loc_wu_jun_yao,吴,Admin_Region,吴,《江苏省苏州市一带》,"[120.619907, 31.299379]",第三品 姚昙度
loc_jinling_wuxi,晋陵无锡,Admin_Region,晋陵无锡,《江苏省无锡市》,"[120.301663, 31.574729]",第三品 顾恺之
loc_xingyang_yangwu,荥阳阳武,Admin_Region,荥阳阳武,《河南省原阳县》,"[113.966766, 35.053749]",第三品 毛惠远
loc_qiaojun_zhi,谯郡銍,Admin_Region,谯郡銍,《安徽省濉溪县》,"[116.782013, 33.910362]",第三品 戴逵
loc_waguan_si,瓦棺寺,Temple,瓦棺寺,《江苏省南京市》,"[118.79647, 32.05838]",第三品 戴逵
loc_jiangling_changqing_si,江陵长庆寺,Temple,江陵长庆寺,《湖北省荆州市》,"[112.23813, 30.326857]",第三品 江僧宝
loc_jiangning_jinggong_si,江宁景公寺,Temple,江宁景公寺,《江苏省南京市》,"[118.79647, 32.05838]",第三品 江僧宝
loc_jingluo,京洛,Admin_Region,京洛,《西安与洛阳一带》,"[110.94017, 34.58021]",第三品 吴暕
loc_wujun_lu,吴郡,Admin_Region,吴郡,《江苏省苏州市》,"[120.619907, 31.299379]",第三品 陆杲
loc_si_bi,寺壁,Temple,寺壁,,,第四品 蘧道愍
loc_wujun_gu,吴郡,Admin_Region,吴郡,《江苏省苏州市》,"[120.619907, 31.299379]",第四品 顾宝先
loc_langya_linyi,琅琊临沂,Admin_Region,琅琊临沂,《山东省临沂市》,"[118.352943, 35.067341]",第四品 王微
loc_jiangling_longxing_si,江陵龙兴寺,Temple,江陵龙兴寺,《湖北省荆州市》,"[112.23813, 30.326857]",第四品 史道硕
loc_shanzhong_benji_si,剡中本纪寺,Temple,剡中本纪寺,《浙江省绍兴市嵊州》,"[120.821434, 29.588528]",第四品 史道硕
loc_pengcheng_anshangli,彭城安上里,Admin_Region,彭城安上里,《江苏省徐州市》,"[117.184811, 34.261792]",第五品 刘顼
loc_lexian_tang,乐贤堂,Studio,乐贤堂,,,第五品 晋明帝
loc_nanyang_nieyang,南阳涅阳,Admin_Region,南阳涅阳,《河南省邓州市》,"[112.088654, 32.686523]",第六品 宋炳
loc_jing_wu,荆巫,Admin_Region,荆巫,《湖北省荆山与巫山》,"[111.450379, 31.246197]",第六品 宋炳
loc_hengyue,衡岳,Admin_Region,衡岳,《湖南省衡山》,"[112.612784, 27.301625]",第六品 宋炳
loc_hengshan,衡山,Admin_Region,衡山,《湖南省衡山》,"[112.612784, 27.301625]",第六品 宋炳
loc_yangzhou,扬州,Admin_Region,扬州,《江苏省扬州市》,"[119.421003, 32.393159]",序
loc_xiangdong,湘东,Admin_Region,湘东,《湖南省衡阳市一带》,"[112.607693, 26.900358]",序
loc_qingxi,青谿,Admin_Region,青谿,《江苏省南京市》,"[118.79647, 32.05838]",第一品 曹不兴
loc_jibei,济北,Admin_Region,济北,《山东省济南市长清区一带》,"[116.783833, 36.555443]",第一品 荀勗
loc_wu_jun_gu_jingxiu,吴兴,Admin_Region,吴兴,《浙江省湖州市》,"[120.102398, 30.867198]",第二品 顾骏之
loc_shanyin,剡县,Admin_Region,剡县,《浙江省绍兴市嵊州》,"[120.821434, 29.588528]",第三品 戴逵
loc_yangzhou_lu,扬州,Admin_Region,扬州,《江苏省扬州市》,"[119.421003, 32.393159]",第三品 陆杲
loc_dongtang,东堂,Studio,东堂,,,第三品 陆杲
loc_yongzhou,雍州,Admin_Region,雍州,《陕西省西安市一带》,"[108.93984, 34.34127]",第三品 陆杲
loc_guilin,桂林,Admin_Region,桂林,《广西壮族自治区桂林市》,"[110.299121, 25.274215]",第三品 陆杲
loc_kunshan,昆山,Admin_Region,昆山,《江苏省昆山市》,"[120.977531, 31.399914]",第三品 陆杲
loc_wukang,武康,Admin_Region,武康,《浙江省德清县武康镇》,"[119.980484, 30.540134]",第五品 晋明帝
loc_taikang,太康,Admin_Region,太康,《河南省周口市太康县》,"[114.847778, 34.061756]",第五品 刘绍祖
loc_jiangling,江陵,Admin_Region,江陵,《湖北省荆州市》,"[112.23813, 30.326857]",第六品 宋炳
loc_chushan,楚山,Admin_Region,楚山,《湖北省荆山一带》,"[111.450379, 31.246197]",第二品 袁蒨
loc_zhao,赵国,Admin_Region,赵国,《河北省南部及山西省北部》,"[114.475704, 38.068967]",第二品 袁蒨
loc_qin,秦国,Admin_Region,秦国,《陕西省一带》,"[108.93984, 34.34127]",第二品 袁蒨
loc_zhangtai,章台,Admin_Region,章台,《陕西省西安市西汉长安城内》,"[108.895055, 34.331427]",第二品 袁蒨
loc_wushan,吴山,Admin_Region,吴山,《浙江省杭州市》,"[120.153576, 30.287459]",第三品 夏瞻
loc_menwu,门屋,Studio,门屋,,,第四品 王微
loc_huizhong,回中,Admin_Region,回中,《陕西省陇县西北》,"[106.858711, 34.891228]",第五品 晋明帝
loc_wangmen,王门,Admin_Region,王门,,,第六品 宋炳
