cv_id,person_ref,entry_mode,official_title,rank,tenure,location_ref,time_ref,event_type,source_book,source_chapter,source_text
cv_ghpl_000,meso_xie_he,谢赫,,南齐时人（姚最评其中兴以后，众人莫及）,,,,南齐,《Official_Post》,《古画品录》,序
cv_ghpl_001,meso_lu_tanwei,陆探微,,事五代宋明帝,宫廷画师（无明确品阶）,,吴人,南朝宋（宋文帝至明帝间）,《Official_Post》,《古画品录》,第一品
cv_ghpl_002,meso_cao_buxing,曹不兴,,事孙权,宫廷画师（无明确品阶）,,吴兴；秘阁之内,三国吴,《Official_Post》,《古画品录》,第一品
cv_ghpl_003,meso_wei_xie,衛协,,,,,,西晋,《Travel》,《古画品录》,第一品
cv_ghpl_004,meso_zhang_mo,張墨,,,,,,西晋,《Travel》,《古画品录》,第一品
cv_ghpl_005,meso_xun_xu,荀勗,,在魏为大将军；入晋封济北侯,第一品（大将军）；列侯（济北侯）,,颍川,西晋,《Official_Post》,《古画品录》,第一品
cv_ghpl_006,meso_gu_junzhi,顧駿之,,居武帝左右,宫廷侍臣/画师（无明确品阶）,,吴；层楼,南朝宋（宋大明中）,《Official_Post》,《古画品录》,第二品
cv_ghpl_007,meso_lu_sui,陆绥,,,,,,南朝宋,《Travel》,《古画品录》,第二品
cv_ghpl_008,meso_yuan_qian,袁蒨,,,,,,南朝宋,《Travel》,《古画品录》,第二品
cv_ghpl_009,meso_yao_tandu,姚昙度,,,,,吴,南齐,《Travel》,《古画品录》,第三品
cv_ghpl_010,meso_gu_kaizhi,顾恺之,,,,,晋陵无锡；瓦棺寺,东晋,《Travel》,《古画品录》,第三品
cv_ghpl_011,meso_mao_huiyuan,毛惠远,,,,,荥阳阳武,南齐,《Travel》,《古画品录》,第三品
cv_ghpl_012,meso_xia_zhan,夏瞻,,,,,,西晋,《Travel》,《古画品录》,第三品
cv_ghpl_013,meso_dai_kui,戴逵,,,,,谯郡銍；浙江会稽之剡县,东晋,《Travel》,《古画品录》,第三品
cv_ghpl_014,meso_jiang_sengbao,江僧宝,,,,,江陵长庆寺；江宁景公寺,南朝宋/梁,《Travel》,《古画品录》,第三品
cv_ghpl_015,meso_wu_jian,吴暕,,,,,京洛,南朝宋,《Travel》,《古画品录》,第三品
cv_ghpl_016,meso_zhang_ze,张则,,,,,,南朝宋,《Travel》,《古画品录》,第三品
cv_ghpl_017,meso_lu_gao,陆杲,,初仕南齐；入梁后官至特进扬州大中正,第二品（特进）；第三品（扬州大中正）,,吴郡,南朝梁,《Official_Post》,《古画品录》,第三品
cv_ghpl_018,meso_qu_daomin,蘧道愍,,,,,寺壁,南齐,《Travel》,《古画品录》,第四品
cv_ghpl_019,meso_zhang_jibo,章继伯,,,,,寺壁,南齐,《Travel》,《古画品录》,第四品
cv_ghpl_020,meso_gu_baoxian,顾宝先,,尚书水部郎,第六品（尚书水部郎）,,吴郡,南朝宋（宋大明中）,《Official_Post》,《古画品录》,第四品
cv_ghpl_021,meso_wang_wei,王微,,,,,琅琊临沂；门屋一间,南朝宋,《Travel》,《古画品录》,第四品
cv_ghpl_022,meso_shi_daoshuo,史道硕,,,,,江陵龙兴寺；剡中本纪寺,东晋,《Travel》,《古画品录》,第四品
cv_ghpl_023,meso_liu_xu,刘顼,,,,,彭城安上里,南齐,《Travel》,《古画品录》,第五品
cv_ghpl_024,meso_jin_ming_di,晋明帝,,皇帝（元帝长子）,帝王,"{""start"": 323, ""end"": 325, ""duration"": 3}",乐贤堂,东晋,《Official_Post》,《古画品录》,第五品
cv_ghpl_025,meso_liu_shaozu,刘绍祖,,晋太康太守,第五品（太守）,,,南朝宋,《Official_Post》,《古画品录》,第五品
cv_ghpl_026,meso_song_bing,宋炳,Recommendation,辟台不就,未入流（不就）,"{""duration"": 30}",南阳涅阳；荆巫；衡岳；衡山；江陵,南朝宋,《Travel》,《古画品录》,第六品
cv_ghpl_027,meso_ding_guang,丁光,,,,,,南齐,《Travel》,《古画品录》,第六品
