lit_id,target_ref,source_book,source_chapter,author_ref,quality_rank,quote,source_text
re_ghpl_001,陆探微,《古画品录》,"事五代宋明帝,吳人。穷理尽性,事絕言象。包前孕后,古今独立。非复激揚所能称赞,但价重之極乎上,上品之外,無他寄言,故屈标第一等。",第一品,品评,"谢赫对陆探微的评级为第一品，评语：事五代宋明帝,吳人。穷理尽性,事絕言象。...",
re_ghpl_002,曹不兴,《古画品录》,"五代吳时事孙权,吳兴人。不兴之迹，殆莫复傳，唯秘閣之内,一龙而已。观其風骨,名豈虚成。",第一品,品评,"谢赫对曹不兴的评级为第一品，评语：五代吳时事孙权,吳兴人。不兴之迹，殆莫复...",
re_ghpl_003,衛协,《古画品录》,"五代 晋时占画之略,至协始精。六法之中，迨为兼善。虽不說备形妙,頗得壯气。凌跨群雄,曠代絕笔。",第一品,品评,"谢赫对衛协的评级为第一品，评语：五代 晋时占画之略,至协始精。六法之中，...",
re_ghpl_004,張墨,《古画品录》,"風范气候,極妙参神。但取精灵,遺其骨法。若拘以体物,則未見精粹;若取之外,万厌高腴,可谓微妙也。",第一品,品评,"谢赫对張墨的评级为第一品，评语：風范气候,極妙参神。但取精灵,遺其骨法。...",
re_ghpl_005,荀勗,《古画品录》,"風范气候,極妙参神。但取精灵,遺其骨法。若拘以体物,則未見精粹;若取之外,万厌高腴,可谓微妙也。",第一品,品评,"谢赫对荀勗的评级为第一品，评语：風范气候,極妙参神。但取精灵,遺其骨法。...",
re_ghpl_006,顾景秀,《古画品录》,"神韻气力,不逮前賢;精微謹細,有过往哲。始变古則今,赋彩制形,皆創新意。若包牺始更封体,史籀初改画法。常結構層楼,以为画所,風雨炎暑之时,故不操笔;天和气爽之日,乃含毫。登楼去梯,妻子罕見。画蟬雀,駿之始也。宋大明中,天下莫敢竞矣。",第二品,品评,"谢赫对顾景秀的评级为第二品，评语：神韻气力,不逮前賢;精微謹細,有过往哲。...",
re_ghpl_007,陆绥,《古画品录》,"体韻遒举,風彩飄然。一点一拂,动笔皆奇。傳世盖少,所謂希见卷軸,故为宝也。",第二品,品评,"谢赫对陆绥的评级为第二品，评语：体韻遒举,風彩飄然。一点一拂,动笔皆奇。...",
re_ghpl_008,袁蒨,《古画品录》,"比方陆氏,最为高逸。象人之妙,亞美前賢。但志守师法,更無新意;然和璧微玷,豈貶十城之价也。",第二品,品评,"谢赫对袁蒨的评级为第二品，评语：比方陆氏,最为高逸。象人之妙,亞美前賢。...",
re_ghpl_009,姚昙度,《古画品录》,"画有逸方,巧变锋出。魑魁神鬼，皆能绝妙。固流眞为，雅郑兼善，莫不俊拔,出人意表。天挺生知,非学所及。虽机微长短,往往失之,而舆皂之中,莫与为匹。岂直栋梁萧艾,可搪揬与璠者哉!",第三品,品评,"谢赫对姚昙度的评级为第三品，评语：画有逸方,巧变锋出。魑魁神鬼，皆能绝妙。...",
re_ghpl_010,顾恺之,《古画品录》,"五代晋时晋陵无锡人,字长康,小字虎头。除体精微,笔无妄下,但迹不逮意,声过其实。",第三品,品评,"谢赫对顾恺之的评级为第三品，评语：五代晋时晋陵无锡人,字长康,小字虎头。除...",
re_ghpl_011,毛惠远,《古画品录》,"画体周瞻,无适弗该。出入穷奇,纵横逸笔。力遒韵雅,超迈绝伦。其挥霍必也极妙,至于定质,愧然未尽其善。神鬼及马,泥滞于射,颇有拙也。",第三品,品评,"谢赫对毛惠远的评级为第三品，评语：画体周瞻,无适弗该。出入穷奇,纵横逸笔。...",
re_ghpl_012,夏瞻,《古画品录》,"虽气力不足,而精彩有余。擅名远代,事非虚美。",第三品,品评,"谢赫对夏瞻的评级为第三品，评语：虽气力不足,而精彩有余。擅名远代,事非虚...",
re_ghpl_013,戴逵,《古画品录》,"情韵连绵,风趣巧拔,善图贤圣,百工所范。荀卫以后,實為領袖,及子顒,能繼其善。",第三品,品评,"谢赫对戴逵的评级为第三品，评语：情韵连绵,风趣巧拔,善图贤圣,百工所范。...",
re_ghpl_014,江僧宝,《古画品录》,"斟酌远陆,亲渐朱蓝。用笔骨梗,甚有师法。像人之外,非其所长也。",第三品,品评,"谢赫对江僧宝的评级为第三品，评语：斟酌远陆,亲渐朱蓝。用笔骨梗,甚有师法。...",
re_ghpl_015,吴暕,《古画品录》,"体法雅媚,制置才巧,擅美当年,有声京洛。",第三品,品评,"谢赫对吴暕的评级为第三品，评语：体法雅媚,制置才巧,擅美当年,有声京洛。...",
re_ghpl_016,张则,《古画品录》,"意思横逸,动笔新奇;师心独见,鄙于综采。变巧不竭,若环之无端。景多触目。谢题徐落云,此二人后,不得预焉。",第三品,品评,"谢赫对张则的评级为第三品，评语：意思横逸,动笔新奇;师心独见,鄙于综采。...",
re_ghpl_017,陆杲,《古画品录》,"体致不凡,跨迈流俗。时有合作,往往出人。点画之间,动流恢服。传于后者,殆不盈握。桂枝一芳,足徵本性；流液之素,难效其功。",第三品,品评,"谢赫对陆杲的评级为第三品，评语：体致不凡,跨迈流俗。时有合作,往往出人。...",
re_ghpl_018,蘧道愍,《古画品录》,"竝善寺壁,兼長畫扇。人馬分數,毫厘不失；別體之妙,亦為入神。",第四品,品评,"谢赫对蘧道愍的评级为第四品，评语：竝善寺壁,兼長畫扇。人馬分數,毫厘不失；...",
