icon_id,name,parent_id,visual_elements,source_evidence
icon_chanque,蝉雀,花鸟,"[""蝉"", ""雀""]","谨细，则逾往烈。始变古体，创为今范。赋彩制形，皆有新意。扇画蝉雀，自景秀始也。宋大明中，莫敢与竞。在第二品，陆绥上。(""历代; 如庖牺的初画八卦，史籀的初创书法一样的有价值。………………取蝉雀来作画，这是骏之（译者按：应改为景秀）开始的，在宋大明年间，"
icon_dragon,龙,神怪,"[""龙"", ""青谿赤龙""]",应时蓄水成霧，大雨經旬。故事所云，固然不足信，但可說明不兴画龙是非常有名的。 又曹不兴，有作曹弗兴。（可参看“建業实录”、; “燕人送荆轲图”等并传于代。裴孝源“贞观公私画史”记其在江陵龙兴寺、剡中本纪寺皆有壁画。 〔3〕 **五代** ——年代不
icon_spirits,神鬼,人物,"[""神"", ""鬼""]","也极妙,至于定质,愧然<sup>〔3〕</sup>未尽其善。神鬼及马,泥滞于射,颇有拙也<sup>〔4〕</sup>。 〔1; v>  他的绘画，显示出有逸宕之才，笔锋多变，表现灵巧，所画神鬼一类，十分绝妙。正是雅俗共赏，卓绝非凡，往往有出人意料之妙。"
icon_demons,魑魁,人物,"[""魑魁""]",">〔2〕</sup>,巧变锋出<sup>〔3〕</sup>。魑魁神鬼，皆能绝妙。固流眞为<sup>〔4〕</sup>，雅郑<"
icon_horse,马,走兽,"[""马"", ""白马""]","按照文句来看,当以“泥滞于时”为妥。据“南齐史”称,“惠远画马第一”,则“泥滞于时”,其意即是惠远所画“神鬼及马”,其表现; 格意匠,其画师法于顾恺之。有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。 〔2〕 *"
icon_people_and_horses,人马,人物,"[""人"", ""马""]","代名画记”引孙畅“述画记”云,“道硕兄弟四人,并善画。道硕工人马及鹅。”与王微同师法荀勗与卫协,却胜于王微。“历代名画记”并"
icon_sages,贤圣,人物,"[""贤"", ""圣""]","“历代名画记”、“画史”及“图绘宝鉴”等书。） 〔2〕 **贤圣** —— “历代名画记”所引,作“圣贤”,以此为宜。 〔3; 逵  </div>  他的绘画，情韵连绵，风趣也很巧拔。善画贤圣图像。为一切画工的典范。荀勗、卫协之后，实为画界的领袖。其子"
icon_ladies,妇人,人物,"[""妇人"", ""后妃"", ""仕女""]","1〕 **毛惠远** ——南齐时荥阳阳武人。善画马。与刘琪画妇人，并当代第一。其所作“醉客图”,据张彦远所评,笔迹之外,颇有; ** ——南朝宋时人。师法陆探微,兼工仕女,张彦远评其所画“妇人,特为古拙”。谓其有“豫章王宴宾图”、“博弈图”、“声伎图”"
icon_sparrows_rats,雀鼠,走兽,"[""雀"", ""鼠""]","v>  善于传写,不闲其思<sup>〔2〕</sup>。至于雀鼠,笔迹历落<sup>〔3〕</sup>,往往出群,时人为之语"
icon_portrait,象人,人物,"[""人物"", ""写真""]","要时期,故后人均署谢为“南齐人”,又照姚最之評語来看,谢赫在人物画上的造詣,是谢在南齐时（中兴前）的成就,故姚在評語的結尾即; 卷軸,故为宝也。 〔1〕 **陆绥** ——为陆探微之子。画人物、佛像,得其父传授,为时人所重。其弟弘肃亦擅人物。  ---"
icon_buddhist,佛像,宗教,"[""佛"", ""无量寿佛""]","工书画。更能铸佛像及雕刻。“宋书”戴顒传中述及,“自汉世始有佛像,形制未工,逵特善其事”,可知其在宗教美术方面,颇多独创。; 二五年）。最善长画佛像。“历代名画记”引“蔡谟集”云：“帝画佛于乐贤堂,经历寇乱,而堂独存。”唐张彦远亲见晋明帝所作“毛诗"
icon_landscape,山水,山水,"[""山"", ""水"", ""林泉""]","的“位置”是“经营”的，是随画家苦心组织和布置的，所以中国的山水画，便不受焦点透视的局限，能够机动的、巧妙的运用透视，因而就; 戴顒字仲若,善鼓琴,且精于雕像。其兄勃,亦有父风。擅画人物、山水。“宋书”中载：“宋世子铸丈六铜佛像于瓦棺寺,既成,而恨面瘦"
icon_geese,鹅,花鸟,"[""鹅""]","却胜于王微。“历代名画记”并载其有“古贤图”、“金谷图”、“鹅图”、“牛图”、“七贤图”、“八骏图”、“嵇中散诗图”、“燕; 记”引孙畅“述画记”云,“道硕兄弟四人,并善画。道硕工人马及鹅。”与王微同师法荀勗与卫协,却胜于王微。“历代名画记”并载其"
