work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,originalsource
work_ghpl_001,《古画品录》,谢赫,南齐,画论,存世,籍,,,《古画品录·谢赫》.md,南齐谢赫撰...此书为我国现存最古的论画著作。
work_ghpl_002,安期先生图,谢赫,南齐,人物,佚失,绢,,,《古画品录·谢赫》.md,尚载其有“安期先生图”传于代。
work_ghpl_003,晋明帝步辇图,谢赫,南齐,人物,存世(传摹),绢,,,《古画品录·谢赫》.md,"宋之黄伯思所着“东观余论”中,有“南齐谢赫画晋明帝步辇图”...虽经传摹，意象高古"
work_ghpl_004,屏风（误点成蝇）,曹不兴,三国吴,花鸟,佚失,屏风,,孙权内府,《古画品录·谢赫》.md,相传吴大帝(孙权)命其画屏风，误成蝇状，孙权疑为真，以手指去弹它。
work_ghpl_005,青谿赤龙图,曹不兴,三国吴,龙,佚失,绢,,宋文帝内府,《古画品录·谢赫》.md,即取不兴所画“青谿赤龙”，置于水上，应时蓄水成雾
work_ghpl_006,龙头图,曹不兴,三国吴,龙,佚失,绢,,秘阁,《古画品录·谢赫》.md,"唯秘阁之内,一龙头而已。"
work_ghpl_007,严公等像,顾骏之,南朝宋,人物,佚失,绢,,,《古画品录·谢赫》.md,严公等像传于代。
work_ghpl_008,蝉雀扇,顾景秀,南朝宋,花鸟,佚失,扇,,何戢府,《古画品录·谢赫》.md,武帝尝赐何戢蝉雀扇，是景秀画。
work_ghpl_009,豫章王宴宾图,袁蒨,南朝宋,人物,佚失,绢,,,《古画品录·谢赫》.md,谓其有“豫章王宴宾图”、“博弈图”、“声伎图”等作品传于世。
work_ghpl_010,博弈图,袁蒨,南朝宋,人物,佚失,绢,,,《古画品录·谢赫》.md,谓其有“豫章王宴宾图”、“博弈图”、“声伎图”等作品传于世。
work_ghpl_011,声伎图,袁蒨,南朝宋,人物,佚失,绢,,,《古画品录·谢赫》.md,谓其有“豫章王宴宾图”、“博弈图”、“声伎图”等作品传于世。
work_ghpl_012,维摩诘像,顾恺之,东晋,佛道,佚失,壁,,瓦棺寺,《古画品录·谢赫》.md,曾于瓦棺寺画维摩诘像
work_ghpl_013,女史箴图,顾恺之,东晋,人物,存世(传摹),绢,,,《古画品录·谢赫》.md,"现存“女史箴图”,传即为顾之手笔。"
work_ghpl_014,《画论》,顾恺之,东晋,画论,存世,籍,,,《古画品录·谢赫》.md,"其画论著作,今尚有“画论”、“画云台山记”及“魏晋胜流画赞”流传下来"
work_ghpl_015,《画云台山记》,顾恺之,东晋,画论,存世,籍,,,《古画品录·谢赫》.md,"其画论著作,今尚有“画论”、“画云台山记”及“魏晋胜流画赞”流传下来"
work_ghpl_016,《魏晋胜流画赞》,顾恺之,东晋,画论,存世,籍,,,《古画品录·谢赫》.md,"其画论著作,今尚有“画论”、“画云台山记”及“魏晋胜流画赞”流传下来"
