"icon_id","name","parent_id","visual_elements","source_book","source.chapter","originalsource"
"icon_houhualu_root","后画录题材（总类）","","[]","《后画录·彦悰》.md","后画录","# 后画录"
"icon_people","人物","后画录题材（总类）","[""子女"",""妇人"",""衣服"",""形制""]","《后画录·彦悰》.md","隋孙尚孜","师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。"
"icon_women","妇人","人物","[""妇人"",""风态""]","《后画录·彦悰》.md","隋孙尚孜","师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。"
"icon_people_horse","人马","人物","[""人马""]","《后画录·彦悰》.md","宋展子虔作","触物为情，备该绝妙。尤善楼阁，人马亦长。远近山川，咫尺千里。"
"icon_animals","动物","后画录题材（总类）","[""龙兽"",""异兽"",""奇禽"",""鸟雀""]","《后画录·彦悰》.md","【页码：二】","北齐之最。唯公有图，善写龙兽，能致风云。"
"icon_dragon_beast","龙兽","动物","[""龙"",""兽"",""风云""]","《后画录·彦悰》.md","【页码：二】","北齐之最。唯公有图，善写龙兽，能致风云。"
"icon_birds","鸟雀","动物","[""鸟"",""雀""]","《后画录·彦悰》.md","唐刘褒","点画不多，殆及枢要。鸟雀其变，诚为酷似。"
"icon_exotic_animals","异兽奇禽","动物","[""异兽"",""奇禽""]","《后画录·彦悰》.md","唐振威校尉唐萨陀","无闻伏膺，灵心自悟。如初花晚叶，变态多端。异兽奇禽，千形万品。"
"icon_supernatural","鬼神","后画录题材（总类）","[""鬼神"",""奇形异貌""]","《后画录·彦悰》.md","隋孙尚孜","师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。"
"icon_religion","宗教","后画录题材（总类）","[""佛像"",""菩萨"",""圣僧""]","《后画录·彦悰》.md","北齐朝散大夫曹仲达","师依周研，竹树山水。外国佛像，无竞于时。"
"icon_buddha_images","佛像","宗教","[""佛像"",""外国佛像""]","《后画录·彦悰》.md","北齐朝散大夫曹仲达","师依周研，竹树山水。外国佛像，无竞于时。"
"icon_bodhisattva_monk","菩萨/圣僧","宗教","[""菩萨"",""圣僧"",""形制""]","《后画录·彦悰》.md","唐朝散大夫王定","骨气不足，遒媚有余。菩萨圣僧，往往警绝。"
"icon_landscape","山水","后画录题材（总类）","[""山"",""水"",""远近山川""]","《后画录·彦悰》.md","北齐朝散大夫曹仲达","师依周研，竹树山水。外国佛像，无竞于时。"
"icon_plants","花木","后画录题材（总类）","[""花木"",""竹树""]","《后画录·彦悰》.md","吐火罗国胡尉迟乙僧","外国鬼神，奇形异貌。笔迹洒落，有似中华。攻改四时花木。"
"icon_bamboo_pine","竹树","花木","[""竹"",""树""]","《后画录·彦悰》.md","北齐朝散大夫曹仲达","师依周研，竹树山水。外国佛像，无竞于时。"
"icon_architecture","楼阁/栋宇","后画录题材（总类）","[""楼阁"",""栋宇"",""阴阳向背""]","《后画录·彦悰》.md","宋展子虔作","触物为情，备该绝妙。尤善楼阁，人马亦长。远近山川，咫尺千里。"
