cv_id,person_ref,entry_mode,official_title,rank,tenure,location_ref,time_ref,event_type,source_book,source_chapter,source_text
"cv_houhualu_e1a9aeed7df1","郑法士","未详","中大夫","视从四品","未详","长安","周","任官","《后画录·彦悰》.md","周中大夫郑法士","### 周中大夫郑法士"
"cv_houhualu_5cbb49e6cb13","孙尚孜","未详","宫廷画师","未详","未详","长安","隋","任官","《后画录·彦悰》.md","隋孙尚孜","### 隋孙尚孜"
"cv_houhualu_372056e84da7","杨子华","未详","宫廷画师","未详","未详","邺城","北齐","任官","《后画录·彦悰》.md","北齐杨子华","### 北齐杨子华"
"cv_houhualu_355d7a649f95","田僧亮","未详","常侍","从五品","未详","长安","周","任官","《后画录·彦悰》.md","周常侍田僧亮","### 周常侍田僧亮"
"cv_houhualu_9682493466e1","曹仲达","未详","朝散大夫","从六品","未详","邺城","北齐","任官","《后画录·彦悰》.md","北齐朝散大夫曹仲达","### 北齐朝散大夫曹仲达"
"cv_houhualu_1a511b1e50cd","阎立本","未详","司平太常伯","从三品","未详","长安","唐","任官","《后画录·彦悰》.md","唐司平太常伯阎立本","### 唐司平太常伯阎立本"
"cv_houhualu_ce7b37fafb3d","杨契丹","未详","参军","从七品","未详","长安","隋","任官","《后画录·彦悰》.md","隋参军杨契丹","### 隋参军杨契丹"
"cv_houhualu_bd01c5528de5","陈善见","未详","宫廷画师","未详","未详","长安","隋","任官","《后画录·彦悰》.md","隋陈善见","### 隋陈善见"
"cv_houhualu_a29b0bda4636","董伯仁","未详","殿中将军","从六品","未详","长安","隋","任官","《后画录·彦悰》.md","南齐殿中将军董伯仁","### 南齐殿中将军董伯仁"
"cv_houhualu_6158bcae697c","江志","未详","宫廷画师","未详","未详","长安","隋","任官","《后画录·彦悰》.md","隋江志","### 隋江志"
"cv_houhualu_b571f7dd86ab","李雅","未详","宫廷画师","未详","未详","长安","隋","任官","《后画录·彦悰》.md","隋李雅","### 隋李雅"
"cv_houhualu_ef3cb8698562","周昙妍","未详","宫廷画师","未详","未详","邺城","北齐","任官","《后画录·彦悰》.md","齐周昙妍","### 齐周昙妍"
"cv_houhualu_881388985a4d","展子虔","未详","宫廷画师","未详","未详","长安","隋","任官","《后画录·彦悰》.md","宋展子虔作","### 宋展子虔作"
"cv_houhualu_3e732f5c08e6","王仲舒","未详","宫廷画师","未详","未详","长安","隋","任官","《后画录·彦悰》.md","隋王仲舒","### 隋王仲舒"
"cv_houhualu_6722e89332ee","袁子昂","未详","宫廷画师;中书","未详","未详","长安","周","任官","《后画录·彦悰》.md","周袁子昂","### 周袁子昂"
"cv_houhualu_198ad85989ef","刘褒","未详","宫廷画师","未详","未详","长安","唐","任官","《后画录·彦悰》.md","唐刘褒","### 唐刘褒"
"cv_houhualu_5b4849905e18","靳智翼","未详","宫廷画师","未详","未详","长安","唐","任官","《后画录·彦悰》.md","唐靳智翼","### 唐靳智翼"
"cv_houhualu_be42f8927470","范寿","未详","武骑尉","从八品","未详","长安","唐","任官","《后画录·彦悰》.md","唐武骑尉范寿","### 唐武骑尉范寿"
"cv_houhualu_e08f2a53b98f","王定","未详","朝散大夫","从六品","未详","长安","唐","任官","《后画录·彦悰》.md","唐朝散大夫王定","### 唐朝散大夫王定"
"cv_houhualu_85d904d653a4","张孝师","未详","骠骑尉","从五品","未详","长安","唐","任官","《后画录·彦悰》.md","唐骠骑尉张孝师","### 唐骠骑尉张孝师"
"cv_houhualu_ea875b617bd4","王知慎","未详","殷王府法曹","从七品","未详","长安","唐","任官","《后画录·彦悰》.md","唐殷王府法曹王知慎","### 唐殷王府法曹王知慎"
"cv_houhualu_db295b8f3e5c","吴智敏","未详","宫廷画师","未详","未详","长安","唐","任官","《后画录·彦悰》.md","唐吴智敏","### 唐吴智敏"
"cv_houhualu_185148762397","檀知敏","未详","振威校尉","从六品","未详","长安","唐","任官","《后画录·彦悰》.md","唐振威校尉檀知敏","### 唐振威校尉檀知敏"
"cv_houhualu_d57b404baac4","尉迟乙僧","未详","宫廷画师","未详","未详","吐火罗国","唐","任官","《后画录·彦悰》.md","吐火罗国胡尉迟乙僧","### 吐火罗国胡尉迟乙僧"
"cv_houhualu_c6fcabd2b3b5","唐萨陀","未详","振威校尉","从六品","未详","长安","唐","任官","《后画录·彦悰》.md","唐振威校尉唐萨陀","### 唐振威校尉唐萨陀"
"cv_houhualu_60947a08e015","李凑","未详","曹参军","从七品","未详","广陵","唐","任官","《后画录·彦悰》.md","唐广陵曹参军李凑","### 唐广陵曹参军李凑"
