"lit_id","target_ref","source_book","author_ref","quality_rank","quote","source.chapter"
"lit_houhualu_1d2b0bab69c5","meso_houhualu_e1a9aeed7df1","《后画录》","彦悰","正面","取法张公，备该万物。后来冠冕，获擅名家。","周中大夫郑法士"
"lit_houhualu_d2903b3e4811","meso_houhualu_5cbb49e6cb13","《后画录》","彦悰","正面","师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。","隋孙尚孜"
"lit_houhualu_1c5b6c038b5a","meso_houhualu_372056e84da7","《后画录》","彦悰","正面","北齐之最。唯公有图，善写龙兽，能致风云。","北齐杨子华"
"lit_houhualu_d902e5ceb070","meso_houhualu_355d7a649f95","《后画录》","彦悰","正面","自恃生知，不由师授。田家一艺，今古殊绝。","周常侍田僧亮"
"lit_houhualu_7e82069ec208","meso_houhualu_9682493466e1","《后画录》","彦悰","评价摘录","师依周研，竹树山水。外国佛像，无竞于时。","北齐朝散大夫曹仲达"
"lit_houhualu_75f09201c28c","meso_houhualu_1a511b1e50cd","《后画录》","彦悰","正面","学宗张、郑，奇态不穷。变古象今，天下取则。","唐司平太常伯阎立本"
"lit_houhualu_39f0002909db","meso_houhualu_ce7b37fafb3d","《后画录》","彦悰","评价摘录","六法颇该，殊丰骨气。山东体制，允属伊人。","隋参军杨契丹"
"lit_houhualu_17888ab6f7c8","meso_houhualu_bd01c5528de5","《后画录》","彦悰","评价摘录","准的郑公，触途成擅。笔媚温润，斯人所长。","隋陈善见"
"lit_houhualu_b92b12bad10f","meso_houhualu_a29b0bda4636","《后画录》","彦悰","正面","综涉多端，尤精位置。屏障一种，无愧前贤。","南齐殿中将军董伯仁"
"lit_houhualu_7569818efbef","meso_houhualu_6158bcae697c","《后画录》","彦悰","正面","笔力劲健，风神顿爽。模山拟水，得其真体。","隋江志"
"lit_houhualu_f96aaed8ac72","meso_houhualu_b571f7dd86ab","《后画录》","彦悰","正面","神气抑扬，独高伦伍。圣僧形制，是所尤攻。","隋李雅"
"lit_houhualu_a05c0e80e34d","meso_houhualu_ef3cb8698562","《历代名画记》","张彦远","引文/著录","师塞北勒，法曹仲达。方韩则有余，比曹则不足。亦若文、武创拨乱之功，成王安太平之业。《名画记》云：塞北勒未详。","齐周昙妍"
"lit_houhualu_818b49720f08","meso_houhualu_881388985a4d","《后画录》（明订本）","毛晋","版本校勘","一本作隋。","宋展子虔作"
"lit_houhualu_483ef9a5c5f6","meso_houhualu_3e732f5c08e6","《后画录》","彦悰","负面/对比","北面孙公，风骨不逮。精熟婉润，名辈所推。","隋王仲舒"
"lit_houhualu_4201161a327a","meso_houhualu_6722e89332ee","《后画录》（明订本）","毛晋","版本校勘","一本作梁中书袁昂。","周袁子昂"
"lit_houhualu_b70427d02298","meso_houhualu_198ad85989ef","《后画录》","彦悰","评价摘录","点画不多，殆及枢要。鸟雀其变，诚为酷似。","唐刘褒"
"lit_houhualu_8c8cbeaaecb0","meso_houhualu_5b4849905e18","《后画录》","彦悰","评价摘录","效曹不兴。 祖述曹公，改张琴瑟。变夷为夏，初是斯人。","唐靳智翼"
"lit_houhualu_a35fe138b8d2","meso_houhualu_be42f8927470","《后画录》","彦悰","评价摘录","博赡繁多，有所推尚。至于位置，无待经略。","唐武骑尉范寿"
"lit_houhualu_0ee5e9cdf6cb","meso_houhualu_e08f2a53b98f","《后画录》","彦悰","负面/对比","骨气不足，遒媚有余。菩萨圣僧，往往警绝。","唐朝散大夫王定"
"lit_houhualu_4f4e216e8876","meso_houhualu_85d904d653a4","《后画录》","彦悰","正面","象制有功，云为尽善。鬼神之状，群彦推雄。","唐骠骑尉张孝师"
"lit_houhualu_b18aea068957","meso_houhualu_ea875b617bd4","《后画录》","彦悰","评价摘录","受业阎家，写生殆庶。用笔爽利，风彩不凡。","唐殷王府法曹王知慎"
"lit_houhualu_b2dd08197bf7","meso_houhualu_db295b8f3e5c","《后画录》","彦悰","评价摘录","宗匠梁宽，神襟更逸。终于是门，损益可知。","唐吴智敏"
"lit_houhualu_3bb0cb8eb13d","meso_houhualu_185148762397","《后画录》","彦悰","评价摘录","栋宇楼台，阴阳向背。历观前古，独有斯人。","唐振威校尉檀知敏"
"lit_houhualu_cd7f525f67ae","meso_houhualu_d57b404baac4","《后画录》","彦悰","评价摘录","善攻鬼神，当时之美也。有兄甲僧，在其本国矣。 外国鬼神，奇形异貌。笔迹洒落，有似中华。攻改四时花木。","吐火罗国胡尉迟乙僧"
"lit_houhualu_392c51fcc803","meso_houhualu_c6fcabd2b3b5","《后画录》","彦悰","负面/对比","无闻伏膺，灵心自悟。如初花晚叶，变态多端。异兽奇禽，千形万品。","唐振威校尉唐萨陀"
"lit_houhualu_43d2bb04c757","meso_houhualu_60947a08e015","《后画录》","彦悰","正面","挥毫造化，动笔合真。子女衣服，万品千门。筋脉连带，形状奇绝。天宝年中，过之古人。 后画录毕","唐广陵曹参军李凑"
