cv_id,person_ref,entry_mode,official_title,rank,tenure,location_ref,time_ref,event_type,source_book,source_chapter,original_source_sentence
cv_王瓘_ca7a,meso_王瓘,应召,,,period_song,汴京,period_song,恩遇,《圣朝名画评》,卷一·人物门,末年，石中令以禮召瓘畫昭報寺廊壁，厚酬金幣(今西京石家寺壁見在)
cv_王靄_17e0,meso_王靄,,翰林待詔,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,後使江表，潛寫宋齊丘、韓熙載、林仁肇的畫像，稱旨，改翰林待詔
cv_王靄_fbad,meso_王靄,,待詔,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,而本書稱歸後即為待詔
cv_王靄_1ddc,meso_王靄,,丞相,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,南唐烈祖建國以為左丞相，遷司空
cv_王靄_f4f6,meso_王靄,,平章事,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,歷任吳國和南唐左、右僕射平章事(宰相)，晚年隱居九華山
cv_王靄_3363,meso_王靄,,僕射,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,歷任吳國和南唐左、右僕射平章事(宰相)，晚年隱居九華山
cv_王靄_a0e7,meso_王靄,,中書侍郎,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,韓熙載，南唐大臣，累官至中書侍郎、光政殿學士承旨
cv_王靄_3d68,meso_王靄,,學士,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,韓熙載，南唐大臣，累官至中書侍郎、光政殿學士承旨
cv_王靄_4c29,meso_王靄,,翰林待詔,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,朱梁時以為翰林待詔
cv_王靄_28cd,meso_王靄,,待詔,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,至宋有天下，放靄還國，復為待詔
cv_王靄_1092,meso_王靄,,祗候,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,晉末與王仁壽皆為契丹所掠，太祖受禪放還，授圖畫院祗候
cv_王靄_224b,meso_王靄,,翰林待詔,,period_song,,period_song,任官,《圣朝名画评》,卷一·人物门,遂使江表，潛寫宋齊丘、韓熙載、林仁肇真，稱旨，改翰林待詔
cv_趙光輔_48bf,meso_趙光輔,,待詔,,雍熙元年,,period_song,任官,《圣朝名画评》,卷二·畜獸门,聖朝名畫評，卷一《宋會要輯稿職官》三六之一○六：“翰林圖畫院，雍熙元年置，在內中苑東門裏………………待詔等舊無定員，今待詔三人、藝學六人、祇候四人、學生四十人為額
cv_趙光輔_e7ad,meso_趙光輔,,學生,,雍熙元年,,period_song,任官,《圣朝名画评》,卷二·畜獸门,聖朝名畫評，卷一《宋會要輯稿職官》三六之一○六：“翰林圖畫院，雍熙元年置，在內中苑東門裏………………待詔等舊無定員，今待詔三人、藝學六人、祇候四人、學生四十人為額
cv_趙光輔_22e1,meso_趙光輔,,藝學,,雍熙元年,,period_song,任官,《圣朝名画评》,卷二·畜獸门,聖朝名畫評，卷一《宋會要輯稿職官》三六之一○六：“翰林圖畫院，雍熙元年置，在內中苑東門裏………………待詔等舊無定員，今待詔三人、藝學六人、祇候四人、學生四十人為額
cv_趙光輔_43ac,meso_趙光輔,,待詔,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,又《聖朝名畫評卷三花竹翎毛門·夏侯延祐》雲：“仕孟昶為待詔
cv_趙光輔_24e3,meso_趙光輔,,圖畫院藝學,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,後隨昶至京師，得圖畫院藝學
cv_趙光輔_03cb,meso_趙光輔,,待詔,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,“學生”應是畫院中最低一級的職務，《宋會要輯稿·職官》三六之一○七：“熙寧二年十一月三日，翰林圖畫院祗候杜用德等言：待詔等本不遞遷
cv_趙光輔_c57a,meso_趙光輔,,祗候,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,“學生”應是畫院中最低一級的職務，《宋會要輯稿·職官》三六之一○七：“熙寧二年十一月三日，翰林圖畫院祗候杜用德等言：待詔等本不遞遷
cv_趙光輔_9a28,meso_趙光輔,,學生,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,“學生”應是畫院中最低一級的職務，《宋會要輯稿·職官》三六之一○七：“熙寧二年十一月三日，翰林圖畫院祗候杜用德等言：待詔等本不遞遷
cv_趙光輔_b38a,meso_趙光輔,,學生,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,欲乞將本院學生四十人，立定第一等、第二等各十人為額，第三等二十人，遇有關，即從上名下次挨排填闕
cv_趙光輔_1054,meso_趙光輔,,祗候,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,所有祗候，亦乞將今來四人為額，候有關，於學生內撥填
cv_趙光輔_15e4,meso_趙光輔,,學生,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,所有祗候，亦乞將今來四人為額，候有關，於學生內撥填
cv_趙光輔_9829,meso_趙光輔,,待詔,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,乞自今後將元額本院待詔已下至學生等，有關，即於以次等第內，揀試藝業高低，進呈取旨，充填入額
cv_趙光輔_b6ee,meso_趙光輔,,學生,,period_song,,period_song,任官,《圣朝名画评》,卷二·畜獸门,乞自今後將元額本院待詔已下至學生等，有關，即於以次等第內，揀試藝業高低，進呈取旨，充填入額
