person_id,primary_role,name,courtesy_name,pseudonym,choronym,birth_death,period_ref,source_book,source_chapter,original_text
P_67096,Painter,孫位,,會稽山人,東越,,后蜀,《益州名画录》,卷上,"孫位者, 東越人也。僖宗皇帝車駕在蜀, 自京入蜀, 號會稽山人。性情疎野, 襟抱超然。雖好飲酒, 未嘗沉酩。禪僧道士, 常與往還。豪貴相請, 禮有少慢, 縱贈千金, 難留一筆。唯好事者時得其畫焉。光啓年, 應天寺無智禪師請畫《山石》兩堵, 《龍水》兩堵, 寺門東畔畫《東方天王及部從》兩堵; 昭覺寺休夢長老請畫《浮漚先生》《松石墨竹》一堵, 仿潤州高座寺張僧繇《戰勝》一堵。兩寺天王部众, 人鬼相雜, 矛戟鼓吹, 縱橫馳突, 交加戞擊, 欲有聲響。鷹犬之類, 皆三五筆而成; 弓弦斧柄之屬, 並掇筆而描, 如從繩而正矣。其有龍拏水洶, 千狀萬態, 勢欲飛動, 松石墨竹, 筆精墨妙, 雄壯氣象, 莫可記述。非天縱其能, 情高格逸, 其孰能與於此邪? 悟達國師請於眉州福海院畫《行道天王》《松石龍水》兩堵, 並見存。不知其後有何所遇, 改名遇矣。景樸者, 蜀人也, 蜀廣政年輙於應天寺門西畔畫《西方天王及部從》兩堵, 以對孫遇筆, 識者比之蹄涔巨浸, 未萬分之一焉。慮誤後人, 因附而正之。"
P_45855,Painter,趙公祐,,,長安,,五代,《益州名画录》,卷上,"公祐者, 長安人也, 寶曆中寓居蜀城。攻畫人物, 尤善佛像、天王、神鬼。初贊皇公李德裕鎮蜀之日, 賓禮待之, 自寶曆、太和至開成年, 公祐於諸寺畫佛像甚多。會昌年一例除毀, 唯存大聖慈寺文殊閣下《天王》三堵, 閣裏內《東方天王》一堵, 藥師院師堂內《四天王並十二神》, 前寺石經院《天王部屬》, 並公祐筆, 見存。公祐天資神用, 筆奪化權, 應變無涯, 罔象莫測, 名高當代, 時無等倫。數仞之牆, 用筆最尚, 風神骨氣, 唯公祐得之, 六法全矣。"
P_18860,Painter,範瓊,,,不知何許,,唐/五代,《益州名画录》,卷上,"範瓊者, 不知何許人也。開成年與陳皓、彭堅同時同藝, 寓居蜀城。三人善畫人物、佛像、天王、羅漢、鬼神, 三人同手於諸寺圖畫佛像甚多。會昌年除毀後, 餘大聖慈一寺佛像得存。洎宣宗皇帝再興佛寺, 三人於聖壽寺、聖興寺、净衆寺、中興寺, 自大中至乾符, 筆無暫釋, 圖畫二百餘間牆壁, 天王、佛像、高僧、經驗及諸變相, 名目雖同, 形狀一無同者。自淳化五年、咸平三年, 兩遇兵火, 得存三寺筆蹤。大聖慈南廊下《藥☐【？叉】大將》《和修吉龍王》《鬼子母》《天女》五堵, 謂之“十七護神”; 北廊下石經院門《兩金剛》《東、西二方天王》; 中寺大悲院門上《阿彌陀佛》及《四菩薩》; 院門兩畔《觀音像》《藥師像》; 石經板上《七佛》《四仙人》《大悲變相》; 大將堂兩畔《南、北二方天王》; 文殊閣下《北方天王》及《天王變相》。此寺畫壁, 自唐至今, 年紀深遠, 彩色故暗, 重粧損者十四五矣。聖壽寺大殿《釋伽像》《行道北方天
【頁碼：12】


---"
P_34126,Painter,陳皓,,,不知何許,,五代,《益州名画录》,卷上,"陳皓、彭堅者, 不知何許人也。開成中, 與范瓊寓止蜀城。大中年, 府主杜相公（悰）起净眾等寺門屋。相國知三人中, 范瓊年齒雖低, 手筆稱冠矣。因請陳、彭二公各畫《天王》一堵, 各令一客將伴之, 以幔幕遮蔽, 不令相見, 欲驗誰之強弱。至畫告畢之日, 相國與諸府寮徹其幃幕, 南畔仗劍振威者彭公筆, 北畔持弓奮赫者陳公筆, 二公筆力相似, 觀者莫能昇降。大約宗師吳道玄之筆, 而傅採拂淡過之。畫之六法, 一曰氣韻生動是也, 二曰骨法用筆是也, 三曰應物象形是也, 四曰隨類賦採是也, 五曰經營位置是也, 六曰傳移模寫是也。斯之六法, 名輩少該, 唯此三人俱盡其美矣。"
P_99542,Painter,彭堅,,,不知何許,,五代,《益州名画录》,卷上,"陳皓、彭堅者, 不知何許人也。開成中, 與范瓊寓止蜀城。大中年, 府主杜相公（悰）起净眾等寺門屋。相國知三人中, 范瓊年齒雖低, 手筆稱冠矣。因請陳、彭二公各畫《天王》一堵, 各令一客將伴之, 以幔幕遮蔽, 不令相見, 欲驗誰之強弱。至畫告畢之日, 相國與諸府寮徹其幃幕, 南畔仗劍振威者彭公筆, 北畔持弓奮赫者陳公筆, 二公筆力相似, 觀者莫能昇降。大約宗師吳道玄之筆, 而傅採拂淡過之。畫之六法, 一曰氣韻生動是也, 二曰骨法用筆是也, 三曰應物象形是也, 四曰隨類賦採是也, 五曰經營位置是也, 六曰傳移模寫是也。斯之六法, 名輩少該, 唯此三人俱盡其美矣。"
P_72293,Painter,張騰,,,不知何許,,五代,《益州名画录》,卷上,"張騰者, 不知何許人也。太和末年, 偶止蜀川。於諸寺壁圖畫亦多, 會昌年除毀皆盡。大中初佛寺再興, 於聖壽寺大殿畫《文殊》一堵、《普賢》一堵、《彌勒下生》一堵, 浴室院北對範瓊畫《持弓北方天王》一堵, 大聖慈寺文殊閣下畫《報身如來》一堵, 并騰之筆, 見存。"
P_32636,Painter,趙溫奇,,,,,五代,《益州名画录》,卷上,"趙溫奇者, 公祐子也。幼而穎秀, 長有父風。父歿之後, 於大聖慈寺文殊閣內繼父之蹤, 畫《北方天王》及《梵王》《帝釋》《大輪部屬》, 大將堂《大將部屬》並《梵王》《帝
【頁碼：28】


---"
P_33871,Painter,趙德齊,,,,享年戊寅歲,五代,《益州名画录》,卷上,"德齊者, 溫奇子也。乾寧初, 王蜀先主府城精舍不嚴, 禪室未廣, 遂於大聖慈寺大殿東廡起三學延祥之院。請德齊於正門西畔畫《南、北二方天王》兩堵。院門舊有盧楞伽畫《行道高僧》三堵六身, 賴德齊遷移, 至今獲在。光化年, 王蜀先主受昭宗勅置生祠, 命德齊與高道興同手畫西平王儀仗、旗纛旌麾、車輅法物, 及朝真殿上皇姑帝戚、后妃嬪御百堵已來, 授翰林待詔, 賜紫金魚袋。蜀光天元年戊寅歲, 蜀先主殂逝, 再命德齊與道興畫陵廟鬼神、人馬及車輅儀仗、宮寢嬪御一百餘堵。大聖慈寺竹溪院《釋迦十弟子》, 並《十六大羅漢》, 崇福禪院《帝釋》及《羅漢》, 崇真禪院《帝釋》《梵王》, 及羅漢堂《文殊》《普賢》, 皆德齊筆, 見存。議者以德齊三代居蜀, 一時名振, 克紹祖業, 榮耀何多。
【頁碼：30】


---"
P_46871,Painter,盧楞伽,,,京兆,,五代,《益州名画录》,卷上,"楞伽者, 京兆人也。明皇帝駐蹕之日, 自汴入蜀, 嘉名高譽, 播諸蜀川, 當代名流, 咸伏其妙。至德二載起大聖慈寺, 乾元初於殿東、西廊下畫《行道高僧》數堵, 顏真卿題, 時稱二絕。至乾寧元年, 王蜀先主於寺東廊起三學院, 不敢損其名畫, 移一堵於院門南, 移一堵於門北, 一堵於觀音堂後。此《行道僧》三堵六身畫, 經二百五十餘年, 至今宛如初矣。西廊下一堵《馬鳴、提婆》二軀, 雖遭粉飾, 猶未損其筆蹤。餘者重粧, 皆昧前跡。蜀中諸寺佛像甚多, 會昌年皆盡毁。"
P_24189,Painter,張素卿,,,簡州,,后蜀,《益州名画录》,卷上,"道士張素卿者, 簡州人也。少孤貧, 性好畫, 在川主譙國夏侯公（孜）宅, 多見隋唐名畫。藝成之後, 落拓無羈束, 遂衣道士服。唯畫道門尊像, 豪貴之家, 少得其畫者。乾符中, 居青城山常道觀焚修。至中和元年, 僖宗皇帝遣使與賜紫道士杜光庭, 封丈人山為希夷公。癸卯歲, 素卿上表云: “五岳既已封王, 丈人位居五岳之上, 不可稱公。”是歲勅宜改封五嶽丈人為希夷真君, 素卿賜紫。素卿有《老子過流沙圖》《五岳朝真圖》《九皇圖》《五星圖》《老人星圖》《二十四化真人像》《太無先生像》。素卿於諸圖畫而能敏速, 落錐之後, 下筆如神, 自始及終, 更無改正。今龍興觀甚有畫壁, 年深皆盡頹損, 餘張百子堂板龕內門兩畔《龍虎》兩軀, 素卿筆, 見存。王蜀先主修青城山丈人觀, 請素卿於丈人真君殿上畫五岳四瀆、十二溪女、山林溪沼樹木諸神, 及岳瀆曹吏, 詭怪之質, 生於筆端, 上殿觀者, 無不恐懼。又於簡州開元觀畫容成子、董仲舒、嚴君平、李阿、馬自然、葛玄、長壽仙、黃初平、葛永璝、竇子明、左慈、蘇耽十二仙君像, 各寫當初賣卜、賈藥、書符、導引時真。筆蹤灑落, 彩畫因循, 當代名流, 皆推畫手。蜀檢校太傅安公（思謙）, 好古博雅, 唐時名畫, 人皆獻之。黃筌、滕昌祐、石恪皆在其門館, 賓禮優厚。甲寅歲十一月十一日, 值蜀主誕生之辰, 安公進素卿所畫《十二仙真形》十二幀。蜀主耽玩歎賞者久, 因命翰林學士禮部侍郎歐陽炯次第贊之, 令翰林待詔黃居寶八分書題之。凡有醮奏, 於玉局開懸供養。乾德三年, 聖朝克復, 吏部
【頁碼：37】


---"
P_44382,Painter,辛澄,,,不知何許,,五代,《益州名画录》,卷上,"辛澄者, 不知何許人也。建中元年, 大聖慈寺南畔創立僧伽和尚堂, 請澄畫焉。纔欲援筆, 有一胡人云, 僕有泗州真本, 一見甚奇, 遂依樣描寫。及諸變相未畢, 蜀城士女瞻仰儀容者側足, 將燈香供養者如驅, 今已重粧損矣。普賢閣下五《如來》同坐一蓮花, 及鄰壁《小佛》九身, 閣裏內《如意輪菩薩》, 並澄之筆, 見存。"
P_13015,Painter,李洪度,,,蜀,,五代,《益州名画录》,卷上,"洪度者, 蜀人也。元和中, 府主相國武公（元衡）請於大聖慈寺東廊下維摩詰堂內, 畫《帝釋》《梵王》兩堵, 笙竽鼓吹, 天人姿態, 筆蹤妍麗, 時之妙手, 莫能偕焉。會昌前諸寺圖畫亦多除毀, 後餘此一處。"
P_36375,Painter,左全,,,蜀,,五代,《益州名画录》,卷上,"左全者, 蜀人也。世傳圖畫, 跡本名家。寶曆年中, 聲馳闕下。於大聖慈寺中殿畫《維摩變相》《師子國王》《菩薩變相》, 三學院門上《三乘漸次修行變相》《降魔變相》, 文殊閣東畔《水月觀音》《千手眼大悲變相》, 極樂院門兩《金剛》, 西廊下《金剛經驗》及《金光明經變相》, 前寺南廊下《行道二十八祖》, 北廊下《行道羅漢》六十餘軀, 多寶塔下做長安景公寺吳道玄《地獄變相》。當時吳生畫此地獄相, 都人咸觀, 懼罪修善, 兩市屠沽, 經月不售。王蜀時令雜手重粧, 已損, 惟存大體也。大中初, 又於聖壽寺大殿畫《維摩詰變相》一堵, 樓閣, 樹石, 花雀, 人物, 冠冕, 蕃漢異服, 皆得其妙, 今見存。"
P_04190,Painter,張南本,,,不知何許,,五代,《益州名画录》,卷上,"張南本者, 不知何許人也。中和年寓止蜀城。攻畫佛像, 人物, 龍王, 神鬼, 有《金谷園圖》《勘書圖》《詩會圖》《白居易叩齒圖》《高麗王行香圖》。今聖壽寺中門《賓頭盧變相》, 東廊下《靈山佛會》, 大聖慈寺華嚴閣下東畔《大悲變相》, 竹溪院《六祖》, 興善院《大悲菩薩》《八明王》《孔雀王變相》, 並南本筆。相傳南本於金華寺大殿畫《明王》八軀, 纔畢, 有一老僧入寺蹶仆於門下, 初不知是畫, 但見大殿遭火所焚。其時孫位畫水, 南本畫火, 代無及者。世之水火, 皆無定質, 唯此二公之畫, 冠絕古今。僖宗駕回之後, 府主陳太師於寶曆寺置水陸院, 請南本畫天神地祇、三官五帝、雷公電母、岳瀆神仙、自古帝王, 蜀中諸廟一百二十餘幀, 千怪萬異, 神鬼龍獸, 魍魎魑魅, 錯雜其間, 時稱大手筆也。
至孟蜀時被人模搨, 竊換真本, 鬻與荊湖人去, 今所存僞本耳。（僞本淳化年遭賊【？攘】劫, 已皆散失。）"
