period_id,name,time_range,dynastic_info,source_book,source_chapter,originalsource_sentence
temp_0fd47e8e,千祀,{},千载/长久,《续画品录》,序,夫丹青之妙，未可盡言，皆法古而變今也。立萬象於胸懷，傳千祀於毫墨。故九樓之上，偏表仙靈；四門之墉，廣圖賢哲。今之所載，竝謝赫之所遺，有可採者，更稱一家之集。且古今評画，高下必詮；其中優劣，可以意求諸爾。
temp_397bb032,古,"{""end"": 618}",前代(唐以前),《续画品录》,序,夫丹青之妙，未可盡言，皆法古而變今也。立萬象於胸懷，傳千祀於毫墨。故九樓之上，偏表仙靈；四門之墉，廣圖賢哲。今之所載，竝謝赫之所遺，有可採者，更稱一家之集。且古今評画，高下必詮；其中優劣，可以意求諸爾。
temp_9f14b123,古今,"{""end"": 696}",过去至现在,《续画品录》,序,夫丹青之妙，未可盡言，皆法古而變今也。立萬象於胸懷，傳千祀於毫墨。故九樓之上，偏表仙靈；四門之墉，廣圖賢哲。今之所載，竝謝赫之所遺，有可採者，更稱一家之集。且古今評画，高下必詮；其中優劣，可以意求諸爾。
temp_44f4fdc3,吴,"{""start"": 222, ""end"": 280}",三国·吴,《续画品录》,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
temp_44510f75,高貴鄉公,"{""start"": 254, ""end"": 260}",三国·魏·曹髦,《续画品录》,下品上,毛惠秀、史粲、嵇康、高貴鄉公
temp_de6332a2,東晉,"{""start"": 317, ""end"": 420}",晋朝·东晋,《续画品录》,中品上,曹不興 (吴)、顧凱之 (東晉)、戴逵
temp_6bc17919,晉明帝,"{""start"": 323, ""end"": 325}",晋朝·东晋·司马绍,《续画品录》,下品下,晉明帝、蔡贇、范長壽
temp_cd262679,南齊,"{""start"": 479, ""end"": 502}",南朝·齐,《续画品录》,中品上,顧寶先、顧景秀 (南齊)、袁蒨
temp_9fc3706d,湘东殿下,"{""start"": 508, ""end"": 555}",南朝·梁·萧绎(梁元帝),《续画品录》,序,湘东殿下
temp_65b245d6,梁元帝,"{""start"": 552, ""end"": 555}",南朝·梁·萧绎,《续画品录》,下品中,陸探微、范懷珎、梁元帝
temp_cbea91b1,唐,"{""start"": 618, ""end"": 907}",唐朝,《续画品录》,序; 跋,> 唐李嗣真撰 | 右唐御史大夫李嗣真所錄，盡取姚最之
temp_ab351373,今,"{""start"": 618, ""end"": 696}",唐朝(李嗣真时代),《续画品录》,序,夫丹青之妙，未可盡言，皆法古而變今也。立萬象於胸懷，傳千祀於毫墨。故九樓之上，偏表仙靈；四門之墉，廣圖賢哲。今之所載，竝謝赫之所遺，有可採者，更稱一家之集。且古今評画，高下必詮；其中優劣，可以意求諸爾。
temp_28f61bcb,明,"{""start"": 1368, ""end"": 1644}",明朝,《续画品录》,序,> 明毛 晉訂
